CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,88.19999694824219,98.0,"[9.154223442077637, 8.268842697143555, 11.30975341796875, 12.61185359954834, 12.940131187438965, 9.833600044250488, 10.943017959594727, 8.780016899108887, 9.110689163208008, 8.88719654083252]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[73  4]
 [ 3  7]]",0.8104575276374817,68.44444274902344,70.0,"[21.654441833496094, 18.69458770751953, 27.643451690673828, 30.604694366455078, 22.09900665283203, 25.867380142211914, 20.36733055114746, 20.967350006103516, 20.7888240814209]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,54.44444274902344,56.0,"[21.97017478942871, 14.223649024963379, 30.772066116333008, 26.7360782623291, 14.762389183044434, 21.72042465209961, 18.582368850708008, 17.166715621948242, 19.22563934326172]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,51.33333206176758,56.0,"[15.860458374023438, 8.351030349731445, 26.976348876953125, 15.503829002380371, 7.898100852966309, 12.330092430114746, 11.887542724609375, 10.109542846679688, 12.116186141967773]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[66 11]
 [ 1  9]]",0.7583333253860474,40.44444274902344,42.0,"[9.684041976928711, 4.785860061645508, 17.987253189086914, 7.434070587158203, 3.885995864868164, 6.557716369628906, 6.981074810028076, 5.4818315505981445, 7.678189754486084]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,38.0,42.0,"[9.125801086425781, 5.070491313934326, 16.67120361328125, 6.485375881195068, 3.9063549041748047, 5.717235088348389, 7.72482967376709]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,22.0,28.0,"[9.440435409545898, 4.1382365226745605, 14.619892120361328, 5.333914279937744, 3.1509575843811035, 4.994996547698975, 6.8574910163879395]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,16.33333396911621,14.0,"[9.82636833190918, 3.5439815521240234, 13.04664421081543, 4.1507110595703125, 3.4588708877563477, 4.112370014190674]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,10.5,0.0,"[9.693723678588867, 3.8169033527374268, 12.905780792236328, 4.219641208648682]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,7.0,0.0,"[10.726222038269043, 12.131370544433594]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,0.0,0.0,[10.690410614013672],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.11518623679876328], [0.11417016386985779], [0.8715837001800537], [0.11265990883111954], [0.8565577864646912], [0.7558227777481079], [0.11442176252603531], [0.11417016386985779], [0.11184138059616089], [0.9319021105766296], [0.17926448583602905], [0.9225350022315979], [0.11140971630811691], [0.11518623679876328], [0.41331946849823], [0.11261148750782013], [0.11541201919317245], [0.11610103398561478], [0.11580375581979752], [0.11682926118373871], [0.11417016386985779], [0.11621017009019852], [0.11119230091571808], [0.11417016386985779], [0.1099553257226944], [0.11042078584432602], [0.33373287320137024], [0.1089123785495758], [0.11417016386985779], [0.19546154141426086], [0.11417016386985779], [0.11541201919317245], [0.11417016386985779], [0.11417016386985779], [0.8403865098953247], [0.858270525932312], [0.11541201919317245], [0.11417016386985779], [0.11299393326044083], [0.11417016386985779], [0.11140971630811691], [0.11541201919317245], [0.11084534227848053], [0.11417016386985779], [0.11164893954992294], [0.11677546799182892], [0.9364284873008728], [0.11417016386985779], [0.9749062061309814], [0.10994361340999603], [0.7611728310585022], [0.1172487810254097], [0.11417016386985779], [0.11417016386985779], [0.11119230091571808], [0.7611728310585022], [0.11417312175035477], [0.8632975816726685], [0.11261148750782013], [0.8522874116897583], [0.10971588641405106], [0.11541201919317245], [0.890703558921814], [0.11579389125108719], [0.11417016386985779], [0.11541201919317245], [0.11417016386985779], [0.8318288326263428], [0.11500721424818039], [0.11509237438440323], [0.11417016386985779], [0.11417016386985779], [0.11490362137556076], [0.7558227777481079], [0.11666928976774216], [0.11400482058525085], [0.11619091033935547], [0.25080060958862305], [0.9297650456428528], [0.11417016386985779], [0.3069719672203064], [0.11417016386985779], [0.11216724663972855], [0.11052486300468445], [0.8565577864646912], [0.11490362137556076], [0.890365481376648]]",2022-11-21T00:00:00.000000000,[]
