CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962733030319214,134.61538696289062,154.0,"[11.6497802734375, 8.840909957885742, 9.827003479003906, 13.161724090576172, 13.98635482788086, 9.827003479003906, 12.490697860717773, 10.64477825164795, 9.376566886901855, 10.64477825164795, 10.160858154296875, 10.75424575805664, 10.64477825164795]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 6  7]]",0.7286902070045471,117.83333587646484,126.0,"[21.20914649963379, 15.07206916809082, 17.47907257080078, 23.788183212280273, 17.477733612060547, 22.827245712280273, 18.330114364624023, 16.9208984375, 18.604175567626953, 18.215993881225586, 19.468822479248047, 18.58348274230957]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 6  7]]",0.7020547986030579,103.83333587646484,112.0,"[26.242176055908203, 10.685317993164062, 18.53947639465332, 28.242919921875, 19.067394256591797, 28.099040985107422, 13.865715026855469, 20.266582489013672, 18.088973999023438, 21.159015655517578, 23.389244079589844, 17.75348472595215]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 4  9]]",0.7583333253860474,95.66666412353516,112.0,"[26.130504608154297, 3.3131160736083984, 13.239861488342285, 25.98261260986328, 15.118844985961914, 27.565258026123047, 3.101531982421875, 19.50674057006836, 9.905409812927246, 19.336044311523438, 22.169147491455078, 8.903582572937012]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 2 11]]",0.7806722521781921,85.16666412353516,98.0,"[24.751264572143555, 3.3851675987243652, 6.961008071899414, 23.11030387878418, 11.1220121383667, 25.78141975402832, 3.229869842529297, 17.88157844543457, 5.926332473754883, 17.515151977539062, 19.64592933654785, 5.060351371765137]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 2 11]]",0.7806722521781921,77.63636016845703,84.0,"[24.84210777282715, 3.5892233848571777, 5.998692512512207, 22.35982322692871, 9.603882789611816, 25.28959846496582, 3.2093873023986816, 5.395479679107666, 17.790752410888672, 19.08454704284668, 4.777600288391113]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[62 12]
 [ 1 12]]",0.776879072189331,63.6363639831543,70.0,"[25.05766487121582, 3.039994716644287, 5.193898677825928, 19.070249557495117, 10.490213394165039, 23.365367889404297, 2.7483277320861816, 6.465621471405029, 19.847675323486328, 17.539077758789062, 5.772611618041992]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[64 10]
 [ 2 11]]",0.7806722521781921,49.6363639831543,56.0,"[26.598003387451172, 3.210184335708618, 5.563542366027832, 20.24549674987793, 11.391682624816895, 23.409494400024414, 2.5635035037994385, 7.581809043884277, 20.922548294067383, 19.1921443939209, 6.469640731811523]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[63 11]
 [ 2 11]]",0.7675231099128723,35.0,42.0,"[28.293285369873047, 3.3243446350097656, 6.654554843902588, 24.006092071533203, 17.285341262817383, 26.5875244140625, 17.758209228515625, 25.12969207763672, 17.582569122314453, 14.52109146118164]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,22.399999618530273,28.0,"[27.314136505126953, 2.5978448390960693, 5.4453206062316895, 25.48480224609375, 19.70530891418457, 23.317100524902344, 20.1856746673584, 26.390541076660156, 16.454452514648438, 21.660585403442383]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,11.199999809265137,14.0,"[26.19005584716797, 2.267944574356079, 6.324453353881836, 26.09892463684082, 18.51664924621582, 21.743438720703125, 15.386204719543457, 27.370363235473633, 17.090438842773438, 25.290645599365234]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,5.25,0.0,"[20.21674919128418, 5.613845348358154, 20.76166343688965, 16.097064971923828, 9.968481063842773, 22.35719871520996, 12.741073608398438, 21.94129180908203]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,5.599999904632568,0.0,"[18.35651397705078, 13.00452995300293, 21.055150985717773, 13.971729278564453, 16.326154708862305]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[66  8]
 [ 2 11]]",0.8085387349128723,14.0,14.0,[16.665075302124023],2023-07-03T00:00:00.000000000,['USA']
"[[66  8]
 [ 3 10]]",0.7841191291809082,-1,-1,"[[0.14859916269779205], [0.1465616375207901], [0.1490529626607895], [0.7115748524665833], [0.1490529626607895], [0.8547984957695007], [0.304400771856308], [0.1465616375207901], [0.14192064106464386], [0.19972792267799377], [0.14448824524879456], [0.1465616375207901], [0.9857775568962097], [0.14859916269779205], [0.13914068043231964], [0.20650458335876465], [0.8771795034408569], [0.26437991857528687], [0.3226623833179474], [0.669775128364563], [0.1465616375207901], [0.15066005289554596], [0.1559235155582428], [0.1465616375207901], [0.24870902299880981], [0.8503657579421997], [0.14126738905906677], [0.39419451355934143], [0.1465616375207901], [0.14898638427257538], [0.1465616375207901], [0.33608588576316833], [0.1465616375207901], [0.1465616375207901], [0.29911234974861145], [0.3531877100467682], [0.8648942112922668], [0.1465616375207901], [0.36418700218200684], [0.1465616375207901], [0.31591933965682983], [0.1490529626607895], [0.13994823396205902], [0.1465616375207901], [0.14153896272182465], [0.6466517448425293], [0.2524665594100952], [0.1465616375207901], [0.1465616375207901], [0.8601359128952026], [0.20848551392555237], [0.23218664526939392], [0.1465616375207901], [0.1465616375207901], [0.28383395075798035], [0.20848551392555237], [0.5615383386611938], [0.18801461160182953], [0.14345084130764008], [0.19972792267799377], [0.1825537532567978], [0.8166714310646057], [0.14256757497787476], [0.14982129633426666], [0.1465616375207901], [0.1490529626607895], [0.1465616375207901], [0.7185143828392029], [0.23951460421085358], [0.28235703706741333], [0.1465616375207901], [0.985181987285614], [0.8117836117744446], [0.2268896996974945], [0.15158654749393463], [0.7120473384857178], [0.6904763579368591], [0.15343183279037476], [0.17678949236869812], [0.1465616375207901], [0.14448824524879456], [0.9836269617080688], [0.14256757497787476], [0.1508721113204956], [0.1490529626607895], [0.8529208302497864], [0.15008002519607544]]",2023-07-17T00:00:00.000000000,[]
