CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 3  3]]",0.8242424130439758,86.80000305175781,84.0,"[17.121986389160156, 23.907419204711914, 17.102617263793945, 20.917020797729492, 19.413789749145508]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,81.19999694824219,70.0,"[11.91984748840332, 17.596363067626953, 11.898509979248047, 14.728614807128906, 13.979016304016113]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 2  4]]",0.7921643853187561,64.4000015258789,56.0,"[8.075953483581543, 27.43475341796875, 7.952437877655029, 14.264962196350098, 16.169191360473633]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 2  4]]",0.7921643853187561,56.0,42.0,"[1.3340257406234741, 22.321670532226562, 1.3191133737564087, 2.6020047664642334, 4.284149169921875]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,42.0,28.0,"[1.3291022777557373, 21.74486541748047, 1.3179738521575928, 1.8758236169815063, 3.1153221130371094]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,28.0,14.0,"[2.392421007156372, 26.954879760742188, 2.386472463607788, 2.793149471282959, 3.058868169784546]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,0.0,"[1.9236359596252441, 27.180866241455078, 1.8753559589385986, 3.822920322418213, 4.929941654205322]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,18.66666603088379,14.0,"[26.03044319152832, 5.278845310211182, 7.750185012817383]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,28.0,28.0,[11.679886817932129],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,14.0,14.0,[13.712263107299805],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,0.0,0.0,[13.426127433776855],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 1  5]]",0.8176100850105286,-1,-1,"[[0.9386857151985168], [0.0608682706952095], [0.06046054884791374], [0.061372898519039154], [0.06046054884791374], [0.059932999312877655], [0.06078515946865082], [0.0608682706952095], [0.9438466429710388], [0.059932999312877655], [0.06121402233839035], [0.0608682706952095], [0.23285800218582153], [0.9377832412719727], [0.05091838166117668], [0.8867552280426025], [0.6962488889694214], [0.060237038880586624], [0.060333237051963806], [0.06000291928648949], [0.0608682706952095], [0.8472343683242798], [0.06187279149889946], [0.0608682706952095], [0.06219906732439995], [0.06213942915201187], [0.061763107776641846], [0.060317814350128174], [0.0608682706952095], [0.06047132983803749], [0.0608682706952095], [0.06046054884791374], [0.0608682706952095], [0.0608682706952095], [0.061215322464704514], [0.06100874021649361], [0.06046054884791374], [0.0608682706952095], [0.06126045808196068], [0.0608682706952095], [0.06179812550544739], [0.06046054884791374], [0.06199236959218979], [0.0608682706952095], [0.061716221272945404], [0.060020141303539276], [0.059831030666828156], [0.0608682706952095], [0.0608682706952095], [0.06217774748802185], [0.059864867478609085], [0.059869010001420975], [0.0608682706952095], [0.0608682706952095], [0.06187279149889946], [0.059864867478609085], [0.8004394769668579], [0.06100330874323845], [0.909403383731842], [0.059932999312877655], [0.06176379323005676], [0.06046054884791374], [0.0615396611392498], [0.06033642590045929], [0.0608682706952095], [0.06046054884791374], [0.0608682706952095], [0.060237038880586624], [0.06059275195002556], [0.060564879328012466], [0.0608682706952095], [0.0608682706952095], [0.06062670052051544], [0.059932999312877655], [0.890450656414032], [0.06092305853962898], [0.06020805239677429], [0.059763286262750626], [0.0604344978928566], [0.0608682706952095], [0.06121402233839035], [0.0608682706952095], [0.0615396611392498], [0.06210331618785858], [0.06046053394675255], [0.06062670052051544], [0.06029480695724487]]",2021-05-10T00:00:00.000000000,[]
