CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [36  0]]",0.3695652186870575,109.86111450195312,119.0,"[-0.4890475273132324, -0.501685380935669, -0.4890475273132324, -0.48283839225769043, -0.49328136444091797, -0.4944745898246765, -0.5077189207077026, -0.48612406849861145, -0.4944745898246765, -0.5148126482963562, -0.51253342628479, -0.5199503898620605, -0.5179051160812378, -0.4964873492717743, -0.4890475273132324, -0.5000834465026855, -0.4890475273132324, -0.48327720165252686, -0.5148700475692749, -0.48128777742385864, -0.5087740421295166, -0.4890475273132324, -0.5040560960769653, -0.4944745898246765, -0.4944745898246765, -0.48612406849861145, -0.49040886759757996, -0.4944745898246765, -0.4912143349647522, -0.49526000022888184, -0.4857439696788788, -0.48870742321014404, -0.49942106008529663, -0.4944745898246765, -0.4912143349647522, -0.4869890809059143]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[51  0]
 [31  5]]",0.505409836769104,81.27777862548828,91.0,"[-0.492502361536026, -0.501685380935669, -0.4928928315639496, -0.4857597053050995, -0.49328136444091797, -0.4944745898246765, -0.5077189207077026, -0.48612406849861145, -0.4482371211051941, -0.5148126482963562, -0.51253342628479, -0.5199503898620605, -0.5203807353973389, -0.4981358051300049, -0.4890475273132324, -0.5000834465026855, -0.4890475273132324, -0.48327720165252686, -0.5148700475692749, -0.48128777742385864, -0.5087740421295166, -0.4890475273132324, -0.5061620473861694, -0.4944745898246765, -0.4482371211051941, -0.4872589111328125, -0.49040886759757996, -0.4993906319141388, -0.4912143349647522, -0.49526000022888184, -0.4857439696788788, -0.4889596104621887, -0.49942106008529663, -0.4944745898246765, -0.4912143349647522, -0.4871681332588196]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 7 29]]",0.7454787492752075,78.19999694824219,84.0,"[-0.4930354356765747, -0.49199938774108887, -0.48631739616394043, -0.4821305274963379, -0.4685697853565216, -0.47766196727752686, -0.4448757767677307, -0.4895079731941223, -0.4944745898246765, -0.518964409828186, -0.4735103249549866, -0.4847868084907532, -0.5178332328796387, -0.4960668385028839, -0.48279765248298645, -0.48471516370773315, -0.4890475273132324, -0.4682963490486145, -0.4583602547645569, -0.47059082984924316, -0.5092235803604126, -0.48408353328704834, -0.4888434410095215, -0.4944745898246765, -0.4944745898246765, -0.48993510007858276, -0.49063390493392944, -0.4944745898246765, -0.47776156663894653, -0.4836660623550415, -0.4732949733734131, -0.47879093885421753, -0.5042558312416077, -0.47646525502204895, -0.4831111431121826]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[50  1]
 [28  8]]",0.5653746724128723,68.76470947265625,77.0,"[-0.497968852519989, -0.5018779039382935, -0.4989771842956543, -0.4899182915687561, -0.49328136444091797, -0.4944745898246765, -0.5077189207077026, -0.4872395992279053, -0.6221151351928711, -0.5148126482963562, -0.5125870704650879, -0.5199915170669556, -0.5012370347976685, -0.4890475273132324, -0.5004153251647949, -0.4890475273132324, -0.48327720165252686, -0.5148700475692749, -0.48128777742385864, -0.5087740421295166, -0.4890475273132324, -0.5111299157142639, -0.4944745898246765, -0.6221151351928711, -0.48905450105667114, -0.4915589690208435, -0.507358193397522, -0.4912143349647522, -0.49526000022888184, -0.48610058426856995, -0.4893586337566376, -0.49942106008529663, -0.4912143349647522, -0.48726990818977356]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 7 29]]",0.7454787492752075,66.29412078857422,70.0,"[-0.5003734827041626, -0.5434114933013916, -0.5225300192832947, -0.4821305274963379, -0.560829758644104, -0.5462342500686646, -0.6402180194854736, -0.5133304595947266, -0.4944745898246765, -0.5432344079017639, -0.5868139863014221, -0.5876498222351074, -0.5272142887115479, -0.5283972024917603, -0.5501400828361511, -0.4890475273132324, -0.5419167280197144, -0.6214795708656311, -0.5330307483673096, -0.5413699150085449, -0.526078462600708, -0.5469255447387695, -0.4944745898246765, -0.4944745898246765, -0.5127165913581848, -0.5212366580963135, -0.4944745898246765, -0.5423932075500488, -0.5390052199363708, -0.5384275913238525, -0.5353150963783264, -0.523922324180603, -0.5442864894866943, -0.5268723964691162]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[50  1]
 [28  8]]",0.5653746724128723,58.264705657958984,63.0,"[-0.49791857600212097, -0.5018779039382935, -0.4989212155342102, -0.49146801233291626, -0.49328136444091797, -0.4944745898246765, -0.5077189207077026, -0.4872395992279053, -0.6420909762382507, -0.5148126482963562, -0.5125870704650879, -0.5199915170669556, -0.501208484172821, -0.4890475273132324, -0.5004153251647949, -0.4890475273132324, -0.48327720165252686, -0.5148700475692749, -0.48128777742385864, -0.5087740421295166, -0.4890475273132324, -0.5110841989517212, -0.4944745898246765, -0.6420909762382507, -0.48903799057006836, -0.4915589690208435, -0.507284939289093, -0.4912143349647522, -0.49526000022888184, -0.48610058426856995, -0.4893549680709839, -0.49942106008529663, -0.4912143349647522, -0.4875192940235138]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 7 29]]",0.7454787492752075,54.30303192138672,56.0,"[-0.5051743388175964, -0.5652599334716797, -0.540734052658081, -0.4821305274963379, -0.5862435102462769, -0.572792112827301, -0.6715726852416992, -0.5261690020561218, -0.4944745898246765, -0.5611690282821655, -0.6117410063743591, -0.6127625703811646, -0.5412203073501587, -0.5511075258255005, -0.5743284225463867, -0.4890475273132324, -0.5673984289169312, -0.6516107320785522, -0.5590385794639587, -0.5614214539527893, -0.5472245812416077, -0.5712423324584961, -0.4944745898246765, -0.4944745898246765, -0.5249694585800171, -0.5364723205566406, -0.4944745898246765, -0.5675346851348877, -0.5642595887184143, -0.5639728307723999, -0.5604011416435242, -0.569551944732666, -0.5473161935806274]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[48  3]
 [29  7]]",0.5271739363670349,47.09090805053711,49.0,"[-0.5140159726142883, -0.5018779039382935, -0.5168379545211792, -0.5024333596229553, -0.49328136444091797, -0.4944745898246765, -0.5077189207077026, -0.4872395992279053, -0.8238003849983215, -0.5148126482963562, -0.5125870704650879, -0.5199915170669556, -0.5103407502174377, -0.4890475273132324, -0.5004153251647949, -0.4890475273132324, -0.48327720165252686, -0.5148700475692749, -0.48128777742385864, -0.5087740421295166, -0.4890475273132324, -0.5257132053375244, -0.4944745898246765, -0.8238003849983215, -0.4943256378173828, -0.4915589690208435, -0.5307473540306091, -0.4912143349647522, -0.49526000022888184, -0.48610058426856995, -0.49053001403808594, -0.4912143349647522, -0.48775023221969604]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[36 15]
 [ 6 30]]",0.7574671506881714,45.733333587646484,42.0,"[-0.5201058983802795, -0.6208142042160034, -0.584309458732605, -0.4886322319507599, -0.6794155836105347, -0.6434845328330994, -0.5626094341278076, -0.4944745898246765, -0.6003389358520508, -0.7218242883682251, -0.7124527096748352, -0.5822622776031494, -0.6020717024803162, -0.4890475273132324, -0.6442610025405884, -0.7937519550323486, -0.625439465045929, -0.6052147150039673, -0.5954429507255554, -0.6283672451972961, -0.4944745898246765, -0.4944745898246765, -0.5601690411567688, -0.5775307416915894, -0.4944745898246765, -0.6336524486541748, -0.6209228038787842, -0.6320347189903259, -0.6184945106506348, -0.5974245667457581]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[48  3]
 [27  9]]",0.5684523582458496,37.56666564941406,35.0,"[-0.5140159726142883, -0.5018779039382935, -0.5168379545211792, -0.5080717206001282, -0.49328136444091797, -0.4944745898246765, -0.4872395992279053, -0.8238003849983215, -0.5148126482963562, -0.5125870704650879, -0.5199915170669556, -0.5103407502174377, -0.4890475273132324, -0.4890475273132324, -0.48327720165252686, -0.5148700475692749, -0.48128777742385864, -0.5087740421295166, -0.4890475273132324, -0.5257132053375244, -0.4944745898246765, -0.8238003849983215, -0.4943256378173828, -0.4915589690208435, -0.5307473540306091, -0.4912143349647522, -0.49526000022888184, -0.48610058426856995, -0.49053001403808594, -0.48857083916664124]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
