CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [10  0]]",0.4695121943950653,88.19999694824219,98.0,"[9.304144859313965, 8.326339721679688, 11.68468952178955, 13.108503341674805, 13.485259056091309, 10.054441452026367, 11.279669761657715, 8.890875816345215, 9.25606632232666, 9.00796127319336]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[77  0]
 [10  0]]",0.4695121943950653,68.44444274902344,70.0,"[20.69496726989746, 18.16853141784668, 26.024381637573242, 29.951766967773438, 22.02092170715332, 24.52448081970215, 19.66033363342285, 20.306217193603516, 19.755210876464844]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[75  2]
 [ 4  6]]",0.8141025900840759,52.88888931274414,56.0,"[26.19552230834961, 20.736116409301758, 32.20461654663086, 35.89839553833008, 24.979795455932617, 25.978906631469727, 24.180675506591797, 23.5933837890625, 23.077896118164062]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[70  7]
 [ 3  7]]",0.7583333253860474,38.88888931274414,42.0,"[24.438053131103516, 15.771982192993164, 29.49135971069336, 29.070411682128906, 18.00739097595215, 16.962078094482422, 21.412078857421875, 18.248764038085938, 17.88895034790039]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 3  7]]",0.7430872321128845,37.33333206176758,42.0,"[16.146080017089844, 9.488832473754883, 23.037506103515625, 15.514647483825684, 10.076835632324219, 8.098268508911133, 13.108622550964355, 10.625104904174805, 10.675420761108398]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 2  8]]",0.7739084959030151,38.0,42.0,"[13.128804206848145, 8.468584060668945, 20.75893783569336, 12.389171600341797, 8.542373657226562, 9.297616004943848, 8.93326473236084]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[68  9]
 [ 2  8]]",0.7588813304901123,22.0,28.0,"[11.64983081817627, 7.871291637420654, 17.040103912353516, 9.735469818115234, 7.9680352210998535, 8.240344047546387, 7.8736114501953125]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[69  8]
 [ 2  8]]",0.7739084959030151,16.33333396911621,14.0,"[10.835907936096191, 7.911997318267822, 13.396234512329102, 8.377299308776855, 10.414153099060059, 8.055590629577637]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia', 'Mauritius', 'Thailand']"
"[[67 10]
 [ 2  8]]",0.7446184158325195,10.5,0.0,"[10.377918243408203, 9.054533004760742, 11.060993194580078, 9.335092544555664]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Georgia', 'Malaysia']"
"[[67 10]
 [ 2  8]]",0.7446184158325195,7.0,0.0,"[10.860701560974121, 9.156851768493652]",2022-10-24T00:00:00.000000000,"['Australia', 'Georgia']"
"[[67 10]
 [ 1  9]]",0.7724137902259827,0.0,0.0,[9.064228057861328],2022-11-07T00:00:00.000000000,['Georgia']
"[[67 10]
 [ 1  9]]",0.7724137902259827,-1,-1,"[[0.12211902439594269], [0.12125058472156525], [0.7018716931343079], [0.11995721608400345], [0.8179553151130676], [0.7031416296958923], [0.1214657574892044], [0.12125058472156525], [0.11925492435693741], [0.7781051993370056], [0.14744150638580322], [0.895075261592865], [0.11888422816991806], [0.12211902439594269], [0.423847496509552], [0.119915671646595], [0.12231184542179108], [0.12289977818727493], [0.12264620512723923], [0.12352050840854645], [0.12125058472156525], [0.1229928582906723], [0.1186973974108696], [0.12125058472156525], [0.11763325333595276], [0.11803393810987473], [0.2009943574666977], [0.11673439294099808], [0.12125058472156525], [0.1543927788734436], [0.12125058472156525], [0.12231184542179108], [0.12125058472156525], [0.12125058472156525], [0.7880182266235352], [0.7349518537521362], [0.12231184542179108], [0.12125058472156525], [0.12024351209402084], [0.12125058472156525], [0.11888422816991806], [0.12231184542179108], [0.11839913576841354], [0.12125058472156525], [0.11908967047929764], [0.12347466498613358], [0.8213524222373962], [0.12125058472156525], [0.8782546520233154], [0.11762319505214691], [0.7326856255531311], [0.12387777119874954], [0.12125058472156525], [0.12125058472156525], [0.1186973974108696], [0.7326856255531311], [0.121253103017807], [0.7052997946739197], [0.119915671646595], [0.7315056324005127], [0.1174270361661911], [0.12231184542179108], [0.8525103330612183], [0.12263775616884232], [0.12125058472156525], [0.12231184542179108], [0.12125058472156525], [0.7118995189666748], [0.12196611613035202], [0.12203886359930038], [0.12125058472156525], [0.12125058472156525], [0.12187761068344116], [0.7031416296958923], [0.12338420748710632], [0.12110911309719086], [0.1229763999581337], [0.3445435166358948], [0.8693697452545166], [0.12125058472156525], [0.1899641752243042], [0.12125058472156525], [0.11953461170196533], [0.11812346428632736], [0.8179553151130676], [0.12187761068344116], [0.8804742097854614]]",2022-11-21T00:00:00.000000000,[]
