CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  0]
 [13  0]]",0.45962733030319214,134.61538696289062,154.0,"[10.709196090698242, 8.20620059967041, 9.065414428710938, 12.072667121887207, 12.867280006408691, 9.065414428710938, 11.467536926269531, 9.80288314819336, 8.659210205078125, 9.80288314819336, 9.366483688354492, 9.901601791381836, 9.80288314819336]",2023-01-02T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'India', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[74  0]
 [11  2]]",0.5987421274185181,117.83333587646484,126.0,"[21.2038631439209, 15.712926864624023, 17.7987003326416, 23.85309410095215, 17.86473274230957, 22.689512252807617, 19.083528518676758, 17.1321964263916, 19.293575286865234, 18.515615463256836, 19.57014274597168, 19.270498275756836]",2023-01-16T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [ 8  5]]",0.7175324559211731,101.5,112.0,"[28.89818572998047, 10.898842811584473, 20.360790252685547, 31.543964385986328, 22.02617835998535, 30.678714752197266, 15.955939292907715, 22.67574691772461, 23.355636596679688, 24.280990600585938, 25.694469451904297, 22.773731231689453]",2023-01-30T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 6  7]]",0.7286902070045471,92.16666412353516,98.0,"[27.313995361328125, 4.07439661026001, 13.507354736328125, 27.961441040039062, 17.197961807250977, 28.395479202270508, 5.935153961181641, 20.629785537719727, 17.365358352661133, 21.558218002319336, 22.76311683654785, 16.00543212890625]",2023-02-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 6  7]]",0.7583333253860474,85.16666412353516,98.0,"[26.222366333007812, 4.030991554260254, 6.888357162475586, 24.204906463623047, 11.530640602111816, 26.1727294921875, 4.244433403015137, 18.14337921142578, 10.786149978637695, 18.12954330444336, 19.14077377319336, 9.108798027038574]",2023-02-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'Singapore', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[68  6]
 [ 6  7]]",0.7286902070045471,77.63636016845703,84.0,"[25.902481079101562, 4.036437034606934, 6.2240753173828125, 22.871400833129883, 10.311689376831055, 25.60576057434082, 4.260097026824951, 8.901040077209473, 17.38543701171875, 18.23939323425293, 7.383347511291504]",2023-03-13T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 5  8]]",0.7739084959030151,63.6363639831543,70.0,"[25.908695220947266, 4.192684173583984, 6.808116436004639, 21.945764541625977, 9.261930465698242, 24.904211044311523, 4.485633373260498, 7.912881374359131, 16.966638565063477, 17.629993438720703, 7.169280529022217]",2023-03-27T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71  3]
 [ 4  9]]",0.8365100622177124,52.181819915771484,56.0,"[23.770957946777344, 4.03869104385376, 7.195282936096191, 16.194486618041992, 8.46858024597168, 20.877910614013672, 4.103173732757568, 8.3509521484375, 13.390122413635254, 13.653407096862793, 7.898157119750977]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'Mauritius', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [ 5  8]]",0.8246473073959351,43.400001525878906,42.0,"[22.842981338500977, 4.113744735717773, 7.619654178619385, 14.089645385742188, 8.603816986083984, 19.879100799560547, 8.435075759887695, 12.597648620605469, 12.938905715942383, 8.108152389526367]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[72  2]
 [ 5  8]]",0.8246473073959351,30.799999237060547,28.0,"[21.915546417236328, 3.992973566055298, 8.273929595947266, 11.821935653686523, 9.324968338012695, 17.694395065307617, 9.150155067443848, 11.298263549804688, 11.467500686645508, 8.918411254882812]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71  3]
 [ 4  9]]",0.8365100622177124,19.600000381469727,14.0,"[22.274471282958984, 4.190253734588623, 8.522350311279297, 10.840742111206055, 9.52427864074707, 15.294111251831055, 9.236108779907227, 10.148597717285156, 10.268791198730469, 9.203495025634766]",2023-05-22T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'France', 'Ireland', 'Japan', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[71  3]
 [ 4  9]]",0.8365100622177124,12.25,14.0,"[18.566638946533203, 7.523254871368408, 10.0540771484375, 9.15182876586914, 8.372335433959961, 9.792986869812012, 9.947031021118164, 8.6222562789917]",2023-06-05T00:00:00.000000000,"['Austria', 'Costa Rica', 'France', 'Ireland', 'South Korea', 'Spain', 'Sweden', 'USA']"
"[[70  4]
 [ 2 11]]",0.8723092079162598,2.799999952316284,0.0,"[9.2724609375, 8.833864212036133, 9.239582061767578, 9.376707077026367, 8.167594909667969]",2023-06-19T00:00:00.000000000,"['France', 'Ireland', 'Spain', 'Sweden', 'USA']"
"[[69  5]
 [ 2 11]]",0.8551723957061768,0.0,0.0,[9.437931060791016],2023-07-03T00:00:00.000000000,['USA']
