CF1,f11,MAE1,MAE2,pred,date,countries
"[[22 28]
 [ 0 37]]",0.6683006286621094,107.72222137451172,112.0,"[21.954727172851562, 26.315792083740234, 20.684642791748047, 40.88826370239258, 23.596683502197266, 24.49220848083496, 27.457706451416016, 50.15536117553711, 41.53371810913086, 40.347469329833984, 40.888267517089844, 40.578311920166016, 40.888267517089844, 31.06342315673828, 34.38334274291992, 20.559410095214844, 23.091293334960938, 17.163171768188477, 45.72426986694336, 26.60922622680664, 27.798635482788086, 56.682857513427734, 22.798263549804688, 20.496845245361328, 34.38334274291992, 32.14590835571289, 40.888267517089844, 26.372413635253906, 40.88826370239258, 36.13643264770508, 35.23615646362305, 27.34252166748047, 40.888267517089844, 39.81058883666992, 30.995203018188477, 36.13643264770508]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,75.44444274902344,70.0,"[33.772682189941406, 40.44230270385742, 26.687440872192383, 62.56188201904297, 36.30312728881836, 37.62240982055664, 42.112857818603516, 76.71012878417969, 63.60187530517578, 61.82365036010742, 62.561885833740234, 62.071678161621094, 62.561885833740234, 47.63939666748047, 52.658267974853516, 31.671693801879883, 35.53609085083008, 26.491792678833008, 69.96272277832031, 40.82439041137695, 42.75672912597656, 86.62901306152344, 35.02633285522461, 27.599687576293945, 52.658267974853516, 49.30906677246094, 62.561885833740234, 40.4748649597168, 62.56188201904297, 55.32998275756836, 53.975955963134766, 41.99501419067383, 62.561885833740234, 60.981876373291016, 47.50990295410156, 55.32998275756836]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,44.33333206176758,42.0,"[45.698272705078125, 54.67949676513672, 33.85498046875, 84.06755828857422, 49.15174102783203, 50.80843734741211, 56.748291015625, 103.06112670898438, 85.59395599365234, 83.28516387939453, 84.06757354736328, 83.36888122558594, 84.06757354736328, 64.21910858154297, 70.83809661865234, 42.947654724121094, 48.13609313964844, 36.006263732910156, 94.04500579833984, 55.03510284423828, 57.915061950683594, 116.2652359008789, 47.29964065551758, 35.6184196472168, 70.83809661865234, 66.50127410888672, 84.06757354736328, 54.594573974609375, 84.06755828857422, 74.41341400146484, 72.64445495605469, 56.728580474853516, 84.06757354736328, 82.102294921875, 63.984771728515625, 74.41341400146484]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 27]
 [ 0 37]]",0.6814051270484924,30.33333396911621,28.0,"[69.8630142211914, 83.61292266845703, 51.23896408081055, 128.45321655273438, 75.16773223876953, 77.65830993652344, 86.7112045288086, 157.5094757080078, 130.83816528320312, 127.33623504638672, 128.45321655273438, 127.36881256103516, 128.45321655273438, 98.1598129272461, 108.2400131225586, 65.68190002441406, 73.61908721923828, 55.06768035888672, 143.73277282714844, 84.09671020507812, 88.61116790771484, 177.66629028320312, 72.28150939941406, 54.04363250732422, 108.2400131225586, 101.66655731201172, 128.45321655273438, 83.43376922607422, 128.45321655273438, 113.70519256591797, 111.0177230834961, 86.7341079711914, 128.45321655273438, 125.5064697265625, 97.77813720703125, 113.70519256591797]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 24]
 [ 0 37]]",0.7196562886238098,23.600000381469727,14.0,"[51.844844818115234, 61.94564437866211, 37.58328628540039, 94.35143280029297, 33.580657958984375, 57.4721794128418, 63.97891616821289, 115.61821746826172, 96.27263641357422, 93.81525421142578, 94.3514404296875, 93.50301361083984, 94.3514404296875, 72.42794799804688, 79.64579772949219, 48.87884521484375, 54.688724517822266, 41.12685012817383, 105.59151458740234, 62.087623596191406, 65.77661895751953, 130.2207794189453, 53.50493240356445, 39.76462173461914, 79.64579772949219, 75.04940032958984, 94.3514404296875, 61.641109466552734, 94.35143280029297, 83.63052368164062, 81.72928619384766, 94.3514404296875, 92.40482330322266, 72.0670394897461, 83.63052368164062]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,42.79999923706055,42.0,"[73.41377258300781, 87.74856567382812, 55.55373001098633, 133.55873107910156, 50.614376068115234, 81.36665344238281, 90.55267333984375, 163.71372985839844, 136.342041015625, 132.8932342529297, 133.55873107910156, 132.33726501464844, 133.55873107910156, 102.55633544921875, 112.73690795898438, 69.23989868164062, 77.4781494140625, 58.2536735534668, 149.5155792236328, 87.87842559814453, 93.23884582519531, 184.3685760498047, 75.7305908203125, 58.11566925048828, 112.73690795898438, 106.2918472290039, 133.55873107910156, 87.2583236694336, 133.55873107910156, 118.38182830810547, 115.70816802978516, 133.55873107910156, 130.8693389892578, 102.01709747314453, 118.38182830810547]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,40.79999923706055,42.0,"[63.0521125793457, 75.25405883789062, 47.38783645629883, 113.8115234375, 41.57830047607422, 69.74066162109375, 77.44253540039062, 139.4405517578125, 116.31901550292969, 113.47749328613281, 113.81153869628906, 112.72946166992188, 113.81153869628906, 87.69190979003906, 96.20472717285156, 59.585487365722656, 66.58099365234375, 50.270912170410156, 127.41551208496094, 75.19015502929688, 80.05766296386719, 156.88034057617188, 64.92893981933594, 49.607181549072266, 96.20472717285156, 90.90870666503906, 113.81153869628906, 74.69540405273438, 113.8115234375, 100.9852294921875, 98.76904296875, 113.81153869628906, 111.7005615234375, 87.16706848144531, 100.9852294921875]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,39.45454406738281,42.0,"[69.3103256225586, 40.096866607666016, 104.07159423828125, 37.600982666015625, 64.17125701904297, 71.07946014404297, 127.42051696777344, 106.52791595458984, 104.03890991210938, 104.07160186767578, 103.03192901611328, 104.07160186767578, 43.29227066040039, 88.10151672363281, 55.0772819519043, 61.45710372924805, 46.59939956665039, 116.52420043945312, 69.04703521728516, 53.94833755493164, 143.1552276611328, 59.75260543823242, 43.01716232299805, 88.10151672363281, 83.47964477539062, 104.07160186767578, 104.07159423828125, 92.44609069824219, 90.48870849609375, 104.07160186767578, 102.34967803955078, 79.935791015625, 92.44609069824219]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 23]
 [ 0 37]]",0.7320926785469055,24.5,14.0,"[49.55866622924805, 31.683334350585938, 83.1978530883789, 34.942134857177734, 38.93023681640625, 44.8278694152832, 33.85533142089844, 68.65374755859375, 60.077720642089844, 83.19786071777344, 82.275390625, 83.19786071777344, 30.02617073059082, 40.060089111328125, 44.89390182495117, 42.15433883666992, 38.156192779541016, 26.317546844482422, 43.1819953918457, 41.637786865234375, 114.1347885131836, 38.35061264038086, 27.367584228515625, 70.60272216796875, 29.69839096069336, 83.1978530883789, 68.34255981445312, 35.41780090332031, 83.19786071777344, 39.007606506347656, 33.367431640625, 43.40460205078125]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 22]
 [ 0 37]]",0.7443910241127014,18.200000762939453,14.0,"[38.08407211303711, 28.479595184326172, 27.09490394592285, 27.745601654052734, 28.643503189086914, 33.19156265258789, 17.1617488861084, 44.14651870727539, 43.798831939697266, 63.68606185913086, 62.93263244628906, 63.68606185913086, 24.84449005126953, 35.11387634277344, 32.08909606933594, 30.02266502380371, 0.07732045650482178, 32.170921325683594, 20.768341064453125, 86.99002838134766, 29.18474578857422, 23.040008544921875, 22.86104393005371, 20.84906578063965, 27.09490394592285, 25.961685180664062, 22.356616973876953, 63.68606185913086, 24.108291625976562, 23.951414108276367]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Botswana', 'Bulgaria', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Mexico', 'Netherlands', 'Pakistan', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
