CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,92.4000015258789,98.0,"[24.84262466430664, 12.091136932373047, 24.84262466430664, 22.115680694580078, 21.581201553344727]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,75.5999984741211,70.0,"[24.137683868408203, 14.483521461486816, 24.137685775756836, 21.91559410095215, 21.919818878173828]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,50.400001525878906,56.0,"[38.23445129394531, 27.534034729003906, 38.23445129394531, 36.06385040283203, 36.099517822265625]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,25.200000762939453,28.0,"[46.231117248535156, 37.67454528808594, 46.231117248535156, 43.08797073364258, 41.97941589355469]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[44.42057800292969, 47.12739562988281, 44.42057800292969, 43.74628448486328, 42.07225036621094]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,33.599998474121094,28.0,"[77.14331817626953, 63.532684326171875, 77.14331817626953, 71.5303955078125, 70.16510772705078]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,33.599998474121094,28.0,"[66.63777160644531, 55.43335723876953, 66.63777160644531, 62.06926345825195, 61.02631378173828]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,23.33333396911621,14.0,"[16.43821907043457, 56.8331298828125, 67.79550170898438]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,7.0,0.0,"[-2.5364155769348145, 47.42612075805664]",2021-03-29T00:00:00.000000000,"['Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[37.68815612792969],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,28.0,28.0,[31.718061447143555],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.8189470171928406], [0.0467161126434803], [0.046586472541093826], [0.04687589034438133], [0.046586472541093826], [0.046418026089668274], [0.046689726412296295], [0.0467161126434803], [0.8499953150749207], [0.046418026089668274], [0.04682565852999687], [0.0467161126434803], [0.6266695261001587], [0.8166421055793762], [0.04791732132434845], [0.8264176249504089], [0.8221744298934937], [0.04651521518826485], [0.04654588922858238], [0.04644040763378143], [0.0467161126434803], [0.6929243803024292], [0.04703349992632866], [0.0467161126434803], [0.04716813191771507], [0.04711727425456047], [0.04699898511171341], [0.04728298261761665], [0.0467161126434803], [0.04658990353345871], [0.0467161126434803], [0.046586472541093826], [0.0467161126434803], [0.0467161126434803], [0.04722775146365166], [0.04676065221428871], [0.046586472541093826], [0.0467161126434803], [0.04684034734964371], [0.0467161126434803], [0.04701000452041626], [0.046586472541093826], [0.04707108438014984], [0.0467161126434803], [0.046984218060970306], [0.04644590616226196], [0.04731328412890434], [0.0467161126434803], [0.0467161126434803], [0.04716942086815834], [0.04639620706439018], [0.04639754816889763], [0.0467161126434803], [0.0467161126434803], [0.04703349992632866], [0.04639620706439018], [0.8493821024894714], [0.04675894230604172], [0.7323732972145081], [0.046418026089668274], [0.04719439521431923], [0.046586472541093826], [0.04692855477333069], [0.04654691740870476], [0.0467161126434803], [0.046586472541093826], [0.0467161126434803], [0.04651521518826485], [0.04662855342030525], [0.04661969095468521], [0.0467161126434803], [0.0467161126434803], [0.04663936421275139], [0.046418026089668274], [0.7804679274559021], [0.04673348739743233], [0.04650595039129257], [0.04636367782950401], [0.04657818004488945], [0.0467161126434803], [0.04682565852999687], [0.0467161163687706], [0.04692855477333069], [0.04710594192147255], [0.04658648371696472], [0.04663936793804169], [0.046533647924661636]]",2021-05-10T00:00:00.000000000,[]
