CF1,f11,MAE1,MAE2,pred,date,countries
"[[46  5]
 [34  2]]",0.3976566791534424,112.38888549804688,119.0,"[3.9683330059051514, 4.4935455322265625, 3.9683330059051514, -2.7467808723449707, 4.156045913696289, 4.203965187072754, 4.735846996307373, 3.8385443687438965, 4.778221607208252, 4.203965187072754, 4.929194927215576, 5.227053642272949, 4.203965187072754, -5.7718024253845215, 4.284796237945557, 3.9683330059051514, 4.429213523864746, 3.712157726287842, 5.0230302810668945, 3.6238365173339844, 4.778221607208252, 4.588751316070557, 3.9683330059051514, 4.203965187072754, 3.8385443687438965, 4.0287699699401855, 4.203965187072754, 4.203965187072754, 4.0645294189453125, 4.235507488250732, 3.8216710090637207, 3.9532341957092285, 4.402612686157227, 4.203965187072754, 4.064529895782471, 3.1520638465881348]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'India', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[43  8]
 [28  8]]",0.5063051581382751,77.58333587646484,77.0,"[35.87725067138672, 8.390893936157227, 7.3556694984436035, -3.8240785598754883, 7.7256622314453125, 7.820113658905029, 8.86848258972168, 7.099849700927734, 8.952005386352539, 77.20053100585938, 9.249584197998047, 9.836679458618164, 7.8201141357421875, -7.843569755554199, 30.62864875793457, 7.3556694984436035, 8.264090538024902, 6.850732803344727, 9.434538841247559, 6.676646709442139, 8.952005386352539, 8.5785493850708, 35.87725067138672, 77.20053100585938, 23.96661376953125, 7.474793910980225, 7.820113658905029, 7.8201141357421875, 7.5452775955200195, 7.882284164428711, 7.066589832305908, 11.038344383239746, 8.211658477783203, 7.8201141357421875, 7.5452775955200195, 5.412347793579102]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'India', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[38 13]
 [ 1 35]]",0.8388888835906982,38.400001525878906,28.0,"[64.30203247070312, 72.47895812988281, 45.610042572021484, 30.08642578125, 102.07526397705078, 61.97463607788086, -104.79405212402344, 45.55032730102539, 42.62689971923828, 110.27115631103516, 122.56044006347656, 112.60029602050781, 110.51652526855469, 51.50535202026367, 77.03160095214844, 93.99764251708984, 79.85523986816406, 89.21366882324219, -69.59696197509766, 77.75665283203125, 54.718711853027344, 58.081783294677734, 52.901771545410156, 110.27115631103516, 62.639305114746094, 52.522117614746094, 61.97463607788086, 110.51652526855469, 72.01325988769531, 65.58216857910156, 82.43933868408203, 60.27546691894531, 42.58634948730469, 104.93962860107422, 51.448089599609375]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'India', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[31 20]
 [ 0 36]]",0.7693531513214111,38.5,35.0,"[55.82374954223633, 60.80739212036133, 40.62696075439453, -26.491270065307617, 86.03429412841797, 54.014156341552734, 119.18806457519531, 27.76729965209961, 40.796695709228516, 93.1008529663086, 103.29701232910156, 95.6332778930664, 92.85661315917969, 66.33919525146484, 79.46942138671875, 60.436561584472656, 75.22772979736328, 99.9372787475586, 66.04680633544922, 50.50730895996094, 51.28835678100586, 46.668495178222656, 93.1008529663086, 54.27909469604492, 35.25139236450195, 54.014156341552734, 92.85661315917969, 61.79583740234375, 56.94411087036133, 69.86751556396484, 52.4134407043457, 38.65066909790039, 88.22478485107422, 41.308284759521484]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[34 17]
 [ 1 35]]",0.7930760979652405,33.14706039428711,21.0,"[60.568843841552734, 77.88260650634766, 43.12094497680664, 29.54218101501465, 95.55500793457031, 58.29709243774414, -187.28163146972656, 62.599571228027344, 44.553504943847656, 103.21153259277344, 117.06040954589844, 107.5755844116211, 103.40250396728516, 72.32444763183594, 88.22488403320312, 91.18778991699219, 83.69949340820312, -140.7130889892578, 73.17623138427734, 55.54389572143555, 54.531829833984375, 49.93739700317383, 103.21153259277344, 59.05699157714844, 69.63773345947266, 58.29709243774414, 103.40250396728516, 67.55133819580078, 61.650184631347656, 83.61660766601562, 56.80482482910156, 40.609920501708984, 98.2416763305664, 48.60031509399414]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[31 20]
 [ 0 36]]",0.7693531513214111,38.70588302612305,35.0,"[65.99821472167969, 73.53181457519531, 47.240623474121094, -24.70210075378418, 103.21893310546875, 63.516876220703125, 143.53225708007812, 46.355621337890625, 50.60923767089844, 111.77177429199219, 123.51146697998047, 113.6993179321289, 111.60462951660156, 78.6282958984375, 95.32837677001953, 80.48257446289062, 90.40038299560547, 119.33696746826172, 79.14568328857422, 61.681480407714844, 59.65667724609375, 54.663818359375, 111.77177429199219, 64.27223205566406, 53.25776672363281, 63.516876220703125, 111.60462951660156, 73.32673645019531, 67.10440826416016, 83.43375396728516, 61.84406280517578, 44.24585723876953, 106.0462875366211, 49.57756042480469]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 1 35]]",0.7814937233924866,35.84848403930664,28.0,"[68.8865737915039, 88.31005096435547, 49.425411224365234, 33.64242172241211, 108.29243469238281, 66.4963607788086, -243.38287353515625, 71.19886779785156, 52.20902633666992, 116.60956573486328, 132.54905700683594, 121.75984954833984, 117.10592651367188, 82.1552734375, 100.03496551513672, 103.388671875, 94.91252899169922, -190.462890625, 83.08967590332031, 64.86141967773438, 62.337608337402344, 56.95778274536133, 116.60956573486328, 67.21454620361328, 79.12728118896484, 66.4963607788086, 117.10592651367188, 76.8554916381836, 70.26414489746094, 94.81916809082031, 64.76110076904297, 111.2909164428711, 55.548580169677734]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[33 18]
 [ 0 36]]",0.7928571701049805,34.15151596069336,35.0,"[50.2603874206543, 55.36051559448242, 36.72342300415039, -28.45519256591797, 76.80467224121094, 48.43486022949219, 105.76900482177734, 32.81466293334961, 42.766197204589844, 83.22318267822266, 91.43304443359375, 84.8205337524414, 82.789306640625, 59.36631393432617, 71.09663391113281, 58.214115142822266, 67.49820709228516, 88.60328674316406, 59.4184684753418, 49.56617736816406, 45.800437927246094, 42.15813446044922, 83.22318267822266, 48.93310546875, 38.08437728881836, 48.43486022949219, 82.789306640625, 55.415855407714844, 51.009613037109375, 62.256317138671875, 47.17472839355469, 78.7883071899414, 38.19498825073242]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Italy', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[34 17]
 [ 1 35]]",0.7930760979652405,35.70000076293945,35.0,"[66.63013458251953, 72.77869415283203, 47.85884475708008, -21.809602737426758, 99.15423583984375, 64.22069549560547, 50.630271911621094, 51.26961135864258, 112.58091735839844, 111.57384490966797, 108.6867904663086, 112.95137786865234, 79.31253814697266, 65.42670440673828, 85.76171112060547, -249.63418579101562, 80.3535385131836, 63.391693115234375, 60.123085021972656, 55.14419937133789, 112.58091735839844, 65.03706359863281, 57.58246612548828, 64.22069549560547, 112.95137786865234, 67.35977172851562, 67.84014129638672, 76.47601318359375, 62.63299560546875, 50.29368209838867]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[34 17]
 [ 1 35]]",0.7930760979652405,33.599998474121094,35.0,"[54.74208068847656, 57.432247161865234, 39.729190826416016, -33.13810729980469, 84.08113098144531, 52.612613677978516, 27.763195037841797, 48.174434661865234, 91.208740234375, 99.69420623779297, 92.34117889404297, 90.72383117675781, 64.70126342773438, 77.84039306640625, 73.9522705078125, 96.79610443115234, 65.0385513305664, 55.20731735229492, 49.527015686035156, 45.759185791015625, 91.208740234375, 53.32429504394531, 34.163818359375, 52.612613677978516, 90.72383117675781, 60.39677047729492, 55.45370101928711, 67.39220428466797, 51.32353210449219, 41.179039001464844]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Estonia', 'Fiji', 'France', 'Germany', 'Ghana', 'Indonesia', 'Ireland', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Qatar', 'Rwanda', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
