CF1,f11,MAE1,MAE2,pred,date,countries
"[[45  4]
 [36  2]]",0.3916083872318268,286.631591796875,294.0,"[2.515220880508423, 2.4106547832489014, 2.4939558506011963, 2.515220880508423, 2.7512524127960205, 2.429593086242676, 2.6478748321533203, 2.3778724670410156, 2.292511224746704, 2.3439650535583496, 2.8776721954345703, 2.8370542526245117, 2.742422342300415, 2.9692342281341553, 2.4134302139282227, 2.4106547832489014, 2.515220880508423, 4.142855644226074, 2.4106547832489014, 2.515220880508423, 2.4106547832489014, 2.2969725131988525, 2.515220880508423, 2.878695249557495, 2.2577786445617676, 2.770056962966919, 2.256699562072754, 2.5149707794189453, 2.6478748321533203, 11.625544548034668, 2.4106547832489014, 2.685976266860962, 2.515220880508423, 2.453343629837036, 2.5292181968688965, 2.3455710411071777, 2.515220880508423, 2.4533438682556152]",2021-07-19T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[49  0]
 [37  1]]",0.38860398530960083,272.631591796875,280.0,"[3.7099647521972656, 3.5626792907714844, 3.6800122261047363, 3.7099647521972656, 4.04242467880249, 3.5893545150756836, 3.89681339263916, 3.5165038108825684, 3.3962693214416504, 3.4687442779541016, 4.220491886138916, 4.163280010223389, 4.029987335205078, 4.349460601806641, 3.5665886402130127, 3.5626792907714844, 3.7099647521972656, 1.7475318908691406, 3.5626792907714844, 3.7099647521972656, 3.5626792907714844, 3.4025535583496094, 3.7099647521972656, 4.221933364868164, 3.347346782684326, 4.068911552429199, 3.345827341079712, 3.7096123695373535, 3.89681339263916, -3.420970916748047, 3.5626792907714844, 3.9504806995391846, 3.7099647521972656, 3.6228084564208984, 3.7296805381774902, 3.471006393432617, 3.7099647521972656, 3.6228084564208984]",2021-08-02T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[49  0]
 [37  1]]",0.38860398530960083,67.78947448730469,70.0,"[7.64324951171875, 7.308295249938965, 7.575131416320801, 7.64324951171875, 8.399325370788574, 7.368959426879883, 8.068178176879883, 7.203283309936523, 6.929847717285156, 7.094668388366699, 8.804283142089844, 8.674172401428223, 8.371040344238281, 9.09758186340332, 7.317185401916504, 7.308295249938965, 7.64324951171875, 7.758152008056641, 7.308295249938965, 7.64324951171875, 7.308295249938965, 6.944138526916504, 3.3743650913238525, 8.807560920715332, 6.818589210510254, 8.459562301635742, 6.815133094787598, 7.642448425292969, 8.068178176879883, 6.871774673461914, 7.308295249938965, 8.190227508544922, 7.64324951171875, 7.445039749145508, 7.68808650970459, 7.099813461303711, 7.64324951171875, 7.445039749145508]",2022-02-28T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[49  0]
 [35  3]]",0.4415917694568634,55.26315689086914,56.0,"[8.40571117401123, 8.081748008728027, 8.339828491210938, 1.854149580001831, 9.136975288391113, 8.140421867370605, 8.816695213317871, 7.98018217086792, 7.715540409088135, 7.875132083892822, 9.528644561767578, 9.402803421020508, 9.109619140625, 9.8123197555542, 8.090347290039062, 8.081748008728027, 8.40571117401123, 8.51684284210205, 8.081748008728027, 8.40571117401123, 8.081748008728027, 7.729502201080322, 1.695334553718567, 9.531814575195312, 7.606851577758789, 9.195235252380371, 7.603475570678711, 8.404935836791992, 8.816695213317871, 7.658808708190918, 8.081748008728027, 8.934738159179688, 1.854149580001831, 8.214005470275879, 8.449076652526855, 7.880107402801514, 8.40571117401123, 8.214005470275879]",2022-03-14T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[36 13]
 [ 2 36]]",0.8275862336158752,16.648649215698242,14.0,"[56.3645133972168, 44.1657600402832, 52.43483352661133, 20.72636604309082, 9.568243980407715, 33.900054931640625, 47.9750862121582, 26.5853214263916, 44.50978088378906, 43.922019958496094, 36.51005172729492, 61.451934814453125, 21.932369232177734, 58.18833541870117, 24.889720916748047, 47.16347122192383, 56.3645133972168, 20.9529972076416, 48.22655487060547, 31.999692916870117, 27.587596893310547, 46.18002700805664, 2.6944117546081543, 27.46505355834961, 42.005428314208984, 36.688968658447266, 20.435131072998047, 36.89408874511719, 47.9750862121582, 9.948901176452637, 48.22655487060547, 46.44430923461914, 52.17692565917969, 47.199520111083984, 35.36881637573242, 2.6473968029022217, 52.17692565917969]",2022-03-28T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[36 13]
 [ 1 37]]",0.8390591740608215,23.08108139038086,28.0,"[75.32910919189453, 59.02867126464844, 70.08511352539062, 28.768463134765625, 6.726884841918945, 45.37141418457031, 64.23394012451172, 35.603370666503906, 59.42023468017578, 58.666629791259766, 49.09772872924805, 82.28366088867188, 30.019861221313477, 78.0128173828125, 33.43288803100586, 54.56594467163086, 75.32910919189453, 28.558576583862305, 64.43528747558594, 42.88941955566406, 36.95625686645508, 61.646541595458984, 11.346656799316406, 18.93979263305664, 56.06636047363281, 49.275306701660156, 27.57241439819336, 49.40574645996094, 64.23394012451172, 15.036760330200195, 64.43528747558594, 62.21727752685547, 69.7188720703125, 63.13457489013672, 47.2796630859375, 4.862553596496582, 69.7188720703125]",2022-04-11T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[35 14]
 [ 2 36]]",0.816067636013031,13.61111068725586,14.0,"[43.36827087402344, 35.697486877441406, 40.93878173828125, 28.639198303222656, -27.80793571472168, 16.232906341552734, 8.540903091430664, 25.7313289642334, 35.508583068847656, 10.151153564453125, 33.33747863769531, 41.25523376464844, 24.723867416381836, 45.982139587402344, 24.948415756225586, 5.116655349731445, 43.36827087402344, 17.639612197875977, 38.134498596191406, 29.302614212036133, 26.42384147644043, 36.52588653564453, 15.850456237792969, -9.465336799621582, 33.8894157409668, 32.97669982910156, 21.82347297668457, 18.297996520996094, 8.54589557647705, 1.4807746410369873, 10.289440155029297, 37.99470520019531, 16.2275333404541, 37.914913177490234, 30.435537338256836, 40.648094177246094]",2022-04-25T00:00:00.000000000,"['Aruba', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom']"
"[[35 14]
 [ 2 36]]",0.816067636013031,6.77419376373291,0.0,"[3.749985933303833, 4.051308631896973, 0.7362073659896851, 3.570530414581299, 3.8124783039093018, 27.214069366455078, 39.329803466796875, 3.721127510070801, 42.17638397216797, 4.212484359741211, 35.77220153808594, 6.97796630859375, 37.01805114746094, 25.145143508911133, 3.994940757751465, 3.492990016937256, 3.8460631370544434, 3.559520721435547, 3.9043025970458984, 4.000876426696777, 14.873261451721191, 3.849860668182373, 40.77461624145508, 24.507478713989258, 35.45924377441406, 3.7747316360473633, 1.8995752334594727, 3.390080451965332, 49.99665069580078, 4.216128826141357, 3.930418014526367]",2022-05-09T00:00:00.000000000,"['Bahrain', 'Belgium', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Ecuador', 'Finland', 'France', 'Georgia', 'Germany', 'Greece', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'Norway', 'Pakistan', 'Panama', 'Peru', 'Philippines', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom']"
"[[35 14]
 [ 2 36]]",0.816067636013031,10.88888931274414,0.0,"[4.842555522918701, 6.6946306228637695, 42.86940002441406, -0.2408301830291748, 38.7652587890625, -9.261723518371582, 23.671777725219727, 16.676898956298828, 5.1148223876953125]",2022-05-23T00:00:00.000000000,"['Czech Republic', 'Finland', 'Georgia', 'Germany', 'Greece', 'Mauritius', 'Pakistan', 'Panama', 'Sweden']"
"[[36 13]
 [ 2 36]]",0.8275862336158752,-1,-1,"[[0.6096341013908386], [0.9803858995437622], [0.2424880415201187], [0.7862694263458252], [0.9448807835578918], [0.17753031849861145], [0.9717416167259216], [0.8880701065063477], [0.5819778442382812], [0.2078441083431244], [0.5581634044647217], [0.06249336153268814], [0.7688517570495605], [0.7940056920051575], [0.6393733024597168], [0.8134164214134216], [0.7265536189079285], [0.20190465450286865], [0.7996673583984375], [0.949982762336731], [0.06249336153268814], [0.8173326849937439], [0.2675088942050934], [0.06249336153268814], [0.8191662430763245], [0.981702983379364], [0.3798259198665619], [0.9826387166976929], [0.06249336153268814], [0.7317206263542175], [0.06249336153268814], [0.8539230823516846], [0.981480062007904], [0.06249336153268814], [0.21756698191165924], [0.6548454165458679], [0.9617788195610046], [0.861362874507904], [0.6229938268661499], [0.06249336153268814], [0.058860909193754196], [0.8179608583450317], [0.1981065273284912], [0.861362874507904], [0.1959405243396759], [0.9539698362350464], [0.3190305233001709], [0.06249336153268814], [0.9788211584091187], [0.8433641791343689], [0.31051427125930786], [0.9366732835769653], [0.06249336153268814], [0.06249336153268814], [0.8119075894355774], [0.671754002571106], [0.7930470108985901], [0.3374699652194977], [0.8289007544517517], [0.33807992935180664], [0.33461275696754456], [0.8488054871559143], [0.9531320929527283], [0.17839163541793823], [0.06249336153268814], [0.3475351631641388], [0.06249336153268814], [0.5760859847068787], [0.5332530736923218], [0.2632875442504883], [0.8880701065063477], [0.06249336153268814], [0.9115473031997681], [0.17753031849861145], [0.13060569763183594], [0.9583418965339661], [0.8947151899337769], [0.23591402173042297], [0.20200522243976593], [0.06249336153268814], [0.769137978553772], [0.6800106167793274], [0.6469231247901917], [0.20936259627342224], [0.8631515502929688], [0.9718453884124756], [0.20001395046710968]]",2022-06-06T00:00:00.000000000,[]
