CF1,f11,MAE1,MAE2,pred,date,countries
"[[75  5]
 [ 6  1]]",0.5427615642547607,74.0,84.0,"[7.71974515914917, 3.053463935852051, 2.452908992767334, 2.667381763458252, 2.24923038482666, 2.3131558895111084, 2.6812071800231934]",2022-06-20T00:00:00.000000000,"['India', 'Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69 11]
 [ 0  7]]",0.7430872321128845,32.66666793823242,28.0,"[53.66025924682617, 77.02942657470703, 38.61627197265625, 40.01854705810547, 45.833526611328125, 32.09798812866211]",2022-07-04T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[69 11]
 [ 0  7]]",0.7430872321128845,16.33333396911621,14.0,"[59.99400329589844, 78.70404815673828, 44.528629302978516, 43.95975875854492, 49.5599250793457, 35.8855094909668]",2022-07-18T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[74  6]
 [ 1  6]]",0.7932088375091553,23.33333396911621,14.0,"[37.118045806884766, 42.489166259765625, 29.163354873657227, 26.74753761291504, 29.33229637145996, 24.14058494567871]",2022-08-01T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[74  6]
 [ 0  7]]",0.8305194973945618,11.666666984558105,0.0,"[33.69736099243164, 54.340091705322266, 35.14055633544922, 17.171354293823242, 33.0058708190918, 29.180326461791992]",2022-08-15T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Qatar', 'Singapore', 'Thailand', 'Vietnam']"
"[[72  8]
 [ 0  7]]",0.7918660044670105,16.799999237060547,14.0,"[43.65839767456055, 76.33613586425781, 18.564701080322266, 46.05006408691406, 40.273834228515625]",2022-08-29T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Singapore', 'Thailand', 'Vietnam']"
"[[72  8]
 [ 0  7]]",0.7918660044670105,14.0,14.0,"[19.894542694091797, 2.611938953399658, 31.24053192138672, 29.650955200195312]",2022-09-12T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Thailand', 'Vietnam']"
"[[70 10]
 [ 0  7]]",0.7583333253860474,9.333333015441895,14.0,"[4.512568473815918, 14.284843444824219, 7.295284271240234]",2022-09-26T00:00:00.000000000,"['Malaysia', 'Mauritius', 'Thailand']"
"[[69 11]
 [ 0  7]]",0.7430872321128845,0.0,0.0,[-39.390377044677734],2022-10-10T00:00:00.000000000,['Malaysia']
"[[69 11]
 [ 0  7]]",0.7430872321128845,-1,-1,"[[0.0672483965754509], [0.06586968153715134], [0.06755691766738892], [0.06384985893964767], [0.8098239302635193], [0.6012470126152039], [0.06620960682630539], [0.06586969643831253], [0.06276975572109222], [0.7215644121170044], [0.06447783857584], [0.8978683352470398], [0.0622042752802372], [0.0672483965754509], [0.538153886795044], [0.06378563493490219], [0.06755691766738892], [0.06850329786539078], [0.06809406727552414], [0.06951140612363815], [0.06586968153715134], [0.06865383684635162], [0.06192060932517052], [0.06586968153715134], [0.06032024323940277], [0.060919661074876785], [0.06233793869614601], [0.05898914858698845], [0.06586968153715134], [0.06751161813735962], [0.06586968153715134], [0.06755691766738892], [0.06586968153715134], [0.06586968153715134], [0.797039806842804], [0.7587928175926208], [0.06755691766738892], [0.06586969643831253], [0.0642935261130333], [0.06586968153715134], [0.0622042752802372], [0.06755691766738892], [0.061469342559576035], [0.06586969643831253], [0.06251730769872665], [0.06943663954734802], [0.9265573024749756], [0.06586968153715134], [0.9916308522224426], [0.06030520796775818], [0.590010941028595], [0.07009585201740265], [0.06586968153715134], [0.06586968153715134], [0.06192060932517052], [0.590010941028595], [0.06587369740009308], [0.26949864625930786], [0.06378563493490219], [0.7215644121170044], [0.06001317501068115], [0.06755691766738892], [0.8808426260948181], [0.06808047741651535], [0.06586968153715134], [0.06755691766738892], [0.06586968153715134], [0.8357220888137817], [0.06700432300567627], [0.06712037324905396], [0.06586969643831253], [0.06586968153715134], [0.06686331331729889], [0.6012470126152039], [0.06928925961256027], [0.06564684212207794], [0.06862720847129822], [0.3750985562801361], [0.9094176888465881], [0.06586968153715134], [0.06447783857584], [0.06586968153715134], [0.0631985142827034], [0.061054158955812454], [0.8098239302635193], [0.06686331331729889], [0.8284344673156738]]",2022-10-24T00:00:00.000000000,[]
