CF1,f11,MAE1,MAE2,pred,date,countries
"[[48 19]
 [ 0 20]]",0.7563743591308594,34.6315803527832,28.0,"[26.951997756958008, 18.910892486572266, 13.534163475036621, 52.83216094970703, 29.703344345092773, 19.07719612121582, 60.23880386352539, 50.98162078857422, 17.98186492919922, 35.81999206542969, 60.23880386352539, 18.484403610229492, 60.23880386352539, 29.041933059692383, 60.23880386352539, 36.50310134887695, 33.671775817871094, 46.12383270263672, 36.00431823730469]",2023-02-13T00:00:00.000000000,"['Australia', 'Bangladesh', 'Brunei', 'China', 'France', 'Greece', 'Hong Kong', 'Ireland', 'Japan', 'Malaysia', 'Mauritius', 'Netherlands', 'New Zealand', 'Singapore', 'South Korea', 'Taiwan', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[55 12]
 [ 0 20]]",0.8354350328445435,25.052631378173828,14.0,"[29.94525718688965, 24.990449905395508, 13.946117401123047, 58.14309310913086, 33.258853912353516, 21.6527099609375, 65.11669158935547, 55.2882080078125, 21.22140121459961, 38.67817306518555, 65.11669158935547, 20.927982330322266, 65.11669158935547, 33.43813705444336, 65.11669158935547, 40.603843688964844, 38.35283279418945, 50.19159698486328, 40.03570556640625]",2023-02-27T00:00:00.000000000,"['Australia', 'Bangladesh', 'Brunei', 'China', 'France', 'Greece', 'Hong Kong', 'Ireland', 'Japan', 'Malaysia', 'Mauritius', 'Netherlands', 'New Zealand', 'Singapore', 'South Korea', 'Taiwan', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[59  8]
 [ 3 17]]",0.8351421356201172,22.55555534362793,14.0,"[0.14473795890808105, 16.75727653503418, 46.737525939941406, 29.430910110473633, 20.17043685913086, 50.538795471191406, 43.46064758300781, 23.1567325592041, 22.785913467407227, 50.538795471191406, 19.261089324951172, 50.538795471191406, 14.953211784362793, 50.538795471191406, 32.18451690673828, 27.216468811035156, 40.04136276245117, 32.2649040222168]",2023-03-13T00:00:00.000000000,"['Australia', 'Bangladesh', 'China', 'France', 'Greece', 'Hong Kong', 'Ireland', 'Japan', 'Malaysia', 'Mauritius', 'Netherlands', 'New Zealand', 'Singapore', 'South Korea', 'Taiwan', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[60  7]
 [ 2 18]]",0.8651162981987,26.352941513061523,28.0,"[-20.16535186767578, 35.548439025878906, 83.23311614990234, 47.10580825805664, 31.677095413208008, 82.399169921875, 70.53694152832031, 4.286043167114258, -10.072675704956055, 82.399169921875, 30.007490158081055, 82.399169921875, 82.399169921875, 52.881900787353516, 3.3895423412323, 64.78050994873047, 45.46619415283203]",2023-03-27T00:00:00.000000000,"['Australia', 'Bangladesh', 'China', 'France', 'Greece', 'Hong Kong', 'Ireland', 'Japan', 'Malaysia', 'Mauritius', 'Netherlands', 'New Zealand', 'South Korea', 'Taiwan', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[58  9]
 [ 0 20]]",0.8721632361412048,23.69230842590332,14.0,"[-42.762420654296875, 27.055103302001953, 16.975282669067383, 37.471702575683594, 2.3091342449188232, 64.16632843017578, 55.298004150390625, 64.16632843017578, 24.976276397705078, -5.186948776245117, -3.3688831329345703, 2.9705309867858887, 50.982025146484375]",2023-04-10T00:00:00.000000000,"['Australia', 'Bangladesh', 'China', 'France', 'Greece', 'Hong Kong', 'Ireland', 'Mauritius', 'Netherlands', 'New Zealand', 'South Korea', 'Taiwan', 'United Kingdom']"
"[[57 10]
 [ 0 20]]",0.8596774339675903,21.0,14.0,"[30.05876922607422, 36.87016296386719, -11.699682235717773, 70.5501708984375, 39.79053497314453, 29.088653564453125, -73.1352767944336, 36.277828216552734]",2023-04-24T00:00:00.000000000,"['Bangladesh', 'France', 'Greece', 'Hong Kong', 'Ireland', 'Netherlands', 'South Korea', 'United Kingdom']"
"[[57 10]
 [ 1 19]]",0.8437551259994507,12.0,14.0,"[22.832414627075195, 4.866044521331787, -38.53770065307617, 20.183975219726562, 3.1456751823425293, -161.13787841796875, 5.353314399719238]",2023-05-08T00:00:00.000000000,"['Bangladesh', 'France', 'Greece', 'Ireland', 'Netherlands', 'South Korea', 'United Kingdom']"
"[[60  7]
 [ 2 18]]",0.8651162981987,8.399999618530273,14.0,"[27.720083236694336, -23.429096221923828, 18.846336364746094, -21.37278175354004, 13.619949340820312]",2023-05-22T00:00:00.000000000,"['Bangladesh', 'France', 'Greece', 'Netherlands', 'South Korea']"
"[[55 12]
 [ 0 20]]",0.8354350328445435,7.0,0.0,"[-33.65825271606445, 16.078393936157227]",2023-06-05T00:00:00.000000000,"['Greece', 'South Korea']"
"[[57 10]
 [ 2 18]]",0.8273809552192688,-1,-1,"[[0.11331720650196075], [0.11300783604383469], [0.8990711569786072], [0.18382301926612854], [0.11338569223880768], [0.8250637650489807], [0.5359694957733154], [0.1130078136920929], [0.11229246109724045], [0.9778447151184082], [0.5220622420310974], [0.5638837218284607], [0.11215884983539581], [0.11331720650196075], [0.9008563160896301], [0.11252998560667038], [0.11338569223880768], [0.13826018571853638], [0.146610826253891], [0.15805013477802277], [0.11300783604383469], [0.11362732201814651], [0.11209145933389664], [0.11300783604383469], [0.1117064356803894], [0.33588707447052], [0.2821177542209625], [0.40552157163619995], [0.11300783604383469], [0.5894274115562439], [0.11300783604383469], [0.11338569223880768], [0.980643630027771], [0.11300783604383469], [0.8718286752700806], [0.9670574069023132], [0.77268385887146], [0.1130078136920929], [0.20339317619800568], [0.11300783604383469], [0.5968602895736694], [0.11338569223880768], [0.11198373138904572], [0.1130078136920929], [0.11223291605710983], [0.4258309006690979], [0.9938302636146545], [0.11300783604383469], [0.9811978936195374], [0.11170279234647751], [0.6672861576080322], [0.48578041791915894], [0.9953625202178955], [0.11300783604383469], [0.11209145933389664], [0.6672861576080322], [0.11300871521234512], [0.9360310435295105], [0.11252998560667038], [0.8794185519218445], [0.13875052332878113], [0.1850181221961975], [0.1123930811882019], [0.2940270006656647], [0.11300783604383469], [0.11338569223880768], [0.11300783604383469], [0.9498804807662964], [0.11326278746128082], [0.13435809314250946], [0.1130078136920929], [0.9811956882476807], [0.2499365359544754], [0.5987337827682495], [0.11376582831144333], [0.11295732110738754], [0.2711564004421234], [0.5302844643592834], [0.5829253196716309], [0.11300783604383469], [0.5220622420310974], [0.11300783604383469], [0.1123930811882019], [0.11188405007123947], [0.11338571459054947], [0.6951727271080017], [0.7102763652801514]]",2023-06-19T00:00:00.000000000,[]
