CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 81]
 [ 0  6]]",0.06451612710952759,116.66666412353516,126.0,"[3.4925053119659424, 2.606846332550049, 3.1652021408081055, 5.206287384033203, 2.743772029876709, 2.5314266681671143]",2023-01-02T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'India', 'Mauritius', 'Singapore']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,98.0,112.0,"[27.153535842895508, 36.168212890625, 23.17503547668457, 78.23394012451172, 24.058631896972656]",2023-01-16T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius', 'Singapore']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,92.4000015258789,98.0,"[15.82397174835205, 26.810937881469727, 18.932491302490234, 54.509395599365234, 18.791288375854492]",2023-01-30T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius', 'Singapore']"
"[[80  1]
 [ 3  3]]",0.787804901599884,78.4000015258789,84.0,"[18.766054153442383, 22.403066635131836, 16.32474708557129, 44.388755798339844, 16.02878189086914]",2023-02-13T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius', 'Singapore']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,61.599998474121094,70.0,"[26.198278427124023, 35.53120803833008, 27.082834243774414, 69.32618713378906, 1.525528073310852]",2023-02-27T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius', 'Singapore']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,53.20000076293945,56.0,"[17.579437255859375, 25.444183349609375, 18.61538314819336, 50.13475799560547, -13.279151916503906]",2023-03-13T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius', 'Singapore']"
"[[79  2]
 [ 1  5]]",0.8752986192703247,52.5,42.0,"[26.6475830078125, 33.00090408325195, 23.68581771850586, 65.80805206298828]",2023-03-27T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius']"
"[[80  1]
 [ 3  3]]",0.787804901599884,45.5,28.0,"[19.838685989379883, 23.175905227661133, 17.495386123657227, 43.788814544677734]",2023-04-10T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius']"
"[[80  1]
 [ 3  3]]",0.787804901599884,28.0,14.0,"[31.62696647644043, 37.501373291015625, 27.003149032592773, 7.069669723510742]",2023-04-24T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius']"
"[[80  1]
 [ 2  4]]",0.8544338941574097,21.0,0.0,"[23.674049377441406, 27.631982803344727, 20.97408103942871, -194.97637939453125]",2023-05-08T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France', 'Mauritius']"
"[[79  2]
 [ 1  5]]",0.8752986192703247,23.33333396911621,14.0,"[27.67156219482422, 32.19346618652344, 3.9441399574279785]",2023-05-22T00:00:00.000000000,"['Bangladesh', 'Costa Rica', 'France']"
"[[79  2]
 [ 1  5]]",0.8752986192703247,21.0,14.0,"[7.31369161605835, -30.40596580505371]",2023-06-05T00:00:00.000000000,"['Costa Rica', 'France']"
"[[79  2]
 [ 1  5]]",0.8752986192703247,7.0,0.0,"[-66.64356231689453, -61.52098083496094]",2023-06-19T00:00:00.000000000,"['Costa Rica', 'France']"
"[[79  2]
 [ 2  4]]",0.8209876418113708,7.0,0.0,"[-75.4358901977539, 26.95465660095215]",2023-07-03T00:00:00.000000000,"['Costa Rica', 'France']"
"[[80  1]
 [ 3  3]]",0.787804901599884,-1,-1,"[[0.1297052800655365], [0.12811075150966644], [0.12993165850639343], [0.18047991394996643], [0.12993165850639343], [0.7311376333236694], [0.23350046575069427], [0.12811073660850525], [0.12418706715106964], [0.2111779898405075], [0.12635783851146698], [0.12811073660850525], [0.12346349656581879], [0.1297052800655365], [0.15482023358345032], [0.27645379304885864], [0.8962184190750122], [0.15886208415031433], [0.14241765439510345], [0.14723896980285645], [0.12811075150966644], [0.13073164224624634], [0.12309955060482025], [0.12811075150966644], [0.12103444337844849], [0.380964457988739], [0.12363472580909729], [0.21046039462089539], [0.12811075150966644], [0.12989845871925354], [0.12811075150966644], [0.12993165850639343], [0.12811075150966644], [0.12811075150966644], [0.4615950882434845], [0.4817436635494232], [0.21058771014213562], [0.12811073660850525], [0.1903236359357834], [0.12811075150966644], [0.12346349656581879], [0.12993165850639343], [0.12251929193735123], [0.12811073660850525], [0.1238643079996109], [0.2530115246772766], [0.379858136177063], [0.12811075150966644], [0.12811075150966644], [0.12101493030786514], [0.22585123777389526], [0.18626193702220917], [0.12811075150966644], [0.12811075150966644], [0.12309955060482025], [0.22585123777389526], [0.6676320433616638], [0.22952866554260254], [0.12548086047172546], [0.2111779898405075], [0.13035784661769867], [0.21058771014213562], [0.12473404407501221], [0.13031449913978577], [0.12811075150966644], [0.12993165850639343], [0.12811075150966644], [0.5580050945281982], [0.12952569127082825], [0.15364430844783783], [0.12811073660850525], [0.12811075150966644], [0.22028198838233948], [0.2513716518878937], [0.13119153678417206], [0.12783102691173553], [0.21946153044700623], [0.13210465013980865], [0.19216232001781464], [0.12811075150966644], [0.12635783851146698], [0.12811075150966644], [0.12473404407501221], [0.12198400497436523], [0.12993165850639343], [0.22028198838233948], [0.130443274974823]]",2023-07-17T00:00:00.000000000,[]
