CF1,f11,MAE1,MAE2,pred,date,countries
"[[29 22]
 [ 8 28]]",0.6551268696784973,93.33333587646484,91.0,"[5.11777925491333, 23.854772567749023, 13.779974937438965, 0.5327935814857483, 36.29250717163086, 51.820587158203125, 13.954310417175293, 0.5697040557861328, 6.68104362487793, 43.416282653808594, 38.937068939208984, 1.7612717151641846, 12.956703186035156, 33.367496490478516, 0.5697040557861328, 26.895641326904297, 0.5536785125732422, 31.754657745361328, 41.522857666015625, 27.30626106262207, 17.044464111328125, 17.88204574584961, 0.5697040557861328, 0.5697040557861328, 11.106610298156738, 16.48681640625, 0.5697040557861328, 39.63447952270508, 24.25741958618164, 12.64544677734375, 28.862367630004883, 17.571414947509766, 11.891668319702148, 39.63447952270508, 37.58511734008789, 15.140186309814453]",2020-12-28T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[22 29]
 [ 0 36]]",0.6578055024147034,76.19999694824219,84.0,"[25.76513671875, 37.91118621826172, 36.13413619995117, 19.597570419311523, 43.539764404296875, 62.0550537109375, 38.65540313720703, 47.45418930053711, 52.51055908203125, 58.89816665649414, 49.90129089355469, 31.338254928588867, 40.047794342041016, 24.171110153198242, 49.087486267089844, 20.269744873046875, 38.11406707763672, 49.812889099121094, 32.81412887573242, 40.02016830444336, 37.49044418334961, 47.45418930053711, 47.45418930053711, 25.183692932128906, 40.43301773071289, 24.171110153198242, 47.52048873901367, 45.0509033203125, 33.16147232055664, 39.90397644042969, 23.8314151763916, 22.26955223083496, 47.52048873901367, 45.073455810546875, 22.201688766479492]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,63.0,63.0,"[28.7463321685791, 42.09099578857422, 40.11992263793945, 28.245012283325195, 48.1999397277832, 68.57130432128906, 42.87910079956055, 52.65056228637695, 58.27692413330078, 65.15160369873047, 55.30280303955078, 34.8808708190918, 44.34950637817383, 27.035804748535156, 54.36897277832031, 22.71820068359375, 42.200927734375, 55.17364501953125, 36.37803268432617, 44.3824577331543, 41.66237258911133, 52.65056228637695, 52.65056228637695, 28.06932258605957, 44.84528732299805, 27.035804748535156, 52.571475982666016, 49.89931106567383, 36.882591247558594, 44.19304275512695, 26.568349838256836, 24.919050216674805, 52.571475982666016, 49.87240219116211, 25.740718841552734]",2021-01-11T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,58.599998474121094,63.0,"[30.734668731689453, 44.92289733886719, 42.746192932128906, 21.237648010253906, 51.37572479248047, 72.94942474365234, 45.63755416870117, 55.89615249633789, 61.93142318725586, 69.3307113647461, 58.974788665771484, 37.26109313964844, 47.28998947143555, 28.937082290649414, 57.85258102416992, 24.368427276611328, 44.994510650634766, 58.82988739013672, 38.83591079711914, 47.247806549072266, 44.45319747924805, 55.89615249633789, 55.89615249633789, 30.037109375, 47.738563537597656, 28.937082290649414, 55.99739456176758, 53.098121643066406, 39.36130142211914, 47.088905334472656, 28.49968910217285, 26.783647537231445, 55.99739456176758, 53.132564544677734, 26.243824005126953]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[29 22]
 [ 0 36]]",0.7454787492752075,41.79999923706055,49.0,"[42.51347351074219, 62.198028564453125, 59.22706604003906, 41.73734664916992, 71.13641357421875, 101.13994598388672, 63.264915466308594, 77.6491470336914, 86.01405334472656, 96.13236999511719, 81.69681549072266, 51.567867279052734, 65.45626068115234, 40.02457046508789, 80.22184753417969, 33.65507507324219, 62.26903533935547, 81.48545837402344, 53.70191955566406, 65.49090576171875, 61.5686149597168, 77.6491470336914, 77.6491470336914, 41.508975982666016, 66.17732238769531, 40.02457046508789, 77.56600952148438, 73.61170959472656, 54.502113342285156, 65.20552825927734, 39.323097229003906, 36.94818115234375, 77.56600952148438, 73.58343505859375, 38.09589767456055]",2021-01-25T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,38.20000076293945,42.0,"[45.35771179199219, 65.96759033203125, 62.60719299316406, 27.239757537841797, 75.0322494506836, 106.30956268310547, 66.70076751708984, 81.70054626464844, 90.77679443359375, 101.23377990722656, 86.50181579589844, 54.879093170166016, 69.06903076171875, 42.90913009643555, 84.52750396728516, 36.21528625488281, 65.64185333251953, 86.17932891845703, 56.752567291259766, 69.07186126708984, 65.36348724365234, 81.70054626464844, 81.70054626464844, 44.26437759399414, 69.81096649169922, 42.90913009643555, 81.69375610351562, 77.51082611083984, 57.87718200683594, 68.72251892089844, 42.085453033447266, 39.867252349853516, 81.69375610351562, 77.50849914550781, 38.10279846191406]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[29 22]
 [ 0 36]]",0.7454787492752075,30.058822631835938,21.0,"[62.947025299072266, 92.1424789428711, 87.2897720336914, 61.691490173339844, 104.78778076171875, 32.36752700805664, 93.10277557373047, 114.13835906982422, 126.7238540649414, 141.52867126464844, 120.74749755859375, 76.29400634765625, 96.4278564453125, 59.418113708496094, 118.09052276611328, 50.149906158447266, 91.66706085205078, 36.84506607055664, 79.1484603881836, 96.41281127929688, 91.10863494873047, 114.13835906982422, 114.13835906982422, 61.450069427490234, 97.43695831298828, 59.418113708496094, 114.1744613647461, 108.29708099365234, 80.57952117919922, 95.97706604003906, 58.51158905029297, 55.62232208251953, 108.30937194824219, 56.67939758300781]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,30.545454025268555,28.0,"[41.4793586730957, 51.5580940246582, 56.77020263671875, 24.29688835144043, 67.8084487915039, 95.71666717529297, 43.2039794921875, 73.81868743896484, 82.1170654296875, 88.95442962646484, 76.5183334350586, 50.01222610473633, 62.46330261230469, 39.389923095703125, 61.88518524169922, 33.375038146972656, 59.34469223022461, 77.96248626708984, 51.43698501586914, 62.500823974609375, 59.40222930908203, 73.81868743896484, 73.81868743896484, 40.45534896850586, 39.389923095703125, 73.7286376953125, 70.0053939819336, 52.65835189819336, 56.61922073364258, 38.54356384277344, 36.72950744628906, 69.9747543334961, 34.850276947021484]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[30 21]
 [ 0 36]]",0.7574671506881714,27.787878036499023,21.0,"[56.003177642822266, 81.35748291015625, 77.14192962646484, 54.775390625, 92.43158721923828, 19.72412109375, 82.14399719238281, 100.48423767089844, 111.66590118408203, 124.5729751586914, 106.54999542236328, 67.7019271850586, 85.11167907714844, 53.0075798034668, 104.04154968261719, 44.79939270019531, 80.89517211914062, 31.447147369384766, 69.9958724975586, 85.06420135498047, 80.56922149658203, 100.48423767089844, 100.48423767089844, 54.6753044128418, 53.0075798034668, 100.59818267822266, 95.4214859008789, 71.3670425415039, 84.663818359375, 52.03629684448242, 49.392574310302734, 95.46025848388672, 50.41539001464844]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[29 22]
 [ 0 36]]",0.7454787492752075,26.303030014038086,21.0,"[44.441986083984375, 53.91753387451172, 60.22439193725586, 24.7598934173584, 71.70326232910156, 100.91459655761719, 43.859004974365234, 78.10598754882812, 87.06066131591797, 93.65990447998047, 81.0013198852539, 53.39823913574219, 66.04900360107422, 42.42454528808594, 63.8282585144043, 36.080631256103516, 62.74537658691406, 82.6240005493164, 54.491790771484375, 66.15391540527344, 63.25257873535156, 78.10598754882812, 78.10598754882812, 43.28886032104492, 42.42454528808594, 77.85420989990234, 73.99031829833984, 56.12515640258789, 59.268821716308594, 41.34390640258789, 39.72625732421875, 73.90464782714844, 37.23283004760742]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Israel', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'South Africa', 'South Korea', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
