CF1,f11,MAE1,MAE2,pred,date,countries
"[[18 31]
 [ 0 38]]",0.6237968802452087,272.43243408203125,280.0,"[27.97956085205078, 39.91254806518555, 21.36943817138672, 25.803401947021484, 30.226497650146484, 37.76608657836914, 39.912540435791016, 52.29069900512695, 27.97956085205078, 21.72214126586914, 22.423383712768555, 32.13125228881836, 22.65300941467285, 45.94072341918945, 44.27142333984375, 39.91254806518555, 15.119808197021484, 17.909847259521484, 33.545902252197266, 19.99612808227539, 16.675094604492188, 33.31007385253906, 39.91254806518555, 41.81338119506836, 30.178966522216797, 39.91254806518555, 23.088359832763672, 28.578670501708984, 15.700738906860352, 33.545902252197266, 31.337257385253906, 39.912540435791016, 36.65846633911133, 32.382625579833984, 27.651681900024414, 39.91254806518555, 36.65846633911133]",2021-06-21T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[32 17]
 [ 0 38]]",0.8036638498306274,225.8918914794922,238.0,"[58.46736526489258, 83.38275146484375, 44.660099029541016, 52.1497917175293, 63.16586685180664, 78.49026489257812, 83.38273620605469, 109.19808959960938, 58.46736526489258, 45.349464416503906, 44.24699401855469, 66.63743591308594, 47.30582046508789, 95.58766174316406, 91.11682891845703, 83.38275146484375, 31.499061584472656, 37.403533935546875, 70.10136413574219, 41.76976013183594, 34.85182571411133, 69.17082214355469, 83.38275146484375, 87.28143310546875, 62.56534957885742, 83.38275146484375, 48.243797302246094, 59.67536544799805, 32.843353271484375, 70.10136413574219, 65.43145751953125, 83.38273620605469, 76.59614562988281, 67.64706420898438, 57.387168884277344, 83.38275146484375, 76.59614562988281]",2021-07-05T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Philippines', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[35 14]
 [ 0 38]]",0.8388888835906982,242.6666717529297,238.0,"[36.274925231933594, 51.58612823486328, 27.795063018798828, 32.30727767944336, 39.156044006347656, 48.59645462036133, 51.586124420166016, 67.47663116455078, 36.274925231933594, 28.260543823242188, 27.274158477783203, 41.28907775878906, 29.43236541748047, 59.1502571105957, 56.32123565673828, 51.58612823486328, 19.806785583496094, 20.554155349731445, 43.413848876953125, 26.03927230834961, 21.773611068725586, 42.84209442138672, 51.58612823486328, 54.044368743896484, 38.7829704284668, 51.58612823486328, 29.980743408203125, 37.05543899536133, 43.413848876953125, 40.59599304199219, 51.586124420166016, 47.40869903564453, 41.92824935913086, 35.614501953125, 51.58612823486328, 47.40869903564453]",2021-07-19T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[37 12]
 [ 0 38]]",0.8620507121086121,218.94444274902344,224.0,"[43.92036437988281, 62.23078155517578, 33.7840461730957, 38.15289306640625, 47.360164642333984, 58.40697479248047, 62.23078155517578, 81.2578125, 43.92036819458008, 34.378726959228516, 31.55447006225586, 49.5700798034668, 35.76454544067383, 71.1259994506836, 67.17829895019531, 62.23078155517578, 24.321855545043945, 24.375890731811523, 52.448150634765625, 31.70285987854004, 26.588550567626953, 51.469482421875, 62.23078155517578, 65.22720336914062, 46.56970977783203, 62.23078155517578, 36.39630889892578, 44.888423919677734, 52.448150634765625, 49.12547302246094, 62.23078155517578, 57.22881317138672, 50.69209289550781, 42.86978530883789, 62.23078155517578, 57.228816986083984]",2021-08-02T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[37 12]
 [ 0 38]]",0.8620507121086121,201.05555725097656,210.0,"[48.980018615722656, 69.26128387451172, 37.75514602661133, 42.96112823486328, 52.7869987487793, 65.04364776611328, 69.26127624511719, 90.3490982055664, 48.98001480102539, 38.43424606323242, 35.88431930541992, 55.24689865112305, 40.095584869384766, 79.15260314941406, 75.03585815429688, 69.26128387451172, 27.323135375976562, 28.114404678344727, 58.420562744140625, 35.459896087646484, 29.788084030151367, 57.34723663330078, 69.26128387451172, 72.61065673828125, 51.92177200317383, 69.26128387451172, 40.798336029052734, 50.07087326049805, 58.420562744140625, 54.76557540893555, 69.26127624511719, 63.71757507324219, 56.486534118652344, 47.827510833740234, 69.26128387451172, 63.71757507324219]",2021-08-16T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[34 15]
 [ 0 38]]",0.8272209763526917,187.05555725097656,196.0,"[49.481876373291016, 69.9480209350586, 38.1501350402832, 43.36989974975586, 53.329158782958984, 65.6925048828125, 69.9480209350586, 91.20464324951172, 49.481876373291016, 38.798038482666016, 36.2662239074707, 55.83198165893555, 40.53839874267578, 79.88484191894531, 75.70670318603516, 69.9480209350586, 27.533897399902344, 28.10973358154297, 59.01787185668945, 35.81573486328125, 30.10507583618164, 57.952171325683594, 69.9480209350586, 73.27220153808594, 52.47985076904297, 69.9480209350586, 41.276939392089844, 50.5485954284668, 59.01787185668945, 55.28316879272461, 69.9480209350586, 64.35992431640625, 57.04599380493164, 48.33149337768555, 69.9480209350586, 64.35992431640625]",2021-08-30T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[36 13]
 [ 0 38]]",0.8504956960678101,164.11111450195312,168.0,"[55.496307373046875, 78.30038452148438, 42.87454605102539, 48.72357177734375, 59.777618408203125, 73.5582046508789, 78.30037689208984, 102.0082015991211, 55.496307373046875, 43.633079528808594, 40.77153778076172, 62.546260833740234, 45.39020538330078, 89.41609954833984, 84.78404998779297, 78.30038452148438, 31.132871627807617, 31.781278610229492, 66.11245727539062, 40.29133224487305, 33.91572570800781, 64.907958984375, 78.30038452148438, 82.05888366699219, 58.80795669555664, 78.30038452148438, 46.17023468017578, 56.7182731628418, 66.11245727539062, 61.9965705871582, 78.30037689208984, 72.06793975830078, 63.93512725830078, 54.202144622802734, 78.30038452148438, 72.06793975830078]",2021-09-13T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[38 11]
 [ 1 37]]",0.8620507121086121,153.61111450195312,154.0,"[52.81966781616211, 74.42423248291016, 40.85701370239258, 46.363094329833984, 56.881649017333984, 69.93203735351562, 74.4242172241211, 96.86040496826172, 52.81966781616211, 41.536521911621094, 38.86869430541992, 59.525997161865234, 43.15399169921875, 84.90853881835938, 80.49518585205078, 74.42423248291016, 29.639602661132812, 30.3756103515625, 62.887237548828125, 38.39058303833008, 32.363765716552734, 61.764198303222656, 74.42423248291016, 77.92677307128906, 55.987796783447266, 74.42423248291016, 43.910282135009766, 53.941688537597656, 62.887237548828125, 58.93931198120117, 74.4242172241211, 68.52603149414062, 60.80327224731445, 51.6066780090332, 74.42423248291016, 68.52603149414062]",2021-09-27T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[39 10]
 [ 1 37]]",0.8734963536262512,133.0,140.0,"[59.05858612060547, 83.164794921875, 45.71466827392578, 51.88700485229492, 63.58612823486328, 78.1520004272461, 83.16478729248047, 108.21890258789062, 59.05858612060547, 46.504661560058594, 43.492835998535156, 66.51936340332031, 47.96227264404297, 94.90103912353516, 89.9969253540039, 83.164794921875, 33.274269104003906, 34.04435729980469, 70.28388977050781, 42.978172302246094, 36.24259567260742, 69.01614379882812, 83.164794921875, 87.12023162841797, 62.56866455078125, 83.164794921875, 48.74656677246094, 60.339515686035156, 70.28388977050781, 65.91827392578125, 83.16478729248047, 76.57839965820312, 67.97582244873047, 57.69453430175781, 83.164794921875, 76.57840728759766]",2021-10-11T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
"[[39 10]
 [ 1 37]]",0.8734963536262512,121.33333587646484,126.0,"[56.090885162353516, 78.66537475585938, 43.595359802246094, 49.302913665771484, 60.33010482788086, 73.97102355957031, 78.66536712646484, 102.13019561767578, 56.09088897705078, 44.284629821777344, 41.49264144897461, 63.07463455200195, 45.15166473388672, 89.66097259521484, 85.05590057373047, 78.66537475585938, 31.67477035522461, 32.50039291381836, 66.60186004638672, 41.03481674194336, 34.72575378417969, 65.41268157958984, 78.66537475585938, 82.37580871582031, 59.37458801269531, 78.66537475585938, 45.89545440673828, 57.29429626464844, 66.60186004638672, 62.51890563964844, 78.66536712646484, 72.49677276611328, 64.44274139404297, 54.81206512451172, 78.66537475585938, 72.49677276611328]",2021-10-25T00:00:00.000000000,"['Argentina', 'Aruba', 'Australia', 'Austria', 'Bahrain', 'Belgium', 'Botswana', 'Canada', 'Chile', 'Colombia', 'Czech Republic', 'Denmark', 'Finland', 'France', 'Germany', 'Hong Kong', 'India', 'Indonesia', 'Ireland', 'Israel', 'Kenya', 'Luxembourg', 'Mauritius', 'Mexico', 'Netherlands', 'New Zealand', 'Norway', 'Peru', 'Portugal', 'Qatar', 'South Africa', 'Spain', 'Sweden', 'Switzerland', 'USA', 'United Kingdom']"
