CF1,f11,MAE1,MAE2,pred,date,countries
"[[34 35]
 [ 0 18]]",0.5836182236671448,67.52941131591797,84.0,"[37.250186920166016, 22.04428482055664, 41.36188507080078, 37.250186920166016, 17.479887008666992, 41.49394607543945, 44.606388092041016, 22.651037216186523, 57.25223159790039, 88.48422241210938, 88.48422241210938, 42.988895416259766, 88.48422241210938, 40.602664947509766, 40.276546478271484, 88.48422241210938, 40.60266876220703]",2023-01-02T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'Singapore', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[54 15]
 [ 2 16]]",0.7585306167602539,50.235294342041016,56.0,"[45.988224029541016, 26.156686782836914, 25.370561599731445, 45.988224029541016, 19.91763687133789, 50.699058532714844, 55.21786117553711, 26.734363555908203, 70.58403778076172, 111.13601684570312, 111.13601684570312, 53.42174530029297, 111.13601684570312, 50.20281982421875, 49.868675231933594, 111.13601684570312, 50.202823638916016]",2023-01-16T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'Singapore', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[57 12]
 [ 3 15]]",0.7751938104629517,42.82352828979492,42.0,"[45.016563415527344, 26.677940368652344, 36.72077178955078, 45.016563415527344, 20.96021270751953, 50.036216735839844, 53.84477615356445, 27.101478576660156, 68.96135711669922, 106.62760925292969, 106.62760925292969, 51.93147659301758, 106.62760925292969, 49.0408821105957, 48.65846252441406, 106.62760925292969, 49.04088592529297]",2023-01-30T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'Singapore', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[60  9]
 [ 4 14]]",0.7925912141799927,37.05882263183594,42.0,"[40.59380340576172, 23.820608139038086, 32.306251525878906, 40.59380340576172, 18.6119327545166, 44.90568542480469, 48.544918060302734, 24.322107315063477, 61.98924255371094, 96.4399185180664, 96.4399185180664, 46.90119171142578, 96.4399185180664, 44.22114181518555, 43.90227508544922, 96.4399185180664, 44.22114181518555]",2023-02-13T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'Singapore', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[59 10]
 [ 4 14]]",0.7803030014038086,34.125,28.0,"[46.64085388183594, 28.370101928710938, 38.10793685913086, 46.64085388183594, 22.67072868347168, 51.98848342895508, 55.58859634399414, 28.680286407470703, 52.203468322753906, 108.63968658447266, 108.63968658447266, 108.63968658447266, 50.71611022949219, 44.91988754272461, 108.63968658447266, 50.71611022949219]",2023-02-27T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[60  9]
 [ 4 14]]",0.7925912141799927,28.0,28.0,"[33.55928039550781, 20.04473304748535, 27.978513717651367, 33.55928039550781, 15.894789695739746, 37.08551788330078, 39.98869705200195, 20.50771713256836, 22.24740219116211, 78.6500244140625, 78.6500244140625, 78.6500244140625, 36.49187469482422, 27.477638244628906, 78.6500244140625, 36.49187469482422]",2023-03-13T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[57 12]
 [ 3 15]]",0.7751938104629517,36.75,28.0,"[50.11021041870117, 30.760944366455078, 41.350101470947266, 50.11021041870117, 24.620119094848633, 55.88898849487305, 59.63829803466797, 30.89720916748047, 50.027496337890625, 115.99034881591797, 115.99034881591797, 115.99034881591797, 54.44867706298828, 46.75584030151367, 115.99034881591797, 54.44868087768555]",2023-03-27T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Malaysia', 'Mauritius', 'New Zealand', 'South Korea', 'Spain', 'Thailand', 'USA', 'United Kingdom']"
"[[59 10]
 [ 4 14]]",0.7803030014038086,23.69230842590332,14.0,"[21.060287475585938, 28.25101089477539, 34.83635711669922, 16.70505142211914, 38.50135040283203, 41.40790557861328, 21.25411033630371, 80.39459228515625, 80.39459228515625, 80.39459228515625, 37.82227325439453, 80.39459228515625, 37.82227325439453]",2023-04-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'Mauritius', 'New Zealand', 'South Korea', 'Spain', 'USA', 'United Kingdom']"
"[[56 13]
 [ 2 16]]",0.7813704013824463,38.181819915771484,28.0,"[31.10622215270996, 41.483951568603516, 50.26403045654297, 25.07509422302246, 56.092567443847656, 59.74513626098633, 31.287525177001953, 115.6859130859375, 54.58004379272461, 115.6859130859375, 54.580039978027344]",2023-04-24T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'Japan', 'New Zealand', 'Spain', 'USA', 'United Kingdom']"
"[[57 12]
 [ 2 16]]",0.7931385636329651,33.25,28.0,"[26.778709411621094, 35.08320236206055, 43.243194580078125, 21.404518127441406, 35.145938873291016, 51.33564376831055, 99.12399291992188, 41.65790557861328]",2023-05-08T00:00:00.000000000,"['Austria', 'Bangladesh', 'Costa Rica', 'Finland', 'France', 'Israel', 'USA', 'United Kingdom']"
"[[54 15]
 [ 2 16]]",0.7585306167602539,21.0,14.0,"[19.85340690612793, 34.57609558105469]",2023-05-22T00:00:00.000000000,"['Bangladesh', 'Costa Rica']"
"[[55 14]
 [ 2 16]]",0.7698412537574768,-1,-1,"[[0.09480838477611542], [0.09574487060308456], [0.8485959768295288], [0.679416298866272], [0.09460240602493286], [0.838413417339325], [0.36056703329086304], [0.09574488550424576], [0.09795085340738297], [0.7051772475242615], [0.09671755880117416], [0.4530373811721802], [0.9817762970924377], [0.09480838477611542], [0.16771851480007172], [0.12576916813850403], [0.7850849032402039], [0.2627454102039337], [0.3037870526313782], [0.21339671313762665], [0.09574487060308456], [0.09388011693954468], [0.14051535725593567], [0.09574487060308456], [0.24134229123592377], [0.8425142765045166], [0.09826987236738205], [0.3335425853729248], [0.09574487060308456], [0.09463255107402802], [0.09574487060308456], [0.3739980161190033], [0.09574487060308456], [0.09574487060308456], [0.8463155031204224], [0.9360346794128418], [0.8159579038619995], [0.8301047682762146], [0.4647270143032074], [0.09574487060308456], [0.3307943046092987], [0.09460240602493286], [0.12711063027381897], [0.8301047682762146], [0.09813699871301651], [0.6488352417945862], [0.9419222474098206], [0.09574487060308456], [0.9849255681037903], [0.7338178753852844], [0.6422938108444214], [0.19950078427791595], [0.9656615257263184], [0.09574487060308456], [0.20963625609874725], [0.6422938108444214], [0.47528088092803955], [0.911476194858551], [0.09721197187900543], [0.7051772475242615], [0.13517187535762787], [0.8400630950927734], [0.09763708710670471], [0.09425569325685501], [0.09574487060308456], [0.09460240602493286], [0.09574487060308456], [0.9106323719024658], [0.20229706168174744], [0.28018075227737427], [0.09574488550424576], [0.9892159700393677], [0.8549690842628479], [0.6995496153831482], [0.09346885234117508], [0.2536790370941162], [0.6992040276527405], [0.15151859819889069], [0.7862690091133118], [0.09574487060308456], [0.09671755880117416], [0.977115273475647], [0.09763708710670471], [0.12586654722690582], [0.09460238367319107], [0.8361571431159973], [0.27091625332832336]]",2023-06-05T00:00:00.000000000,[]
