CF1,f11,MAE1,MAE2,pred,date,countries
"[[78  5]
 [ 0  4]]",0.7921643853187561,121.33333587646484,112.0,"[13.170886039733887, 13.170886039733887, 9.073002815246582]",2020-12-07T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[78  5]
 [ 0  4]]",0.7921643853187561,93.33333587646484,84.0,"[21.781513214111328, 21.781513214111328, 16.32779884338379]",2020-12-21T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[78  5]
 [ 0  4]]",0.7921643853187561,70.0,56.0,"[33.189178466796875, 33.189178466796875, 24.63282012939453]",2021-01-04T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,42.0,28.0,"[48.642330169677734, 48.642330169677734, 36.4861946105957]",2021-01-18T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,28.0,14.0,"[43.11074447631836, 43.11074447631836, 34.80168914794922]",2021-02-01T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,28.0,28.0,"[59.47989273071289, 59.47989273071289, 46.015411376953125]",2021-02-15T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,32.66666793823242,28.0,"[56.220848083496094, 56.220848083496094, 43.70451354980469]",2021-03-01T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,9.333333015441895,14.0,"[-114.98318481445312, -112.81277465820312, 50.493221282958984]",2021-03-15T00:00:00.000000000,"['Argentina', 'Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,0.0,0.0,"[-279.90594482421875, 44.08456039428711]",2021-03-29T00:00:00.000000000,"['Chile', 'Panama']"
"[[79  4]
 [ 0  4]]",0.8209876418113708,0.0,0.0,[36.092342376708984],2021-04-12T00:00:00.000000000,['Panama']
"[[79  4]
 [ 0  4]]",0.8209876418113708,14.0,14.0,[41.534881591796875],2021-04-26T00:00:00.000000000,['Panama']
"[[78  5]
 [ 0  4]]",0.7921643853187561,0.0,0.0,[-11.845396995544434],2021-05-10T00:00:00.000000000,['Panama']
"[[78  5]
 [ 0  4]]",0.7921643853187561,-1,-1,"[[0.7350864410400391], [0.056804358959198], [0.05735586956143379], [0.05613339692354202], [0.05735586956143379], [0.05798673629760742], [0.056916091591119766], [0.056804358959198], [0.9187228083610535], [0.05798673629760742], [0.05634327605366707], [0.056804358959198], [0.05557774007320404], [0.7331492900848389], [0.051988694816827774], [0.7824580073356628], [0.7796993851661682], [0.057661786675453186], [0.057529788464307785], [0.057985030114650726], [0.056804358959198], [0.5850793719291687], [0.05548110976815224], [0.056804358959198], [0.05493106320500374], [0.055138058960437775], [0.05562318488955498], [0.05446711927652359], [0.056804358959198], [0.057341158390045166], [0.056804358959198], [0.05735586956143379], [0.056804358959198], [0.056804358959198], [0.054689642041921616], [0.05661631375551224], [0.05735586956143379], [0.056804358959198], [0.056281812489032745], [0.056804358959198], [0.05557774007320404], [0.05735586956143379], [0.05532682314515114], [0.056804358959198], [0.055684056133031845], [0.057961124926805496], [0.05434546619653702], [0.056804358959198], [0.056804358959198], [0.05492584407329559], [0.05790404975414276], [0.05790907144546509], [0.056804358959198], [0.056804358959198], [0.05548110976815224], [0.05790404975414276], [0.7865408658981323], [0.05662358179688454], [0.8091249465942383], [0.05798673629760742], [0.05482455715537071], [0.05735586956143379], [0.05591444671154022], [0.0575253963470459], [0.056804358959198], [0.05735586956143379], [0.056804358959198], [0.057661786675453186], [0.05717609077692032], [0.0572139136493206], [0.056804358959198], [0.056804358959198], [0.0571301095187664], [0.05798673629760742], [0.6987966895103455], [0.056730903685092926], [0.05770164728164673], [0.057780809700489044], [0.05739136040210724], [0.056804358959198], [0.05634327605366707], [0.056804358959198], [0.05591444671154022], [0.055184341967105865], [0.05735586956143379], [0.05713009834289551], [0.05758243426680565]]",2021-05-24T00:00:00.000000000,[]
