CF1,f11,MAE1,MAE2,pred,date,countries
"[[24 27]
 [ 0 36]]",0.6836363673210144,108.80000305175781,112.0,"[24.99667739868164, 27.377426147460938, 28.094341278076172, 45.75960922241211, 34.3598518371582, 19.783981323242188, 21.862895965576172, 57.029781341552734, 53.55078125, 45.1160774230957, 36.642303466796875, 45.759613037109375, 45.381256103515625, 45.759613037109375, 35.01918029785156, 38.60050582885742, 23.508525848388672, 56.72221755981445, 31.608844757080078, 63.18362045288086, 45.759613037109375, 17.501522064208984, 38.60050582885742, 36.25446319580078, 34.78727340698242, 45.759613037109375, 29.810548782348633, 45.75960922241211, 40.490936279296875, 27.97854995727539, 34.17766189575195, 45.759613037109375, 47.77364730834961, 34.89199447631836, 40.49094009399414]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,83.5999984741211,84.0,"[32.19816207885742, 35.27679443359375, 36.10697937011719, 58.19820785522461, 43.98716735839844, 25.65683937072754, 28.228843688964844, 72.3983383178711, 68.09693908691406, 57.53554153442383, 47.00141525268555, 58.198211669921875, 57.679195404052734, 58.198211669921875, 44.78830337524414, 49.20315170288086, 30.384008407592773, 72.02713012695312, 40.72014236450195, 80.13859558105469, 58.198211669921875, 22.44722557067871, 49.20315170288086, 46.3918342590332, 44.422481536865234, 58.198211669921875, 38.19020080566406, 58.19820785522461, 51.585025787353516, 35.89687728881836, 43.75942611694336, 58.198211669921875, 60.85355758666992, 44.56745529174805, 51.585025787353516]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,44.0,42.0,"[51.9014892578125, 56.91307067871094, 57.98476791381836, 91.77387237548828, 70.17169189453125, 41.82888412475586, 45.67991256713867, 113.81063842773438, 107.3785400390625, 91.18455505371094, 75.25958251953125, 91.77388000488281, 90.84312438964844, 91.77388000488281, 71.3272476196289, 77.88954162597656, 49.266563415527344, 113.28289794921875, 65.69189453125, 125.78266906738281, 91.77388000488281, 37.73481750488281, 77.88954162597656, 73.955322265625, 70.5413818359375, 91.77388000488281, 60.98311233520508, 91.77387237548828, 81.5858154296875, 57.46846389770508, 69.82364654541016, 91.77388000488281, 96.24341583251953, 70.80498504638672, 81.58582305908203]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,25.600000381469727,28.0,"[61.252777099609375, 67.24614715576172, 68.44622802734375, 108.221435546875, 82.83382415771484, 49.37468338012695, 53.88227462768555, 134.2607421875, 126.73478698730469, 107.65946197509766, 88.97128295898438, 108.22144317626953, 107.08326721191406, 108.22144317626953, 84.17247772216797, 91.83819580078125, 58.194419860839844, 133.65194702148438, 77.72079467773438, 148.39505004882812, 108.22144317626953, 43.80803298950195, 91.83819580078125, 87.32052612304688, 83.17707061767578, 108.22144317626953, 71.91744995117188, 108.221435546875, 96.205810546875, 67.77796936035156, 82.42420196533203, 108.22144317626953, 113.60951232910156, 83.50038146972656, 96.20580291748047]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,21.41176414489746,14.0,"[59.235809326171875, 65.01716613769531, 65.92942810058594, 102.39205932617188, 52.97766876220703, 48.28300857543945, 52.33652114868164, 126.56363677978516, 119.80387878417969, 102.27916717529297, 85.32498168945312, 102.39207458496094, 101.2188720703125, 102.39207458496094, 80.40673828125, 87.25358581542969, 56.56483459472656, 126.04350280761719, 75.0492172241211, 139.64706420898438, 102.39207458496094, 41.1966438293457, 87.25358581542969, 83.45903778076172, 72.49507141113281, 102.39207458496094, 68.9332275390625, 102.39205932617188, 91.30784606933594, 65.13191986083984, 102.39207458496094, 107.71843719482422, 79.61570739746094, 91.30784606933594]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,44.05882263183594,42.0,"[81.29705810546875, 89.27769470214844, 90.59622192382812, 141.39370727539062, 84.46574401855469, 66.05718994140625, 71.72300720214844, 174.98876953125, 165.53466796875, 141.1302490234375, 117.46510314941406, 141.39370727539062, 139.7935333251953, 141.39370727539062, 110.74894714355469, 120.335205078125, 77.541015625, 174.25413513183594, 103.14576721191406, 193.1825408935547, 141.39370727539062, 59.41582107543945, 120.335205078125, 114.95829010009766, 100.69764709472656, 141.39370727539062, 94.82780456542969, 141.39370727539062, 125.97007751464844, 89.53398132324219, 141.39370727539062, 148.71282958984375, 109.6930923461914, 125.97007751464844]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 23]
 [ 0 36]]",0.7333777546882629,42.411766052246094,42.0,"[73.14518737792969, 80.27651977539062, 81.3198471069336, 125.6602783203125, 74.52692413330078, 59.803524017333984, 64.70516967773438, 155.159912109375, 146.98870849609375, 125.66439819335938, 105.10964965820312, 125.66029357910156, 124.18798065185547, 125.66029357910156, 98.94639587402344, 107.20904541015625, 69.94375610351562, 154.54075622558594, 92.77218627929688, 171.11441040039062, 125.66029357910156, 52.076942443847656, 107.20904541015625, 102.71661376953125, 89.52215576171875, 125.66029357910156, 84.90995025634766, 125.6602783203125, 112.1569595336914, 80.28504943847656, 125.66029357910156, 132.27345275878906, 97.92296600341797, 112.1569595336914]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 23]
 [ 1 35]]",0.7223404049873352,35.0,28.0,"[12.257415771484375, 65.85275268554688, 66.51150512695312, 101.04258728027344, 58.810943603515625, 49.6215934753418, 53.3745002746582, 124.26234436035156, 118.01295471191406, 101.37509155273438, 85.51297760009766, 101.04258728027344, 99.78972625732422, 101.04258728027344, 49.959293365478516, 86.57534790039062, 57.679481506347656, 123.81123352050781, 59.59103012084961, 136.79058837890625, 101.04258728027344, 43.39656448364258, 86.57534790039062, 83.36068725585938, 71.90235137939453, 101.04258728027344, 46.20644760131836, 101.04258728027344, 90.46989440917969, 65.5543212890625, 101.04258728027344, 106.50952911376953, 79.3481674194336, 90.46989440917969]",2021-04-12T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 23]
 [ 0 36]]",0.7333777546882629,22.647058486938477,14.0,"[-33.935001373291016, 48.74921417236328, 41.980228424072266, 81.050048828125, 50.658504486083984, 41.57229232788086, 34.08095169067383, 2.118471384048462, -0.8818583488464355, 67.58447265625, 50.258731842041016, 81.05005645751953, 79.9930419921875, 81.05005645751953, 39.53014373779297, 44.401824951171875, 47.8879508972168, 2.389071464538574, 48.72598648071289, 108.73222351074219, 81.05005645751953, 30.981998443603516, 69.88728332519531, 30.220535278320312, 50.21525192260742, -16.891212463378906, 37.43882751464844, 81.050048828125, 68.1492919921875, 45.57327651977539, 81.05005645751953, 14.50013256072998, 38.61925506591797, 47.34049987792969]",2021-04-26T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Indonesia', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'Russia', 'Singapore', 'South Africa', 'Spain', 'Switzerland', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,26.645160675048828,28.0,"[-56.692138671875, 48.97392654418945, 43.01533889770508, 51.66994857788086, 50.872074127197266, 42.081485748291016, 35.277950286865234, -97.7590103149414, -118.29566955566406, 61.5108528137207, 50.53750991821289, 80.59355163574219, 79.58161926269531, 80.59355163574219, 43.346885681152344, 48.137271881103516, -97.45709228515625, 38.93672180175781, 107.68630981445312, 80.59355163574219, 31.441537857055664, 45.00810623168945, 41.277610778808594, 50.093666076660156, 51.66994857788086, 47.67752456665039, 46.220184326171875, 80.59355163574219, -82.65620422363281, 43.67426300048828, 46.32114028930664]",2021-05-10T00:00:00.000000000,"['Australia', 'Austria', 'Belgium', 'Botswana', 'Bulgaria', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Guatemala', 'Hong Kong', 'Ireland', 'Israel', 'Latvia', 'Malaysia', 'Mexico', 'Nigeria', 'Pakistan', 'Portugal', 'Qatar', 'Romania', 'South Africa', 'Spain', 'Switzerland', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
