CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  6]
 [ 8  5]]",0.6616666913032532,85.07691955566406,84.0,"[1.9735102653503418, 8.031648635864258, 4.026763439178467, 2.9653306007385254, 13.249293327331543, 4.946657657623291, 2.3382253646850586, 1.8910696506500244, 1.8910696506500244, 1.8332022428512573, 3.5361170768737793, 2.1835737228393555, 1.8332021236419678]",2021-12-20T00:00:00.000000000,"['Bulgaria', 'China', 'Denmark', 'Germany', 'Hong Kong', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'Sweden', 'Ukraine', 'United Kingdom']"
"[[66  8]
 [ 7  6]]",0.6712018251419067,70.0,70.0,"[5.017181396484375, 4.372733116149902, 2.923701763153076, 4.923279762268066, 1.4858765602111816, 2.9019253253936768, 5.959098815917969, 8.978943824768066, 4.804268836975098, 4.654819488525391, 4.0505690574646, 5.559694766998291, 4.654819488525391]",2022-01-03T00:00:00.000000000,"['Bulgaria', 'China', 'Denmark', 'Germany', 'Hong Kong', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'Sweden', 'Ukraine', 'United Kingdom']"
"[[65  9]
 [ 5  8]]",0.7180555462837219,57.07692337036133,56.0,"[8.412833213806152, 2.9708313941955566, 2.050121784210205, 6.268470764160156, -0.9622942805290222, 2.834902048110962, 6.9555253982543945, 1.615854024887085, 8.03540325164795, 7.323561668395996, 2.0051043033599854, 8.99502944946289, 7.323561191558838]",2022-01-17T00:00:00.000000000,"['Bulgaria', 'China', 'Denmark', 'Germany', 'Hong Kong', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'Sweden', 'Ukraine', 'United Kingdom']"
"[[67  7]
 [ 2 11]]",0.8233701586723328,46.66666793823242,42.0,"[17.836328506469727, 12.201773643493652, 3.0735559463500977, 10.193231582641602, 10.911877632141113, 7.97359037399292, 1.3578699827194214, 14.547560691833496, 10.360118865966797, 2.5082783699035645, 27.45231819152832, 9.186457633972168]",2022-01-31T00:00:00.000000000,"['Bulgaria', 'China', 'Denmark', 'Germany', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'Sweden', 'Ukraine', 'United Kingdom']"
"[[68  6]
 [ 5  8]]",0.7588813304901123,38.181819915771484,42.0,"[5.212538242340088, 5.170411109924316, 6.031784534454346, 4.599053859710693, 6.716334819793701, 0.2406083345413208, 12.745511054992676, 5.821544647216797, 5.479473114013672, 9.02601146697998, 4.4733428955078125]",2022-02-14T00:00:00.000000000,"['Bulgaria', 'China', 'Denmark', 'Germany', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'Sweden', 'United Kingdom']"
"[[70  4]
 [ 7  6]]",0.7244457006454468,26.600000381469727,28.0,"[1.2532763481140137, 18.4117488861084, 21.063066482543945, 9.965221405029297, 26.720510482788086, 20.498266220092773, -8.65453815460205, -0.5539034605026245, 21.514066696166992, -1.5625189542770386]",2022-02-28T00:00:00.000000000,"['Bulgaria', 'Denmark', 'Germany', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'Sweden', 'United Kingdom']"
"[[74  0]
 [13  0]]",0.45962733030319214,17.5,14.0,"[10.73011302947998, 25.142803192138672, 26.174407958984375, 28.78215980529785, 21.0784969329834, 16.399206161499023, 20.300188064575195, 19.845834732055664]",2022-03-14T00:00:00.000000000,"['Bulgaria', 'Germany', 'India', 'Malaysia', 'New Zealand', 'South Korea', 'Spain', 'United Kingdom']"
"[[74  0]
 [12  1]]",0.5339285731315613,11.666666984558105,14.0,"[12.439678192138672, 24.718530654907227, 27.25521469116211, 18.622093200683594, 17.25619888305664, 20.216978073120117]",2022-03-28T00:00:00.000000000,"['Bulgaria', 'Germany', 'India', 'New Zealand', 'South Korea', 'Spain']"
"[[74  0]
 [13  0]]",0.45962733030319214,21.0,14.0,"[33.71694564819336, 39.615596771240234, 35.7706298828125, 31.065303802490234]",2022-04-11T00:00:00.000000000,"['Bulgaria', 'Germany', 'India', 'New Zealand']"
"[[74  0]
 [11  2]]",0.5987421274185181,35.0,28.0,"[42.636810302734375, 36.544822692871094]",2022-04-25T00:00:00.000000000,"['Bulgaria', 'New Zealand']"
"[[72  2]
 [10  3]]",0.6282051205635071,-1,-1,"[[0.057667575776576996], [0.057635143399238586], [0.05767478421330452], [0.059037040919065475], [0.05767478421330452], [0.4408113360404968], [0.06267695128917694], [0.057635143399238586], [0.05755985155701637], [0.06216583400964737], [0.061718232929706573], [0.06214993819594383], [0.057545751333236694], [0.057667575776576996], [0.8771300911903381], [0.057584892958402634], [0.05767478421330452], [0.05769660323858261], [0.05929676443338394], [0.07780319452285767], [0.057635143399238586], [0.05770005285739899], [0.06001007556915283], [0.057635143399238586], [0.06819375604391098], [0.06639748066663742], [0.05852195993065834], [0.0681447759270668], [0.057635143399238586], [0.06103254482150078], [0.057635143399238586], [0.05767478421330452], [0.961409330368042], [0.057635143399238586], [0.8001271486282349], [0.060884054750204086], [0.07602616399526596], [0.057635143399238586], [0.06068919226527214], [0.057635143399238586], [0.057545751333236694], [0.05767478421330452], [0.057527270168066025], [0.057635143399238586], [0.057846084237098694], [0.06261229515075684], [0.0655742958188057], [0.057635143399238586], [0.057635143399238586], [0.0574975423514843], [0.5330796837806702], [0.05996498465538025], [0.08000487834215164], [0.057635143399238586], [0.069620281457901], [0.5330796837806702], [0.057635221630334854], [0.05885009095072746], [0.057584892958402634], [0.06216583400964737], [0.05861842632293701], [0.06642802804708481], [0.057570457458496094], [0.06003429368138313], [0.057635143399238586], [0.05767478421330452], [0.057635143399238586], [0.06148361414670944], [0.058563169091939926], [0.05795767158269882], [0.057635143399238586], [0.09497448056936264], [0.06867094337940216], [0.4408113360404968], [0.0577145479619503], [0.08099372684955597], [0.06183639168739319], [0.2728780210018158], [0.0601840503513813], [0.057635143399238586], [0.06049680337309837], [0.057635143399238586], [0.057570457458496094], [0.05882358178496361], [0.05767478421330452], [0.07665733247995377], [0.21670450270175934]]",2022-05-09T00:00:00.000000000,[]
