CF1,f11,MAE1,MAE2,pred,date,countries
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2020-12-07 00:00:00,[]
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2020-12-21 00:00:00,[]
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2021-01-04 00:00:00,[]
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2021-01-18 00:00:00,[]
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2021-02-01 00:00:00,[]
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2021-02-15 00:00:00,[]
"[[81  0]
 [ 5  1]]",0.6278870829769034,0,0,[],2021-03-01 00:00:00,[]
"[[81  0]
 [ 2  4]]",0.8939024390243903,0,0,[],2021-03-15 00:00:00,[]
"[[81  0]
 [ 0  6]]",1.0,0,0,[],2021-03-29 00:00:00,[]
"[[81  0]
 [ 0  6]]",1.0,0,0,[],2021-04-12 00:00:00,[]
"[[81  0]
 [ 0  6]]",1.0,0,0,[],2021-04-26 00:00:00,[]
0,0,-1,-1,[],2021-05-10 00:00:00,[]
