CF1,f11,MAE1,MAE2,pred,date,countries
0,0,72.8,70.0,[],2020-12-07 00:00:00,[]
0,0,58.8,56.0,[],2020-12-21 00:00:00,[]
0,0,44.8,42.0,[],2021-01-04 00:00:00,[]
0,0,14.0,14.0,[],2021-01-18 00:00:00,[]
0,0,30.8,28.0,[],2021-02-01 00:00:00,[]
0,0,39.2,42.0,[],2021-02-15 00:00:00,[]
0,0,53.2,56.0,[],2021-03-01 00:00:00,[]
0,0,32.666666666666664,28.0,[],2021-03-15 00:00:00,[]
0,0,28.0,28.0,[],2021-03-29 00:00:00,[]
0,0,42.0,42.0,[],2021-04-12 00:00:00,[]
0,0,56.0,56.0,[],2021-04-26 00:00:00,[]
0,0,-1,-1,[],2021-05-10 00:00:00,[]
