CF1,f11,MAE1,MAE2,pred,date,countries
0,0,109.86111111111111,119.0,[],2021-01-04 00:00:00,[]
0,0,76.61111111111111,77.0,[],2021-02-01 00:00:00,[]
0,0,57.4,56.0,[],2021-02-08 00:00:00,[]
0,0,49.0,49.0,[],2021-02-15 00:00:00,[]
0,0,46.529411764705884,42.0,[],2021-02-22 00:00:00,[]
0,0,40.14705882352941,35.0,[],2021-03-01 00:00:00,[]
0,0,36.06060606060606,28.0,[],2021-03-08 00:00:00,[]
0,0,32.24242424242424,21.0,[],2021-03-15 00:00:00,[]
0,0,28.0,17.5,[],2021-03-22 00:00:00,[]
0,0,24.966666666666665,21.0,[],2021-03-29 00:00:00,[]
0,0,23.333333333333332,21.0,[],2021-04-05 00:00:00,[]
0,0,23.17241379310345,21.0,[],2021-04-12 00:00:00,[]
0,0,22.346153846153847,17.5,[],2021-04-19 00:00:00,[]
0,0,23.52,21.0,[],2021-04-26 00:00:00,[]
0,0,20.3,21.0,[],2021-05-03 00:00:00,[]
0,0,23.8,21.0,[],2021-05-10 00:00:00,[]
0,0,19.0,21.0,[],2021-05-17 00:00:00,[]
0,0,26.25,28.0,[],2021-05-24 00:00:00,[]
0,0,25.454545454545453,28.0,[],2021-05-31 00:00:00,[]
0,0,29.166666666666668,35.0,[],2021-06-07 00:00:00,[]
0,0,35.0,35.0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
