CF1,f11,MAE1,MAE2,pred,date,countries
0,0,133.38888888888889,140.0,[],2021-01-04 00:00:00,[]
0,0,105.38888888888889,112.0,[],2021-01-18 00:00:00,[]
0,0,78.16666666666667,84.0,[],2021-02-01 00:00:00,[]
0,0,64.94444444444444,70.0,[],2021-02-15 00:00:00,[]
0,0,52.0,56.0,[],2021-03-01 00:00:00,[]
0,0,39.6,42.0,[],2021-03-15 00:00:00,[]
0,0,28.0,28.0,[],2021-03-29 00:00:00,[]
0,0,16.545454545454547,14.0,[],2021-04-12 00:00:00,[]
0,0,10.5,14.0,[],2021-04-26 00:00:00,[]
0,0,11.666666666666666,14.0,[],2021-05-10 00:00:00,[]
0,0,20.416666666666668,21.0,[],2021-05-24 00:00:00,[]
0,0,28.0,28.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
