CF1,f11,MAE1,MAE2,pred,date,countries
0,0,109.86111111111111,119.0,[],2021-01-04 00:00:00,[]
0,0,75.83333333333333,77.0,[],2021-02-01 00:00:00,[]
0,0,57.0,42.0,[],2021-02-08 00:00:00,[]
0,0,65.47058823529412,63.0,[],2021-02-15 00:00:00,[]
0,0,61.76470588235294,70.0,[],2021-02-22 00:00:00,[]
0,0,52.5,49.0,[],2021-03-01 00:00:00,[]
0,0,52.18181818181818,56.0,[],2021-03-08 00:00:00,[]
0,0,44.121212121212125,49.0,[],2021-03-15 00:00:00,[]
0,0,43.4,42.0,[],2021-03-22 00:00:00,[]
0,0,36.63333333333333,35.0,[],2021-03-29 00:00:00,[]
0,0,33.13333333333333,28.0,[],2021-04-05 00:00:00,[]
0,0,26.06896551724138,21.0,[],2021-04-12 00:00:00,[]
0,0,24.5,24.5,[],2021-04-19 00:00:00,[]
0,0,19.6,21.0,[],2021-04-26 00:00:00,[]
0,0,17.5,21.0,[],2021-05-03 00:00:00,[]
0,0,18.9,17.5,[],2021-05-10 00:00:00,[]
0,0,10.0,7.0,[],2021-05-17 00:00:00,[]
0,0,22.75,10.5,[],2021-05-24 00:00:00,[]
0,0,5.090909090909091,7.0,[],2021-05-31 00:00:00,[]
0,0,24.5,21.0,[],2021-06-07 00:00:00,[]
0,0,16.333333333333332,7.0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
