CF1,f11,MAE1,MAE2,pred,date,countries
0,0,127.94444444444444,140.0,[],2021-01-04 00:00:00,[]
0,0,110.05555555555556,112.0,[],2021-01-18 00:00:00,[]
0,0,78.55555555555556,84.0,[],2021-02-01 00:00:00,[]
0,0,59.111111111111114,63.0,[],2021-02-15 00:00:00,[]
0,0,41.2,42.0,[],2021-03-01 00:00:00,[]
0,0,31.2,28.0,[],2021-03-15 00:00:00,[]
0,0,21.2,14.0,[],2021-03-29 00:00:00,[]
0,0,15.272727272727273,14.0,[],2021-04-12 00:00:00,[]
0,0,21.4375,14.0,[],2021-04-26 00:00:00,[]
0,0,27.066666666666666,28.0,[],2021-05-10 00:00:00,[]
0,0,25.666666666666668,28.0,[],2021-05-24 00:00:00,[]
0,0,29.272727272727273,28.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
