CF1,f11,MAE1,MAE2,pred,date,countries
0,0,137.84615384615384,154.0,[],2023-01-02 00:00:00,[]
0,0,124.83333333333333,133.0,[],2023-01-16 00:00:00,[]
0,0,109.66666666666667,119.0,[],2023-01-30 00:00:00,[]
0,0,95.66666666666667,105.0,[],2023-02-13 00:00:00,[]
0,0,74.66666666666667,77.0,[],2023-02-27 00:00:00,[]
0,0,84.0,84.0,[],2023-03-13 00:00:00,[]
0,0,44.54545454545455,56.0,[],2023-03-27 00:00:00,[]
0,0,45.81818181818182,56.0,[],2023-04-10 00:00:00,[]
0,0,22.4,28.0,[],2023-04-24 00:00:00,[]
0,0,15.4,14.0,[],2023-05-08 00:00:00,[]
0,0,12.6,14.0,[],2023-05-22 00:00:00,[]
0,0,8.75,7.0,[],2023-06-05 00:00:00,[]
0,0,19.6,14.0,[],2023-06-19 00:00:00,[]
0,0,28.0,28.0,[],2023-07-03 00:00:00,[]
0,0,-1,-1,[],2023-07-17 00:00:00,[]
