CF1,f11,MAE1,MAE2,pred,date,countries
0,0,128.72222222222223,140.0,[],2021-01-04 00:00:00,[]
0,0,110.83333333333333,112.0,[],2021-01-18 00:00:00,[]
0,0,93.72222222222223,98.0,[],2021-02-01 00:00:00,[]
0,0,72.33333333333333,77.0,[],2021-02-15 00:00:00,[]
0,0,56.8,56.0,[],2021-03-01 00:00:00,[]
0,0,36.0,42.0,[],2021-03-15 00:00:00,[]
0,0,20.8,14.0,[],2021-03-29 00:00:00,[]
0,0,17.393939393939394,14.0,[],2021-04-12 00:00:00,[]
0,0,19.6875,14.0,[],2021-04-26 00:00:00,[]
0,0,23.333333333333332,28.0,[],2021-05-10 00:00:00,[]
0,0,25.666666666666668,28.0,[],2021-05-24 00:00:00,[]
0,0,30.545454545454547,42.0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
