CF1,f11,MAE1,MAE2,pred,date,countries
"[[51  0]
 [ 0 36]]",1.0,0,0,[],2021-01-04 00:00:00,[]
"[[51  0]
 [ 7 29]]",0.9140437544107269,0,0,[],2021-02-01 00:00:00,[]
"[[51  0]
 [29  7]]",0.5521036747736552,0,0,[],2021-02-08 00:00:00,[]
"[[51  0]
 [29  7]]",0.5521036747736552,0,0,[],2021-02-15 00:00:00,[]
"[[51  0]
 [30  6]]",0.5292207792207793,0,0,[],2021-02-22 00:00:00,[]
"[[51  0]
 [29  7]]",0.5521036747736552,0,0,[],2021-03-01 00:00:00,[]
"[[51  0]
 [29  7]]",0.5521036747736552,0,0,[],2021-03-08 00:00:00,[]
"[[51  0]
 [28  8]]",0.5741258741258741,0,0,[],2021-03-15 00:00:00,[]
"[[51  0]
 [24 12]]",0.6547619047619048,0,0,[],2021-03-22 00:00:00,[]
"[[51  0]
 [28  8]]",0.5741258741258741,0,0,[],2021-03-29 00:00:00,[]
"[[51  0]
 [24 12]]",0.6547619047619048,0,0,[],2021-04-05 00:00:00,[]
"[[51  0]
 [28  8]]",0.5741258741258741,0,0,[],2021-04-12 00:00:00,[]
"[[51  0]
 [21 15]]",0.7087517934002869,0,0,[],2021-04-19 00:00:00,[]
"[[51  0]
 [25 11]]",0.6356173563410956,0,0,[],2021-04-26 00:00:00,[]
"[[51  0]
 [16 20]]",0.7893462469733656,0,0,[],2021-05-03 00:00:00,[]
"[[51  0]
 [25 11]]",0.6356173563410956,0,0,[],2021-05-10 00:00:00,[]
"[[51  0]
 [14 22]]",0.8189655172413794,0,0,[],2021-05-17 00:00:00,[]
"[[51  0]
 [23 13]]",0.6733061224489796,0,0,[],2021-05-24 00:00:00,[]
"[[51  0]
 [13 23]]",0.8333087693441414,0,0,[],2021-05-31 00:00:00,[]
"[[51  0]
 [19 17]]",0.7422423202869172,0,0,[],2021-06-07 00:00:00,[]
"[[51  0]
 [ 8 28]]",0.9011363636363637,0,0,[],2021-06-14 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
