CF1,f11,MAE1,MAE2,pred,date,countries
"[[50  0]
 [36  1]]",0.3939628482972136,0,0,[],2021-01-04 00:00:00,[]
"[[50  0]
 [36  1]]",0.3939628482972136,0,0,[],2021-01-18 00:00:00,[]
"[[50  0]
 [36  1]]",0.3939628482972136,0,0,[],2021-02-01 00:00:00,[]
"[[50  0]
 [36  1]]",0.3939628482972136,0,0,[],2021-02-15 00:00:00,[]
"[[50  0]
 [35  2]]",0.4216524216524216,0,0,[],2021-03-01 00:00:00,[]
"[[50  0]
 [35  2]]",0.4216524216524216,0,0,[],2021-03-15 00:00:00,[]
"[[50  0]
 [35  2]]",0.4216524216524216,0,0,[],2021-03-29 00:00:00,[]
"[[50  0]
 [33  4]]",0.4735008252338163,0,0,[],2021-04-12 00:00:00,[]
"[[50  0]
 [28  9]]",0.5862771739130436,0,0,[],2021-04-26 00:00:00,[]
"[[50  0]
 [25 12]]",0.6448979591836735,0,0,[],2021-05-10 00:00:00,[]
"[[50  0]
 [16 21]]",0.7931034482758621,0,0,[],2021-05-24 00:00:00,[]
"[[50  0]
 [ 5 32]]",0.9399585921325051,0,0,[],2021-06-07 00:00:00,[]
0,0,-1,-1,[],2021-06-21 00:00:00,[]
