CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  0]
 [ 0 10]]",1.0,0,0,[],2022-06-20 00:00:00,[]
"[[77  0]
 [ 9  1]]",0.5633017289459007,0,0,[],2022-07-04 00:00:00,[]
"[[77  0]
 [ 9  1]]",0.5633017289459007,0,0,[],2022-07-18 00:00:00,[]
"[[77  0]
 [ 9  1]]",0.5633017289459007,0,0,[],2022-08-01 00:00:00,[]
"[[77  0]
 [ 8  2]]",0.6419753086419753,0,0,[],2022-08-15 00:00:00,[]
"[[77  0]
 [ 7  3]]",0.7090301003344481,0,0,[],2022-08-29 00:00:00,[]
"[[77  0]
 [ 6  4]]",0.7669642857142858,0,0,[],2022-09-12 00:00:00,[]
"[[77  0]
 [ 4  6]]",0.8623417721518987,0,0,[],2022-09-26 00:00:00,[]
"[[77  0]
 [ 3  7]]",0.9022105657549644,0,0,[],2022-10-10 00:00:00,[]
"[[77  0]
 [ 1  9]]",0.9704584040747029,0,0,[],2022-10-24 00:00:00,[]
"[[77  0]
 [ 1  9]]",0.9704584040747029,0,0,[],2022-11-07 00:00:00,[]
0,0,-1,-1,[],2022-11-21 00:00:00,[]
