CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[1.1870328187942505, 1.2147797346115112, 1.1571807861328125, 2.5004074573516846, 1.200584888458252, 1.1530672311782837, 1.2410696744918823, 1.147331953048706, 1.1559834480285645, 1.2357940673828125, 1.2800898551940918, 1.294079303741455, 3.534907341003418, 1.1872479915618896, 1.1644682884216309, 1.237560749053955, 1.1815348863601685, 1.1313505172729492, 1.2168207168579102, 1.2036759853363037, 1.216158151626587, 1.1616103649139404, 1.2482491731643677, 1.2164920568466187, 1.1646678447723389, 1.1994613409042358, 1.1459918022155762, 1.2084566354751587, 1.184949517250061, 1.185136318206787, 1.2194008827209473, 1.2471710443496704, 1.2315900325775146, 1.2395951747894287, 1.3857381343841553]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[45  7]
 [26  9]]",0.5423242449760437,79.4000015258789,91.0,"[5.210793972015381, 3.716778039932251, 4.829169273376465, 5.177803993225098, 3.7001454830169678, 3.400334358215332, 3.8541243076324463, 3.4119009971618652, 6.6342267990112305, 3.731917142868042, 4.070650577545166, 4.099273681640625, 5.547306060791016, 4.834537506103516, 3.4970712661743164, 3.9046742916107178, 3.7088119983673096, 3.3508594036102295, 3.6108009815216064, 3.838165521621704, 3.6481740474700928, 3.4851152896881104, 5.008967399597168, 3.854067087173462, 6.489676475524902, 4.738169193267822, 3.3658156394958496, 3.7615206241607666, 3.577890157699585, 3.70086669921875, 4.176036834716797, 3.9565789699554443, 3.96429705619812, 4.005151748657227, 3.750364065170288]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[31 21]
 [ 2 33]]",0.7354924082756042,76.17646789550781,84.0,"[8.9444580078125, 9.648711204528809, 8.925192832946777, 8.183143615722656, 10.733977317810059, 7.769008159637451, 12.23444652557373, 7.745697021484375, 9.576684951782227, 8.598666191101074, 12.377629280090332, 11.938786506652832, 9.460238456726074, 9.0402250289917, 9.86963176727295, 10.380060195922852, 6.860382556915283, 9.102486610412598, 10.3655366897583, 10.451139450073242, 8.574137687683105, 8.241647720336914, 10.549003601074219, 7.761163234710693, 9.530145645141602, 9.200896263122559, 7.508062839508057, 9.999267578125, 8.81416130065918, 10.087973594665527, 9.400789260864258, 9.171088218688965, 11.690887451171875, 7.9517316818237305]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[28 24]
 [ 2 33]]",0.7001590728759766,60.878787994384766,77.0,"[12.432853698730469, 14.055474281311035, 12.868281364440918, 11.515586853027344, 15.222501754760742, 11.161418914794922, 17.795560836791992, 12.01425552368164, 14.149837493896484, 11.84384536743164, 17.6841983795166, 17.004840850830078, 12.835240364074707, 14.080875396728516, 15.426047325134277, 9.141326904296875, 13.109326362609863, 15.322009086608887, 14.359334945678711, 11.839163780212402, 11.486796379089355, 14.812883377075195, 10.138629913330078, 14.097723007202148, 12.667248725891113, 12.023934364318848, 13.778218269348145, 12.259625434875488, 14.429960250854492, 12.839395523071289, 12.300809860229492, 16.291730880737305, 11.075811386108398]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[28 24]
 [ 2 33]]",0.7001590728759766,51.121212005615234,56.0,"[16.54607391357422, 17.81199073791504, 15.773956298828125, 15.06252670288086, 18.549427032470703, 14.829599380493164, 20.489065170288086, 15.554143905639648, 16.661853790283203, 16.79951286315918, 21.07090187072754, 20.762685775756836, 16.31844139099121, 17.148807525634766, 19.095458984375, 15.064157485961914, 15.947980880737305, 18.309907913208008, 18.81556510925293, 16.58057403564453, 15.617773056030273, 18.57811164855957, 16.32598114013672, 16.47971534729004, 16.841854095458984, 15.184427261352539, 18.254465103149414, 16.291860580444336, 17.866357803344727, 17.26129913330078, 17.816818237304688, 20.092437744140625, 15.174007415771484]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[29 23]
 [ 2 33]]",0.7120349407196045,44.54545593261719,49.0,"[15.99777603149414, 16.547510147094727, 15.745452880859375, 15.356773376464844, 16.576147079467773, 15.799856185913086, 17.53989601135254, 15.585100173950195, 16.257537841796875, 16.706621170043945, 17.52862548828125, 17.717620849609375, 16.134654998779297, 16.042116165161133, 16.841442108154297, 15.79931640625, 15.58970832824707, 17.32011604309082, 16.37074089050293, 16.49375343322754, 15.714590072631836, 16.864967346191406, 16.077041625976562, 16.17548370361328, 15.913049697875977, 15.662839889526367, 16.427631378173828, 16.007869720458984, 16.051435470581055, 16.06810188293457, 16.605031967163086, 16.75240707397461, 15.569522857666016]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[28 24]
 [ 2 33]]",0.7001590728759766,40.90625,42.0,"[17.647262573242188, 18.342504501342773, 18.281652450561523, 17.55255126953125, 18.8621826171875, 17.705089569091797, 20.30162239074707, 17.85083770751953, 19.021503448486328, 17.781335830688477, 19.339513778686523, 19.33368682861328, 18.3516845703125, 18.50831413269043, 18.46595573425293, 17.01337432861328, 18.25861930847168, 20.10043716430664, 17.991424560546875, 17.745288848876953, 17.56896209716797, 18.6292781829834, 16.37811851501465, 19.04127311706543, 17.500253677368164, 17.946571350097656, 17.69964599609375, 17.77202606201172, 18.041473388671875, 17.384275436401367, 18.460710525512695, 17.525442123413086]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[29 23]
 [ 2 33]]",0.7120349407196045,34.34375,35.0,"[17.534921646118164, 17.899913787841797, 18.128173828125, 17.409530639648438, 18.65050506591797, 17.521163940429688, 19.86085319519043, 17.009689331054688, 18.855178833007812, 17.565855026245117, 19.352365493774414, 19.16663932800293, 17.957054138183594, 18.35051155090332, 18.07913589477539, 16.531837463378906, 18.156024932861328, 19.25441551208496, 17.930204391479492, 17.514570236206055, 17.23883056640625, 18.442502975463867, 16.592548370361328, 18.855178833007812, 17.458541870117188, 17.241777420043945, 17.761852264404297, 17.49439811706543, 17.99523162841797, 17.422809600830078, 18.6982364654541, 17.161949157714844]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[28 24]
 [ 2 33]]",0.7001590728759766,30.172412872314453,28.0,"[17.033323287963867, 17.262561798095703, 17.190610885620117, 16.918947219848633, 17.368412017822266, 17.091930389404297, 16.853361129760742, 17.445615768432617, 17.45637321472168, 17.769041061401367, 17.795026779174805, 17.228853225708008, 17.24955940246582, 16.938066482543945, 17.130313873291016, 17.76786231994629, 17.026010513305664, 17.343870162963867, 16.954822540283203, 17.428861618041992, 17.049663543701172, 17.445615768432617, 16.978782653808594, 16.96601104736328, 17.11890411376953, 17.093168258666992, 17.116615295410156, 16.998321533203125, 16.907432556152344]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[28 24]
 [ 2 33]]",0.7001590728759766,24.620689392089844,21.0,"[17.833951950073242, 18.032066345214844, 17.933320999145508, 17.730533599853516, 18.064697265625, 17.894886016845703, 17.707088470458984, 18.11833381652832, 18.471338272094727, 18.396249771118164, 18.441574096679688, 17.989591598510742, 17.970563888549805, 18.130311965942383, 17.869234085083008, 18.405025482177734, 17.82947540283203, 18.3085994720459, 17.78435707092285, 18.146791458129883, 18.2607421875, 18.11833381652832, 17.786325454711914, 17.797557830810547, 17.89777946472168, 17.898868560791016, 17.871692657470703, 17.810306549072266, 17.744657516479492]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
