CF1,f11,MAE1,MAE2,pred,date,countries
"[[25 26]
 [ 0 36]]",0.6962943077087402,132.8000030517578,140.0,"[2.8465003967285156, 3.3059089183807373, 2.885111093521118, 3.9769699573516846, 3.8213415145874023, 3.00465726852417, 4.952211380004883, 2.4923574924468994, 3.512540578842163, 4.780582427978516, 5.107361793518066, 4.27127742767334, 4.578824996948242, 3.8763551712036133, 4.217120170593262, 3.3097498416900635, 2.9408023357391357, 2.679535388946533, 4.852002143859863, 3.292949914932251, 3.3376009464263916, 3.723883867263794, 2.899050235748291, 4.548137187957764, 2.8577680587768555, 3.8079986572265625, 4.374727249145508, 3.303762674331665, 4.182677268981934, 3.9863016605377197, 3.687039375305176, 4.307494640350342, 4.115877151489258, 3.875394582748413, 3.2904529571533203]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,118.80000305175781,126.0,"[3.6683998107910156, 4.155890941619873, 3.656883955001831, 4.7978515625, 4.596772193908691, 3.8265044689178467, 5.79661226272583, 3.2899928092956543, 4.304986953735352, 5.58282470703125, 5.943092346191406, 5.165892601013184, 5.481844902038574, 4.656097888946533, 5.036789894104004, 4.124456405639648, 3.7650749683380127, 3.5008344650268555, 5.6659369468688965, 4.057401657104492, 4.233311176300049, 4.547214984893799, 3.6757686138153076, 5.396478652954102, 3.663466453552246, 4.664090156555176, 5.195265293121338, 4.115513324737549, 4.991074562072754, 4.790015697479248, 4.549724578857422, 5.155377388000488, 4.949489116668701, 4.711697101593018, 4.15309476852417]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,104.80000305175781,112.0,"[9.160543441772461, 8.687419891357422, 8.499061584472656, 8.76678466796875, 8.402643203735352, 8.374509811401367, 9.803487777709961, 8.573564529418945, 8.525178909301758, 8.404071807861328, 8.532962799072266, 9.494958877563477, 9.256185531616211, 8.5020751953125, 9.10726547241211, 8.841451644897461, 8.48518180847168, 8.84886360168457, 8.437606811523438, 8.365316390991211, 9.227230072021484, 9.925848007202148, 8.54871940612793, 8.517696380615234, 8.491294860839844, 8.889822006225586, 8.81016731262207, 8.95291519165039, 8.788061141967773, 8.43136978149414, 8.87344741821289, 10.55131721496582, 8.416471481323242, 9.063175201416016, 9.334196090698242]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,80.4000015258789,84.0,"[14.257532119750977, 14.09074878692627, 13.933119773864746, 14.572147369384766, 14.513518333435059, 13.841419219970703, 15.605700492858887, 13.479880332946777, 14.15298843383789, 14.98688793182373, 15.195470809936523, 15.057599067687988, 15.192601203918457, 14.569128036499023, 14.988804817199707, 14.493826866149902, 13.794168472290039, 13.837565422058105, 15.0209321975708, 14.026878356933594, 14.531982421875, 14.667038917541504, 13.919877052307129, 14.854702949523926, 13.779728889465332, 14.61417007446289, 14.85710334777832, 14.334893226623535, 14.81792163848877, 14.4150972366333, 14.465091705322266, 15.326035499572754, 14.560667991638184, 14.717730522155762, 14.362751007080078]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[22 29]
 [ 0 36]]",0.6578055024147034,65.47058868408203,70.0,"[16.606779098510742, 16.422176361083984, 16.218353271484375, 16.570648193359375, 16.51838493347168, 16.33712387084961, 17.471294403076172, 16.21611976623535, 16.351791381835938, 16.685569763183594, 16.711143493652344, 17.00703239440918, 16.878883361816406, 16.53103256225586, 16.78594207763672, 16.518550872802734, 16.292591094970703, 16.346790313720703, 16.684776306152344, 16.371837615966797, 16.594390869140625, 16.89445686340332, 16.264619827270508, 16.6173038482666, 16.29156494140625, 16.532913208007812, 16.63508415222168, 16.526771545410156, 16.628456115722656, 16.479900360107422, 17.485889434814453, 16.555191040039062, 16.52591323852539, 16.638660430908203]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,51.47058868408203,56.0,"[17.05552101135254, 17.093250274658203, 16.987319946289062, 17.21096420288086, 17.279022216796875, 17.08211326599121, 17.434860229492188, 16.978029251098633, 17.124929428100586, 17.43088722229004, 17.448041915893555, 17.247520446777344, 17.304468154907227, 17.279022216796875, 17.279022216796875, 17.166582107543945, 17.04345703125, 16.999998092651367, 17.42739486694336, 17.145448684692383, 17.14609146118164, 17.12320899963379, 16.9957218170166, 17.34828758239746, 17.03925895690918, 17.18442153930664, 17.279022216796875, 17.104450225830078, 17.279022216796875, 17.237632751464844, 17.26639175415039, 17.289737701416016, 17.1602783203125, 17.042943954467773]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[22 29]
 [ 0 36]]",0.6578055024147034,39.117645263671875,42.0,"[16.795753479003906, 16.832918167114258, 16.827096939086914, 16.978233337402344, 17.058637619018555, 16.704011917114258, 17.236473083496094, 16.705322265625, 16.882436752319336, 17.231107711791992, 17.24795150756836, 17.01031494140625, 17.073762893676758, 17.058637619018555, 17.058637619018555, 16.923423767089844, 16.777875900268555, 16.729578018188477, 17.22593879699707, 16.9067440032959, 16.884191513061523, 16.894948959350586, 16.81235694885254, 17.128353118896484, 16.776371002197266, 16.940168380737305, 17.058637619018555, 16.856000900268555, 17.058637619018555, 17.008838653564453, 17.06153106689453, 17.060935974121094, 16.920612335205078, 16.779333114624023]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,27.5625,28.0,"[18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078, 18.410358428955078]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,16.25806427001953,14.0,"[16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055, 16.427412033081055]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[23 28]
 [ 0 36]]",0.6708108186721802,7.724137783050537,14.0,"[15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832, 15.506169319152832]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
