CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[2.0456268787384033, 1.8121553659439087, 1.8846954107284546, 1.9335447549819946, 1.9408456087112427, 1.8559224605560303, 5.044043064117432, 1.9195178747177124, 2.00968861579895, 1.9787898063659668, 2.3121771812438965, 1.9417530298233032, 1.9110300540924072, 2.3004302978515625, 1.8822344541549683, 2.1478219032287598, 2.1465001106262207, 2.2479238510131836, 2.147174835205078]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[64  4]
 [ 8 11]]",0.7806722521781921,108.88888549804688,112.0,"[11.937633514404297, 11.850579261779785, 13.286001205444336, 10.034647941589355, 9.37377643585205, 13.687158584594727, 11.233920097351074, 10.767094612121582, 10.647761344909668, 15.68265438079834, 14.21817684173584, 14.332131385803223, 13.007844924926758, 9.881711959838867, 13.144850730895996, 15.796788215637207, 15.337235450744629, 12.350327491760254]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[68  0]
 [14  5]]",0.6616666913032532,98.77777862548828,112.0,"[10.359051704406738, 9.714205741882324, 10.403369903564453, 11.051820755004883, 10.766375541687012, 12.20109748840332, 11.668209075927734, 11.035038948059082, 10.974374771118164, 12.058634757995605, 11.34658432006836, 10.786827087402344, 11.586797714233398, 10.689544677734375, 10.544358253479004, 11.229024887084961, 11.095050811767578, 10.139595031738281]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[67  1]
 [13  6]]",0.6834719181060791,84.77777862548828,98.0,"[10.391683578491211, 10.369969367980957, 11.171936988830566, 9.642863273620605, 9.936342239379883, 11.147790908813477, 10.090505599975586, 10.405436515808105, 10.281310081481934, 12.487154006958008, 11.354714393615723, 11.407774925231934, 11.262240409851074, 9.560035705566406, 10.753562927246094, 11.887443542480469, 11.52023696899414, 10.6505765914917]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[63  5]
 [11  8]]",0.6936619877815247,70.77777862548828,84.0,"[9.717765808105469, 9.070853233337402, 9.177144050598145, 9.426557540893555, 9.595807075500488, 8.552371978759766, 9.170997619628906, 9.700669288635254, 9.608059883117676, 10.107926368713379, 8.887958526611328, 8.988409042358398, 10.176493644714355, 9.132164001464844, 9.833358764648438, 9.631136894226074, 9.769712448120117, 9.442763328552246]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[64  4]
 [ 9 10]]",0.7569310069084167,64.75,70.0,"[10.364829063415527, 10.156500816345215, 10.161542892456055, 10.29762077331543, 11.564332008361816, 9.963351249694824, 10.163379669189453, 11.405806541442871, 11.374841690063477, 10.423979759216309, 10.086037635803223, 10.122688293457031, 10.194267272949219, 10.352219581604004, 10.402979850769043, 10.280338287353516]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[64  4]
 [11  8]]",0.7056169509887695,50.75,56.0,"[10.60795783996582, 10.23437213897705, 10.256563186645508, 10.575758934020996, 12.620716094970703, 10.001069068908691, 10.399517059326172, 12.363069534301758, 12.31038761138916, 10.65512466430664, 10.120040893554688, 10.155366897583008, 10.471925735473633, 10.376152038574219, 10.429094314575195, 10.42151927947998]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 7 12]]",0.776879072189331,41.06666564941406,42.0,"[11.756101608276367, 11.463626861572266, 10.984094619750977, 11.794588088989258, 13.042106628417969, 10.556966781616211, 11.454484939575195, 12.680444717407227, 12.739360809326172, 10.628007888793945, 10.723438262939453, 10.772806167602539, 11.649503707885742, 11.066938400268555, 11.414129257202148]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[62  6]
 [11  8]]",0.6821405291557312,33.38461685180664,28.0,"[11.356328964233398, 11.17807674407959, 10.704309463500977, 11.19680118560791, 12.895570755004883, 10.24647045135498, 10.947400093078613, 12.513619422912598, 12.59915828704834, 10.298602104187012, 10.549647331237793, 11.047795295715332, 10.985044479370117]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[66  2]
 [ 9 10]]",0.7841191291809082,25.454545974731445,28.0,"[10.54395866394043, 10.300666809082031, 10.357748031616211, 11.434968948364258, 10.019268035888672, 10.28695297241211, 11.282520294189453, 11.312955856323242, 10.259549140930176, 10.244104385375977, 10.590179443359375]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[68  0]
 [12  7]]",0.7286902070045471,12.600000381469727,0.0,"[11.979571342468262, 11.8903169631958, 12.904366493225098, 11.1810884475708, 11.879907608032227, 12.918636322021484, 12.948190689086914, 11.803089141845703, 11.723097801208496, 11.8316650390625]",2022-11-07T00:00:00.000000000,"['Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[68  0]
 [17  2]]",0.5396825671195984,9.333333015441895,14.0,"[11.488862991333008, 11.091894149780273, 11.471111297607422, 12.336090087890625, 12.39593505859375, 11.485212326049805]",2022-11-21T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Romania']"
"[[67  1]
 [13  6]]",0.6834719181060791,0.0,0.0,"[11.586864471435547, 10.012015342712402, 11.053657531738281, 12.898576736450195]",2022-12-05T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Lithuania']"
"[[67  1]
 [13  6]]",0.6834719181060791,-1,-1,"[[0.17404860258102417], [0.14919252693653107], [0.5234919786453247], [0.33648473024368286], [0.21399536728858948], [0.31045663356781006], [0.28349801898002625], [0.15543319284915924], [0.19413074851036072], [0.35713574290275574], [0.30840837955474854], [0.5096269249916077], [0.2634347379207611], [0.1804543435573578], [0.5136489272117615], [0.1602495312690735], [0.14712679386138916], [0.23933623731136322], [0.33800727128982544], [0.28938087821006775], [0.18178802728652954], [0.15457555651664734], [0.30468764901161194], [0.23906143009662628], [0.31140437722206116], [0.3635643422603607], [0.22444431483745575], [0.36427295207977295], [0.19108997285366058], [0.29448202252388], [0.15501493215560913], [0.14539429545402527], [0.3753395676612854], [0.42641013860702515], [0.4738888144493103], [0.4275449812412262], [0.43386638164520264], [0.2776360809803009], [0.3134579360485077], [0.15817148983478546], [0.32231566309928894], [0.2218339890241623], [0.38562873005867004], [0.20443585515022278], [0.3837432861328125], [0.22272728383541107], [0.5920683145523071], [0.23851096630096436], [0.4744563400745392], [0.19059787690639496], [0.30785295367240906], [0.3003632724285126], [0.4997010827064514], [0.19923067092895508], [0.2657819092273712], [0.3145303726196289], [0.16139021515846252], [0.4130854606628418], [0.16077440977096558], [0.42347317934036255], [0.3798339366912842], [0.24169573187828064], [0.32558682560920715], [0.34472712874412537], [0.31157323718070984], [0.17409218847751617], [0.20159058272838593], [0.4613397419452667], [0.2804320752620697], [0.226838618516922], [0.24142730236053467], [0.6073735952377319], [0.26929017901420593], [0.3374251127243042], [0.14126990735530853], [0.2667674720287323], [0.3036470115184784], [0.3485425114631653], [0.6193150877952576], [0.15828415751457214], [0.34132954478263855], [0.29238393902778625], [0.1711433231830597], [0.3456374406814575], [0.34753653407096863], [0.4718121588230133], [0.5481761693954468]]",2022-12-19T00:00:00.000000000,[]
