CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 1  5]]",0.8176100850105286,100.80000305175781,98.0,"[1.8158049583435059, 1.1372920274734497, 1.8158049583435059, 1.4639618396759033, 1.1840782165527344]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,86.80000305175781,84.0,"[3.5695323944091797, 8.364153861999512, 3.5695323944091797, 4.124594211578369, 7.721167087554932]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,67.19999694824219,56.0,"[7.042464256286621, 17.29165267944336, 7.042464256286621, 7.042464256286621, 15.410892486572266]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,53.20000076293945,42.0,"[7.84126615524292, 19.2569637298584, 7.84126615524292, 7.84126615524292, 17.162145614624023]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,39.20000076293945,28.0,"[7.582699775695801, 17.260793685913086, 7.582699775695801, 7.582699775695801, 15.484831809997559]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[16.128740310668945, 19.512060165405273, 16.128740310668945, 16.128740310668945, 18.89120864868164]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,"[16.285621643066406, 20.415512084960938, 16.285621643066406, 16.285621643066406, 19.65766143798828]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,18.66666603088379,14.0,"[19.00330924987793, 17.384687423706055, 18.706287384033203]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[20.669626235961914],2021-03-29T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[19.61733055114746],2021-04-12T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[20.08846092224121],2021-04-26T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.9925553202629089], [0.07889008522033691], [0.07884148508310318], [0.07894980907440186], [0.07884148508310318], [0.07877819985151291], [0.0788801908493042], [0.07889008522033691], [0.9909121990203857], [0.07877819985151291], [0.0789310559630394], [0.07889008522033691], [0.5402502417564392], [0.9925553202629089], [0.07933551073074341], [0.9260281920433044], [0.20393919944763184], [0.07881475239992142], [0.07882626354694366], [0.07878661155700684], [0.07889008522033691], [0.7855261564254761], [0.07900860160589218], [0.07889008522033691], [0.0790586844086647], [0.07903977483510971], [0.0789957270026207], [0.0791013240814209], [0.07889008522033691], [0.07884276658296585], [0.07889008522033691], [0.7493662238121033], [0.07889008522033691], [0.07889008522033691], [0.07908083498477936], [0.07890675216913223], [0.07884148508310318], [0.07889008522033691], [0.07893653213977814], [0.07889008522033691], [0.0789998397231102], [0.07884148508310318], [0.07902258634567261], [0.07889008522033691], [0.07899022847414017], [0.07878869026899338], [0.07911258190870285], [0.07889008522033691], [0.07889008522033691], [0.6097264885902405], [0.0787699967622757], [0.07877048850059509], [0.07889008522033691], [0.07889008522033691], [0.07900860160589218], [0.0787699967622757], [0.3815484642982483], [0.0789060965180397], [0.9743974208831787], [0.07877819985151291], [0.07906843721866608], [0.07884148508310318], [0.07896946370601654], [0.07882664352655411], [0.07889008522033691], [0.07884148508310318], [0.07889008522033691], [0.07881475239992142], [0.07885728031396866], [0.07885394990444183], [0.07889008522033691], [0.07889008522033691], [0.0788613110780716], [0.07877819985151291], [0.7977926731109619], [0.07889656722545624], [0.07881125807762146], [0.07875775545835495], [0.07883837074041367], [0.07889008522033691], [0.0789310559630394], [0.07889008522033691], [0.07896947115659714], [0.07903556525707245], [0.07884148508310318], [0.0788613110780716], [0.07882164418697357]]",2021-05-10T00:00:00.000000000,[]
