CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [34  1]]",0.40458938479423523,107.80000305175781,119.0,"[1.768000602722168, 1.8632705211639404, 1.768000602722168, 2.806082248687744, 1.8020505905151367, 1.8107426166534424, 1.9072222709655762, 1.7444579601287842, 1.8107426166534424, 1.9588971138000488, 1.9422943592071533, 1.996323823928833, 3.83335542678833, 1.8254048824310303, 1.768000602722168, 1.8516011238098145, 1.768000602722168, 1.7215323448181152, 1.959315538406372, 1.7055113315582275, 1.9149086475372314, 1.768000602722168, 1.880540132522583, 1.8107426166534424, 1.8107426166534424, 1.7444579601287842, 1.778963565826416, 1.7854499816894531, 1.8164641857147217, 1.7413971424102783, 1.7652616500854492, 1.846776008605957, 1.8107426166534424, 1.7854499816894531, 1.9180021286010742]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[50  2]
 [26  9]]",0.586277186870575,69.80000305175781,77.0,"[7.805966377258301, 21.598058700561523, 7.805966377258301, 7.7978410720825195, 20.01137351989746, 20.236658096313477, 22.737184524536133, 18.51871109008789, 7.58790397644043, 24.07647705078125, 23.646169662475586, 25.04648780822754, 9.598572731018066, 8.594059944152832, 19.128881454467773, 21.295612335205078, 19.128881454467773, 17.924528121948242, 24.087316513061523, 17.509305953979492, 22.936399459838867, 19.128881454467773, 12.800522804260254, 20.236658096313477, 7.58790397644043, 8.786126136779785, 19.413013458251953, 19.58112907409668, 20.384944915771484, 18.439382553100586, 16.570653915405273, 21.170555114746094, 20.236658096313477, 19.58112907409668, 17.22715950012207]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[34 18]
 [ 2 33]]",0.77008455991745,74.52941131591797,84.0,"[13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 18.55709457397461, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 20.309986114501953, 13.604537963867188, 13.604537963867188, 13.604537963867188, 17.295957565307617, 13.604537963867188, 13.604537963867188, 20.98737335205078, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537963867188, 13.604537010192871, 13.604537010192871]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 14]
 [ 2 33]]",0.815482497215271,54.09090805053711,63.0,"[14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 19.922277450561523, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 21.801008224487305, 14.61418342590332, 14.61418342590332, 14.61418342590332, 18.57060432434082, 14.61418342590332, 14.61418342590332, 22.52702522277832, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.61418342590332, 14.614184379577637, 14.614184379577637]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[34 18]
 [ 2 33]]",0.77008455991745,51.121212005615234,56.0,"[16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 18.898738861083984, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 19.75497817993164, 16.479543685913086, 16.479543685913086, 16.479543685913086, 18.282703399658203, 16.479543685913086, 16.479543685913086, 20.085865020751953, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086, 16.479543685913086]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[34 18]
 [ 2 33]]",0.77008455991745,44.54545593261719,49.0,"[16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 19.46627426147461, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 20.4191837310791, 16.773956298828125, 16.773956298828125, 16.773956298828125, 18.780691146850586, 16.773956298828125, 16.773956298828125, 20.787425994873047, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125, 16.773956298828125]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 14]
 [ 2 33]]",0.815482497215271,40.90625,42.0,"[16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 18.537994384765625, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 19.095962524414062, 16.96152687072754, 16.96152687072754, 16.96152687072754, 18.13655662536621, 16.96152687072754, 16.96152687072754, 19.31158447265625, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754, 16.96152687072754]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 13]
 [ 2 33]]",0.8267622590065002,34.34375,35.0,"[17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 18.536666870117188, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 18.926551818847656, 17.435094833374023, 17.435094833374023, 17.435094833374023, 18.25615692138672, 17.435094833374023, 17.435094833374023, 19.077219009399414, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023, 17.435094833374023]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[40 12]
 [ 2 33]]",0.8380318880081177,30.172412872314453,28.0,"[17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 18.37549591064453, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 18.59115982055664, 17.766176223754883, 17.766176223754883, 17.766176223754883, 18.2203369140625, 17.766176223754883, 17.766176223754883, 18.674497604370117, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883, 17.766176223754883]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[39 13]
 [ 2 33]]",0.8267622590065002,24.620689392089844,21.0,"[16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 20.509502410888672, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 21.81061553955078, 16.8333797454834, 16.8333797454834, 16.8333797454834, 19.57339859008789, 16.8333797454834, 16.8333797454834, 22.313417434692383, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834, 16.8333797454834]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
