CF1,f11,MAE1,MAE2,pred,date,countries
"[[27 24]
 [ 0 36]]",0.7211538553237915,132.8000030517578,140.0,"[4.628745079040527, 5.114920616149902, 5.084242820739746, 7.160895347595215, 8.278729438781738, 4.954261779785156, 10.72531795501709, 3.376098394393921, 5.853137016296387, 10.647958755493164, 10.868026733398438, 7.561227798461914, 8.427542686462402, 8.278731346130371, 8.278731346130371, 6.389117240905762, 4.365248680114746, 3.706329107284546, 10.571797370910645, 6.191335678100586, 5.781853675842285, 6.032276153564453, 4.881190299987793, 9.198126792907715, 4.358575820922852, 6.604101181030273, 8.278731346130371, 5.476371765136719, 8.278729438781738, 7.582683563232422, 5.675368309020996, 8.278731346130371, 8.268058776855469, 6.369115829467773, 4.394036293029785]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,118.80000305175781,126.0,"[6.0322160720825195, 6.564939022064209, 6.263457775115967, 7.952823638916016, 8.78897476196289, 6.416593551635742, 10.762171745300293, 5.0697197914123535, 6.841243267059326, 10.719621658325195, 10.962356567382812, 8.505674362182617, 9.241077423095703, 8.788975715637207, 8.788975715637207, 7.4297709465026855, 5.9178853034973145, 5.355494022369385, 10.686467170715332, 7.0927300453186035, 7.318315029144287, 6.946432113647461, 6.101133823394775, 9.75307559967041, 5.834009170532227, 7.6893744468688965, 8.788975715637207, 6.61056661605835, 8.78897476196289, 8.288899421691895, 6.945626735687256, 8.788975715637207, 9.017391204833984, 7.309022903442383, 5.892267227172852]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,104.80000305175781,112.0,"[8.712539672851562, 9.224684715270996, 8.247678756713867, 8.142075538635254, 8.015880584716797, 9.013460159301758, 8.015880584716797, 9.101578712463379, 8.141399383544922, 8.015880584716797, 8.075589179992676, 8.706266403198242, 8.738849639892578, 8.015880584716797, 8.015880584716797, 8.374037742614746, 9.037615776062012, 9.051652908325195, 8.015880584716797, 8.089709281921387, 10.021232604980469, 8.093547821044922, 8.401496887207031, 8.390434265136719, 8.811863899230957, 8.649649620056152, 8.015880584716797, 8.277746200561523, 8.015880584716797, 8.12458324432373, 8.757447242736816, 8.015880584716797, 8.47188949584961, 8.149210929870605, 8.891992568969727]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,88.80000305175781,98.0,"[13.390308380126953, 13.545181274414062, 13.36070442199707, 13.651239395141602, 13.734563827514648, 13.529592514038086, 13.994707107543945, 13.232612609863281, 13.413042068481445, 14.021526336669922, 14.127008438110352, 13.889482498168945, 14.052913665771484, 13.734563827514648, 13.734563827514648, 13.644824981689453, 13.42166519165039, 13.297639846801758, 14.063356399536133, 13.440229415893555, 13.828413009643555, 13.39573860168457, 13.303237915039062, 14.061941146850586, 13.363166809082031, 13.741020202636719, 13.734563827514648, 13.443609237670898, 13.734563827514648, 13.70067024230957, 13.602035522460938, 13.734563827514648, 13.950834274291992, 13.565147399902344, 13.390336990356445]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,65.47058868408203,70.0,"[16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688, 16.907150268554688]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 25]
 [ 0 36]]",0.7087963819503784,51.47058868408203,56.0,"[17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150100708007812, 17.150102615356445, 17.150102615356445]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 25]
 [ 0 36]]",0.7087963819503784,39.117645263671875,42.0,"[16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754, 16.77012062072754]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,27.5625,28.0,"[17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.40475082397461, 17.404752731323242, 17.404752731323242]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,16.25806427001953,14.0,"[15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470804214477539, 15.470805168151855, 15.470805168151855]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,7.724137783050537,14.0,"[15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426, 15.381436347961426]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
