CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[1.991666555404663, 1.8998072147369385, 2.062152862548828, 1.9695684909820557, 2.215305805206299, 2.062152862548828, 8.304521560668945, 1.991666555404663, 2.2542099952697754, 2.207334518432617, 2.3844597339630127, 2.062152862548828, 2.062152862548828, 2.1772565841674805, 1.9701247215270996, 1.9528422355651855, 2.062152862548828, 1.987149953842163, 2.501549243927002]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 3 16]]",0.8564093112945557,105.77777862548828,112.0,"[11.646368026733398, 14.15951156616211, 17.24418067932129, 8.81566333770752, 10.172048568725586, 18.966276168823242, 11.646368026733398, 11.7474365234375, 11.59176254272461, 19.41731071472168, 18.966276168823242, 18.966276168823242, 12.84052848815918, 9.68165397644043, 13.069059371948242, 18.966276168823242, 16.85076904296875, 14.030485153198242]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[66  2]
 [ 8 11]]",0.8085387349128723,96.44444274902344,98.0,"[10.133777618408203, 9.567537307739258, 9.912771224975586, 11.068964004516602, 20.223417282104492, 9.794662475585938, 10.133777618408203, 18.921127319335938, 18.69407844543457, 11.001705169677734, 9.794662475585938, 9.794662475585938, 10.885717391967773, 10.498701095581055, 9.827054977416992, 9.794662475585938, 9.682516098022461, 9.858610153198242]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,82.44444274902344,84.0,"[9.201798439025879, 9.161460876464844, 9.161460876464844, 9.274919509887695, 19.221799850463867, 9.161460876464844, 9.201798439025879, 17.842878341674805, 17.827848434448242, 9.208197593688965, 9.161460876464844, 9.161460876464844, 9.271825790405273, 9.286959648132324, 9.167265892028809, 9.161460876464844, 9.161460876464844, 9.186602592468262]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,68.44444274902344,70.0,"[11.209603309631348, 11.628449440002441, 10.943081855773926, 10.43171501159668, 19.01654052734375, 10.918265342712402, 11.209603309631348, 17.81283950805664, 18.155349731445312, 9.411680221557617, 10.918265342712402, 10.918265342712402, 10.174413681030273, 10.754182815551758, 11.434788703918457, 10.918265342712402, 11.244851112365723, 11.277667999267578]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,62.125,70.0,"[11.362349510192871, 11.362349510192871, 11.362349510192871, 11.40005111694336, 21.418556213378906, 11.362349510192871, 11.362349510192871, 20.06905174255371, 20.071279525756836, 11.362349510192871, 11.362349510192871, 11.362349510192871, 11.360564231872559, 11.362349510192871, 11.362349510192871, 11.362349510192871]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[60  8]
 [ 2 17]]",0.8479021191596985,48.125,56.0,"[11.598508834838867, 11.598508834838867, 11.598508834838867, 11.598508834838867, 20.657533645629883, 11.598508834838867, 11.598508834838867, 19.44385528564453, 19.44385528564453, 11.598508834838867, 11.598508834838867, 11.598508834838867, 11.598508834838867, 11.598508834838867, 11.598508834838867, 11.598506927490234]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 4 15]]",0.8376865386962891,38.266666412353516,42.0,"[11.218940734863281, 11.218940734863281, 11.218940734863281, 11.218940734863281, 20.420143127441406, 11.218940734863281, 11.218940734863281, 19.187416076660156, 19.187416076660156, 11.218940734863281, 11.218940734863281, 11.218940734863281, 11.218940734863281, 11.218940734863281, 11.218940734863281]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,30.153846740722656,28.0,"[10.799212455749512, 10.799212455749512, 10.799212455749512, 10.799212455749512, 19.706531524658203, 10.799212455749512, 10.799212455749512, 18.51317596435547, 18.51317596435547, 10.799212455749512, 10.799212455749512, 10.799212455749512, 10.799212455749512]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[58 10]
 [ 2 17]]",0.8226901888847351,21.636363983154297,14.0,"[11.304956436157227, 11.304956436157227, 11.304956436157227, 19.837059020996094, 11.304956436157227, 11.304956436157227, 18.693973541259766, 18.693973541259766, 11.304956436157227, 11.304956436157227, 11.304956436157227]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[63  5]
 [ 4 15]]",0.8512820601463318,11.199999809265137,0.0,"[11.696239471435547, 11.696239471435547, 19.669004440307617, 11.696239471435547, 11.696239471435547, 18.60085678100586, 18.60085678100586, 11.696239471435547, 11.696239471435547, 11.696239471435547]",2022-11-07T00:00:00.000000000,"['Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[68  0]
 [11  8]]",0.7588813304901123,9.333333015441895,14.0,"[12.02920913696289, 12.02920913696289, 12.02920913696289, 18.14618682861328, 18.14618682861328, 12.02920913696289]",2022-11-21T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Romania']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,3.5,0.0,"[11.673894882202148, 11.673894882202148, 11.673894882202148, 18.07602310180664]",2022-12-05T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Lithuania']"
