CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,107.80000305175781,119.0,"[0.018598586320877075, -0.00869867205619812, 0.008057862520217896, 0.057513996958732605, -0.021566733717918396, -0.04849650710821152, -0.0001872330904006958, -0.05142673850059509, -0.056254103779792786, -0.011105909943580627, 0.04523390531539917, 0.05103124678134918, 0.15567496418952942, 0.007178664207458496, -0.05473851412534714, 0.03853313624858856, 0.0047144293785095215, -0.06633418053388596, -0.0617375373840332, 0.008002012968063354, -0.03486233204603195, -0.047752171754837036, 0.08856870234012604, 0.02251419425010681, 0.00512087345123291, 0.07636088132858276, -0.04350782930850983, -0.023302406072616577, -0.0292733833193779, 0.0013700127601623535, 0.11105683445930481, 0.0641050785779953, -0.00350835919380188, 0.061907172203063965, 0.004566192626953125]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,79.4000015258789,91.0,"[1.2655665874481201, 0.49948444962501526, 0.7810383439064026, 0.9037990570068359, 0.4676932990550995, 0.34844011068344116, 0.5948835611343384, 0.29048189520835876, 1.0484379529953003, 0.48633408546447754, 0.7746360301971436, 0.8016027212142944, 1.10197114944458, 1.0701948404312134, 0.312132328748703, 0.7131531238555908, 0.7005022764205933, 0.26385563611984253, 0.3344897925853729, 0.5811505913734436, 0.3887660503387451, 0.3374379575252533, 0.9947910308837891, 0.729027271270752, 0.7826555371284485, 1.2343732118606567, 0.30268797278404236, 0.46329787373542786, 0.4080340564250946, 0.5743089914321899, 1.1445969343185425, 0.7588281631469727, 0.7212755680084229, 0.8117820620536804, 0.8121237754821777]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,76.17646789550781,84.0,"[9.038125991821289, 10.636425018310547, 6.623470306396484, 7.037491798400879, 10.614524841308594, 5.261974811553955, 10.34139347076416, 7.479930400848389, 5.446922302246094, 10.039852142333984, 13.492392539978027, 13.097710609436035, 10.174891471862793, 7.900083065032959, 8.844120979309082, 12.111775398254395, 7.954668045043945, 6.915699005126953, 6.657285213470459, 12.340489387512207, 9.657042503356934, 8.101598739624023, 11.302050590515137, 11.199386596679688, 5.420450210571289, 10.265697479248047, 5.659345626831055, 11.616519927978516, 9.311415672302246, 11.156706809997559, 11.274585723876953, 12.361590385437012, 13.455326080322266, 7.409429550170898]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,66.81818389892578,77.0,"[5.851266384124756, 7.138614654541016, 4.286525249481201, 4.529936790466309, 7.124599933624268, 3.3022804260253906, 6.868600845336914, 5.028792858123779, 3.4285976886749268, 6.746817111968994, 9.028155326843262, 8.764979362487793, 5.080992221832275, 5.904642105102539, 8.073826789855957, 5.2106475830078125, 4.5572733879089355, 4.321283340454102, 8.260689735412598, 6.454894542694092, 5.426620006561279, 7.506349563598633, 7.505493640899658, 3.4587085247039795, 6.792708873748779, 3.9327242374420166, 7.7443366050720215, 6.22376823425293, 7.481566905975342, 7.4896016120910645, 8.276776313781738, 9.005064964294434, 4.796693325042725]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,64.2727279663086,70.0,"[7.137506008148193, 8.638800621032715, 5.319669723510742, 5.602865219116211, 8.62020492553711, 4.171871662139893, 8.318755149841309, 6.183526992797852, 4.317877292633057, 8.18321704864502, 10.834290504455566, 10.527745246887207, 6.2426676750183105, 7.202602863311768, 9.725237846374512, 6.38966178894043, 5.635052680969238, 5.3531494140625, 9.938109397888184, 7.843133926391602, 6.645744323730469, 9.064960479736328, 9.06360912322998, 4.354017734527588, 8.23427677154541, 4.907814025878906, 9.339606285095215, 7.574731826782227, 9.038376808166504, 9.045695304870605, 9.959943771362305, 10.807000160217285, 5.912106037139893]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,56.42424392700195,63.0,"[6.181162357330322, 7.477427959442139, 4.607893943786621, 4.852768898010254, 7.462414741516113, 3.616853952407837, 7.203505516052246, 5.354722499847412, 3.7436115741729736, 7.083385467529297, 9.377304077148438, 9.112399101257324, 5.40669059753418, 6.235877513885498, 8.417724609375, 5.5354719161987305, 4.880396366119385, 4.640269756317139, 8.603796005249023, 6.789559364318848, 5.754706859588623, 7.846750259399414, 7.845790863037109, 3.7741026878356934, 7.128706932067871, 4.251886367797852, 8.085380554199219, 6.557198524475098, 7.8226637840271, 7.830011367797852, 8.62126350402832, 9.353874206542969, 5.1206817626953125]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,52.28125,56.0,"[-1.1311122179031372, -1.3805879354476929, -0.8324138522148132, -0.8791452050209045, -1.3765350580215454, -0.6416836977005005, -1.3251663446426392, -0.9750970602035522, -0.6653101444244385, -1.3055033683776855, -1.7415534257888794, -1.6908155679702759, -0.9840961694717407, -1.1432973146438599, -1.5590827465057373, -1.0067936182022095, -0.8846458792686462, -0.8347806930541992, -1.5923477411270142, -1.2491637468338013, -1.0510894060134888, -1.450152039527893, -1.4497390985488892, -0.6719520092010498, -1.3128501176834106, -0.764338493347168, -1.494420051574707, -1.2051202058792114, -1.4467796087265015, -1.4470480680465698, -1.7368953227996826, -0.9297006130218506]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,45.28125,49.0,"[-0.5651343464851379, -0.6625514626502991, -0.4190136194229126, -0.444160521030426, -0.6608862280845642, -0.33600062131881714, -0.6438118815422058, -0.47090402245521545, -0.3470616042613983, -0.6263789534568787, -0.8354117274284363, -0.8114099502563477, -0.49630650877952576, -0.5537211298942566, -0.7518442869186401, -0.49901849031448364, -0.4367550313472748, -0.41997838020324707, -0.7650501728057861, -0.6031012535095215, -0.5085436105728149, -0.702738881111145, -0.6963945627212524, -0.3456520736217499, -0.6397915482521057, -0.3602598011493683, -0.7214407920837402, -0.5822134613990784, -0.6942124962806702, -0.70109623670578, -0.8331081867218018, -0.4665541350841522]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,43.68965530395508,42.0,"[3.9650635719299316, 4.70474100112915, 2.8441810607910156, 3.0360517501831055, 4.695715427398682, 2.2143020629882812, 3.2416577339172363, 2.3006021976470947, 4.42807674407959, 6.030394077301025, 5.847568035125732, 3.4366369247436523, 3.874030113220215, 3.463940143585205, 2.979753017425537, 2.8635413646698, 5.497707366943359, 4.2507524490356445, 3.5301530361175537, 5.0140204429626465, 4.966813564300537, 2.287619113922119, 4.533695220947266, 2.398092746734619, 5.161118030548096, 4.090181350708008, 4.945663928985596, 5.0012030601501465, 3.2090651988983154]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[ 0 52]
 [ 0 35]]",0.28688523173332214,35.72413635253906,35.0,"[1.2210310697555542, 1.406721830368042, 0.9388766884803772, 0.987121045589447, 1.4046894311904907, 0.78072190284729, 1.038841724395752, 0.8025279641151428, 1.3371185064315796, 1.7404028177261353, 1.6944652795791626, 1.0879896879196167, 1.1978402137756348, 1.0953022241592407, 0.9729233384132385, 0.9444854855537415, 1.6068061590194702, 1.2925505638122559, 1.1114553213119507, 1.4846590757369995, 1.4728537797927856, 0.7991693615913391, 1.363914966583252, 0.8268265128135681, 1.5218943357467651, 1.2521305084228516, 1.4672507047653198, 1.481415867805481, 1.0307552814483643]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
