CF1,f11,MAE1,MAE2,pred,date,countries
"[[63 18]
 [ 0  6]]",0.637499988079071,100.80000305175781,98.0,"[2.409426689147949, 1.9124789237976074, 2.5213992595672607, 2.7625064849853516, 2.438525676727295]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[63 18]
 [ 0  6]]",0.637499988079071,86.80000305175781,84.0,"[1.5882542133331299, 1.2522075176239014, 1.668104887008667, 1.8400124311447144, 1.6119418144226074]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[63 18]
 [ 0  6]]",0.637499988079071,72.80000305175781,70.0,"[-0.20656639337539673, -0.17507457733154297, -0.21337395906448364, -0.2280348688364029, -0.20812299847602844]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[63 18]
 [ 0  6]]",0.637499988079071,58.79999923706055,56.0,"[2.57547926902771, 2.0520107746124268, 2.696560859680176, 2.957421064376831, 2.609468936920166]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[63 18]
 [ 0  6]]",0.637499988079071,44.79999923706055,42.0,"[2.485882043838501, 1.9385089874267578, 2.615856885910034, 2.895575523376465, 2.5244739055633545]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[63 18]
 [ 0  6]]",0.637499988079071,30.799999237060547,28.0,"[-0.3167085349559784, -0.28829336166381836, -0.32285112142562866, -0.3360797166824341, -0.3181130886077881]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[63 18]
 [ 0  6]]",0.637499988079071,16.799999237060547,14.0,"[2.111445903778076, 1.6798913478851318, 2.2112481594085693, 2.4261274337768555, 2.139274835586548]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[61 20]
 [ 0  6]]",0.6170774698257446,14.0,0.0,"[1.1234562397003174, 1.7398343086242676, 1.5038752555847168]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[39 42]
 [ 0  6]]",0.43611112236976624,28.0,28.0,[-0.7840465307235718],2021-03-29T00:00:00.000000000,['Mexico']
"[[39 42]
 [ 0  6]]",0.43611112236976624,14.0,14.0,[0.9330746531486511],2021-04-12T00:00:00.000000000,['Mexico']
"[[39 42]
 [ 0  6]]",0.43611112236976624,0.0,0.0,[1.4720053672790527],2021-04-26T00:00:00.000000000,['Mexico']
"[[39 42]
 [ 0  6]]",0.43611112236976624,-1,-1,"[1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",2021-05-10T00:00:00.000000000,[]
