CF1,f11,MAE1,MAE2,pred,date,countries
"[[39 12]
 [14 22]]",0.6892856955528259,131.60000610351562,140.0,"[8.270298957824707, 11.771552085876465, 7.242525100708008, 12.049935340881348, 6.244871616363525, 8.973676681518555, 9.998676300048828, 8.96228313446045, 11.620492935180664, 8.51959228515625, 11.386639595031738, 13.699069023132324, 14.043041229248047, 6.869297027587891, 10.659497261047363, 7.155289649963379, 10.408123016357422, 9.801980018615723, 9.594409942626953, 7.909703254699707, 9.474254608154297, 13.242825508117676, 8.14215087890625, 11.05190372467041, 9.523663520812988, 12.03037166595459, 12.515829086303711, 10.493083953857422, 10.318896293640137, 10.673333168029785, 14.056990623474121, 11.561203956604004, 9.536505699157715, 13.733742713928223, 14.170480728149414]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 12]
 [14 22]]",0.6892856955528259,118.80000305175781,126.0,"[3.071930170059204, 4.46638298034668, 2.6610066890716553, 4.577620506286621, 2.263244152069092, 3.350687265396118, 3.7613582611083984, 3.3461203575134277, 4.406034469604492, 3.1696970462799072, 4.312740325927734, 5.2360711097717285, 5.372851371765137, 2.5121891498565674, 4.024036407470703, 2.6270289421081543, 3.922605514526367, 3.68157696723938, 3.598176956176758, 2.9265899658203125, 3.5514893531799316, 5.0542802810668945, 3.0196542739868164, 4.179294586181641, 3.57010817527771, 4.570077896118164, 4.7634429931640625, 3.9574618339538574, 3.8877434730529785, 4.028257369995117, 5.377907752990723, 4.384768486022949, 3.575080156326294, 5.2494707107543945, 5.423809051513672]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 12]
 [14 22]]",0.6892856955528259,104.80000305175781,112.0,"[5.546391010284424, 7.847488880157471, 4.8623175621032715, 8.032419204711914, 4.204342365264893, 6.0012006759643555, 6.6880693435668945, 5.993560314178467, 7.7472052574157715, 5.702006816864014, 7.5926594734191895, 9.125168800354004, 9.350076675415039, 4.616099834442139, 7.119625091552734, 4.809127330780029, 6.947294235229492, 6.550989627838135, 6.410617351531982, 5.3000664710998535, 6.337963104248047, 8.824880599975586, 5.455471992492676, 7.371963024139404, 6.3647027015686035, 8.020913124084473, 8.340071678161621, 7.008645057678223, 6.8923020362854, 7.121737003326416, 9.356545448303223, 7.720940589904785, 6.372371196746826, 9.145740509033203, 9.434918403625488]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[39 12]
 [14 22]]",0.6892856955528259,90.80000305175781,98.0,"[4.817681312561035, 6.8701701164245605, 4.218041896820068, 7.032708644866943, 3.633965015411377, 5.2324934005737305, 5.828972339630127, 5.225864887237549, 6.781950950622559, 4.966554164886475, 6.645145893096924, 7.9964985847473145, 8.198524475097656, 3.9995572566986084, 6.2172675132751465, 4.165526390075684, 6.072276592254639, 5.716259479522705, 5.595892429351807, 4.609396457672119, 5.523356914520264, 7.729183673858643, 4.744784355163574, 6.449151039123535, 5.554226398468018, 7.020789623260498, 7.3053364753723145, 6.1202497482299805, 6.018757343292236, 6.227700710296631, 8.207598686218262, 6.742968559265137, 5.562011241912842, 8.017560005187988, 8.272871017456055]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 2 34]]",0.6746794581413269,79.47058868408203,84.0,"[4.947912216186523, 7.238122940063477, 4.21401309967041, 7.439759254455566, 3.7281885147094727, 5.47266960144043, 6.096656799316406, 5.483542442321777, 7.144553184509277, 5.214878082275391, 6.990940093994141, 8.416736602783203, 8.627108573913574, 4.125810146331787, 6.387124061584473, 4.240220069885254, 6.355666160583496, 5.948882102966309, 5.879798889160156, 4.827061176300049, 5.613815784454346, 8.17785930633545, 4.804166793823242, 6.813982009887695, 5.842228412628174, 7.26637077331543, 7.676426410675049, 6.2929792404174805, 6.25440788269043, 6.555635452270508, 7.116539478302002, 5.826257705688477, 8.367521286010742, 8.694881439208984]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 2 34]]",0.6746794581413269,65.47058868408203,70.0,"[7.330030918121338, 10.617786407470703, 6.28628396987915, 10.905008316040039, 5.591681003570557, 8.09201431274414, 8.972543716430664, 8.107821464538574, 10.484622955322266, 7.722856044769287, 10.265079498291016, 12.297170639038086, 12.600489616394043, 6.1609063148498535, 9.392524719238281, 6.319240093231201, 9.355709075927734, 8.769354820251465, 8.67480182647705, 7.167405605316162, 8.28548812866211, 11.95483684539795, 7.131306171417236, 10.011897087097168, 8.620208740234375, 10.654353141784668, 11.243003845214844, 9.259241104125977, 9.206097602844238, 9.642647743225098, 10.429853439331055, 8.598140716552734, 12.228982925415039, 12.696515083312988]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 2 34]]",0.6746794581413269,51.47058868408203,56.0,"[7.670866012573242, 10.730627059936523, 6.596649169921875, 10.966202735900879, 5.805954933166504, 8.211921691894531, 9.208929061889648, 8.198328971862793, 10.58853816986084, 7.792239189147949, 10.390517234802246, 12.471338272094727, 12.776094436645508, 6.226274490356445, 9.8081693649292, 6.647364139556885, 9.499995231628418, 8.993572235107422, 8.763463020324707, 7.234250068664551, 8.713155746459961, 12.056031227111816, 7.405086517333984, 10.06230354309082, 8.682350158691406, 10.950640678405762, 11.417394638061523, 9.654419898986816, 9.459065437316895, 9.766594886779785, 10.61920166015625, 8.714659690856934, 12.483491897583008, 12.884635925292969]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[17 34]
 [ 1 35]]",0.5797101259231567,40.6875,42.0,"[9.296679496765137, 5.695006370544434, 9.502352714538574, 5.005894184112549, 7.101655006408691, 7.972784519195557, 7.089775562286377, 9.172743797302246, 6.736039638519287, 9.000083923339844, 10.815022468566895, 11.080248832702637, 5.372276782989502, 8.49429988861084, 5.740328788757324, 8.224093437194824, 7.783752918243408, 7.582280158996582, 6.249905586242676, 7.540226459503174, 10.453152656555176, 6.399423122406006, 8.714127540588379, 7.511835098266602, 9.489279747009277, 9.895609855651855, 8.189501762390137, 8.456241607666016, 9.202105522155762, 7.539733409881592, 10.825398445129395, 11.175026893615723]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[14 37]
 [ 1 35]]",0.5361952781677246,26.645160675048828,28.0,"[7.326240539550781, 4.525085926055908, 7.4873881340026855, 3.9885518550872803, 5.617298603057861, 6.303649425506592, 5.6079630851745605, 7.229290008544922, 5.333038806915283, 7.094645977020264, 8.512892723083496, 8.717748641967773, 4.273982524871826, 6.70605993270874, 4.56347131729126, 6.4908013343811035, 6.15078592300415, 5.991353511810303, 4.954996585845947, 5.963717937469482, 8.231853485107422, 5.073119163513184, 6.8722453117370605, 5.937171459197998, 7.478321552276611, 6.466844081878662, 6.671008110046387, 7.262203693389893, 5.958190441131592, 8.51918888092041, 8.792147636413574]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 1 35]]",0.44035089015960693,15.931034088134766,14.0,"[4.885653972625732, 2.9081621170043945, 4.998530387878418, 2.5298407077789307, 3.6805779933929443, 4.1585187911987305, 3.6740615367889404, 4.817626476287842, 3.479832887649536, 4.7228498458862305, 5.719049453735352, 5.8647141456604, 2.7309839725494385, 4.444939613342285, 4.296814918518066, 4.0549397468566895, 3.9444491863250732, 3.2129218578338623, 3.921107530593872, 5.520364761352539, 3.2949163913726807, 4.565846920013428, 3.9057390689849854, 4.9912848472595215, 4.2776875495910645, 4.424295425415039, 4.833380699157715, 3.921093225479126, 5.724788188934326]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
