CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[0.4458303451538086, 0.36312854290008545, 0.37339699268341064, 0.36209356784820557, 0.343883752822876, 0.32505059242248535, 0.6245917677879333, 0.3421269357204437, 0.35589736700057983, 0.3434368669986725, 0.5415416955947876, 0.44590550661087036, 0.3840467929840088, 0.5441696643829346, 0.35601043701171875, 0.5245845317840576, 0.4989284873008728, 0.5729184150695801, 0.41899147629737854]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[42 26]
 [11  8]]",0.49805083870887756,112.77777862548828,126.0,"[3.9125702381134033, 3.028737783432007, 3.06243896484375, 2.718247413635254, 2.2078969478607178, 1.7873196601867676, 2.4733870029449463, 2.5597012042999268, 2.4927210807800293, 4.343565940856934, 2.5883965492248535, 2.8243017196655273, 4.021116256713867, 2.3805201053619385, 4.4939188957214355, 4.331562519073486, 4.672844409942627, 3.65834903717041]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[42 26]
 [11  8]]",0.49805083870887756,98.77777862548828,112.0,"[2.2039902210235596, 1.7445067167282104, 1.7619901895523071, 1.5886483192443848, 1.3225189447402954, 1.1053364276885986, 1.462165117263794, 1.5056344270706177, 1.47090482711792, 2.4261560440063477, 1.5188649892807007, 1.6404582262039185, 2.262164354324341, 1.4129106998443604, 2.504242181777954, 2.4201102256774902, 2.597435712814331, 2.0702433586120605]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[42 26]
 [11  8]]",0.49805083870887756,84.77777862548828,98.0,"[3.3914101123809814, 2.651148796081543, 2.6793899536132812, 2.3910934925079346, 1.9634389877319336, 1.6110084056854248, 2.185925006866455, 2.2582504749298096, 2.2021231651306152, 3.752311944961548, 2.2822256088256836, 2.479910373687744, 3.4821839332580566, 2.1081044673919678, 3.8782215118408203, 3.7422614097595215, 4.028051376342773, 3.178516149520874]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[42 26]
 [11  8]]",0.49805083870887756,70.77777862548828,84.0,"[1.313332438468933, 0.9911031723022461, 1.0033515691757202, 0.8852874040603638, 0.6982158422470093, 0.5468384623527527, 0.797073483467102, 0.8267982006072998, 0.8024965524673462, 1.4680306911468506, 0.8348930478096008, 0.9195245504379272, 1.3552207946777344, 0.7620009183883667, 1.5227652788162231, 1.4639467000961304, 1.5882413387298584, 1.2185792922973633]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 6 13]]",0.45506536960601807,64.75,70.0,"[2.462796211242676, 1.98537278175354, 2.003544569015503, 1.8217219114303589, 1.545945167541504, 1.3193895816802979, 1.6898859739303589, 1.7360225915908813, 1.6998910903930664, 2.69353985786438, 1.7505722045898438, 1.8774528503417969, 1.6394308805465698, 2.6873044967651367, 2.8715457916259766, 2.323714017868042]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 6 13]]",0.45506536960601807,50.75,56.0,"[2.9579901695251465, 2.3263585567474365, 2.3504698276519775, 2.0991461277008057, 1.7353267669677734, 1.433310627937317, 1.9234179258346558, 1.9864847660064697, 1.9385336637496948, 3.2676937580108643, 2.0085911750793457, 2.178205728530884, 1.8580321073532104, 3.258913278579712, 3.5029025077819824, 2.7777459621429443]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 6 13]]",0.45506536960601807,41.06666564941406,42.0,"[4.243738174438477, 3.306302547454834, 3.342010498046875, 2.9839649200439453, 2.4418725967407227, 1.9975658655166626, 2.725282669067383, 2.8152737617492676, 2.7443435192108154, 4.698511123657227, 2.8433592319488525, 3.092334747314453, 2.6257104873657227, 4.686063766479492, 5.047918319702148]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[26 42]
 [ 6 13]]",0.4356756806373596,33.38461685180664,28.0,"[1.9067875146865845, 1.5341758728027344, 1.5484071969985962, 1.3987115621566772, 1.1842797994613647, 1.005728006362915, 1.2948434352874756, 1.3323776721954346, 1.3040673732757568, 2.0899598598480225, 1.4462049007415771, 1.2564958333969116, 2.084723711013794]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[26 42]
 [ 6 13]]",0.4356756806373596,25.454545974731445,28.0,"[2.130457639694214, 1.7124392986297607, 1.6117887496948242, 1.344265341758728, 1.103860855102539, 1.4845266342163086, 1.5308760404586792, 1.4971953630447388, 1.6290524005889893, 1.4264646768569946, 2.368640661239624]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[24 44]
 [ 6 13]]",0.41595059633255005,12.600000381469727,0.0,"[0.8497655391693115, 0.8211005926132202, 0.7300864458084106, 0.6392408013343811, 0.7772256135940552, 0.7930804491043091, 0.7851625680923462, 0.8199954032897949, 0.7450405359268188, 1.0480782985687256]",2022-11-07T00:00:00.000000000,"['Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[24 44]
 [ 2 17]]",0.4678191542625427,9.333333015441895,14.0,"[2.6229710578918457, 1.8083966970443726, 2.4233250617980957, 2.507197380065918, 2.471200466156006, 2.2756505012512207]",2022-11-21T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Romania']"
"[[21 47]
 [ 1 18]]",0.4476190507411957,0.0,0.0,"[2.4209821224212646, 1.6506569385528564, 2.2207553386688232, 2.2673447132110596]",2022-12-05T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Lithuania']"
"[[17 51]
 [ 0 19]]",0.4134831428527832,-1,-1,"[0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",2022-12-19T00:00:00.000000000,[]
