CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 9 42]
 [ 0 36]]",0.46578946709632874,132.8000030517578,140.0,"[-0.4770548641681671, -0.5897014141082764, -0.44477954506874084, -0.5984768271446228, -0.4128931164741516, -0.5003719329833984, -0.5321329832077026, -0.5000194311141968, -0.5849337577819824, -0.48583245277404785, -0.5774886012077332, -0.6507151126861572, -0.6618883609771729, -0.4328567385673523, -0.5536469221115112, -0.44159168004989624, -0.5462148189544678, -0.526523232460022, -0.5202087759971619, -0.4663124978542328, -0.5157619714736938, -0.6360762119293213, -0.47354841232299805, -0.5667835474014282, -0.517879068851471, -0.5977227091789246, -0.61333167552948, -0.5484409332275391, -0.5430083274841309, -0.554734468460083, -0.6625853776931763, -0.5818572640419006, -0.518363356590271, -0.6520346999168396, -0.6658886671066284]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,118.80000305175781,126.0,"[-0.4770548641681671, -0.5897014141082764, -0.44477954506874084, -0.5984768271446228, -0.4128931164741516, -0.5003719329833984, -0.5321329832077026, -0.5000194311141968, -0.5849337577819824, -0.48583245277404785, -0.5774886012077332, -0.6507151126861572, -0.6618883609771729, -0.4328567385673523, -0.5536469221115112, -0.44159168004989624, -0.5462148189544678, -0.526523232460022, -0.5202087759971619, -0.4663124978542328, -0.5157619714736938, -0.6360762119293213, -0.47354841232299805, -0.5667835474014282, -0.517879068851471, -0.5977227091789246, -0.61333167552948, -0.5484409332275391, -0.5430083274841309, -0.554734468460083, -0.6625853776931763, -0.5818572640419006, -0.518363356590271, -0.6520346999168396, -0.6658886671066284]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,104.80000305175781,112.0,"[-0.4770548641681671, -0.5897014141082764, -0.44477954506874084, -0.5984768271446228, -0.4128931164741516, -0.5003719329833984, -0.5321329832077026, -0.5000194311141968, -0.5849337577819824, -0.48583245277404785, -0.5774886012077332, -0.6507151126861572, -0.6618883609771729, -0.4328567385673523, -0.5536469221115112, -0.44159168004989624, -0.5462148189544678, -0.526523232460022, -0.5202087759971619, -0.4663124978542328, -0.5157619714736938, -0.6360762119293213, -0.47354841232299805, -0.5667835474014282, -0.517879068851471, -0.5977227091789246, -0.61333167552948, -0.5484409332275391, -0.5430083274841309, -0.554734468460083, -0.6625853776931763, -0.5818572640419006, -0.518363356590271, -0.6520346999168396, -0.6658886671066284]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[12 39]
 [ 0 36]]",0.514800488948822,64.0,70.0,"[28.854284286499023, 41.065155029296875, 25.193025588989258, 42.053646087646484, 21.693124771118164, 31.240663528442383, 34.935035705566406, 31.199567794799805, 40.52934646606445, 29.65022850036621, 39.70615768432617, 47.885005950927734, 49.07418441772461, 23.88310432434082, 37.21360397338867, 24.925796508789062, 36.27328109741211, 34.17776870727539, 33.418540954589844, 27.513286590576172, 33.055908203125, 46.292789459228516, 28.347517013549805, 38.5324821472168, 33.176998138427734, 41.99750518798828, 43.691505432128906, 36.61884689331055, 35.99470901489258, 37.1994743347168, 49.098480224609375, 40.440364837646484, 33.21489334106445, 47.98579025268555, 49.528106689453125]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 49]
 [ 0 36]]",0.33525651693344116,48.588233947753906,56.0,"[29.920562744140625, 42.709144592285156, 25.73311996459961, 43.85549545288086, 22.994476318359375, 32.77200698852539, 36.395172119140625, 32.830936431884766, 42.17607879638672, 31.324142456054688, 41.309391021728516, 49.40521240234375, 50.56800079345703, 25.229270935058594, 37.989871978759766, 25.921932220458984, 37.73826599121094, 35.48849868774414, 35.060672760009766, 29.146835327148438, 33.64347839355469, 48.066158294677734, 29.048431396484375, 40.313472747802734, 34.85686492919922, 42.903160095214844, 45.19303894042969, 37.44716262817383, 37.21148681640625, 38.85609436035156, 42.15250015258789, 34.75986862182617, 49.10795974731445, 50.95795822143555]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 4 47]
 [ 0 36]]",0.3752482831478119,35.0,42.0,"[32.954776763916016, 46.912261962890625, 28.51534652709961, 48.13352584838867, 25.564125061035156, 36.182193756103516, 39.93336868286133, 36.24912643432617, 46.34593963623047, 34.614219665527344, 45.4130859375, 54.05253601074219, 55.339080810546875, 27.982013702392578, 41.71375274658203, 28.659252166748047, 41.5503044128418, 39.0630989074707, 38.657737731933594, 32.255069732666016, 37.01139450073242, 52.598655700683594, 32.10458755493164, 44.33751678466797, 38.42653274536133, 47.07091522216797, 49.569923400878906, 41.14631652832031, 40.91879653930664, 42.7685546875, 46.12580490112305, 38.332115173339844, 53.760955810546875, 55.747840881347656]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,25.941177368164062,28.0,"[31.869617462158203, 43.73579406738281, 27.780513763427734, 44.631614685058594, 24.73532485961914, 34.034976959228516, 37.78228759765625, 33.98360061645508, 43.19400405883789, 32.41410446166992, 42.433753967285156, 50.38787841796875, 51.580848693847656, 26.352184295654297, 40.13154983520508, 27.940902709960938, 39.0003776550293, 37.01806640625, 36.16083908081055, 30.260013580322266, 35.90922546386719, 48.7852897644043, 30.898700714111328, 41.1669807434082, 35.84096908569336, 44.55952835083008, 46.36860275268555, 39.54998779296875, 38.80915832519531, 40.033199310302734, 43.201778411865234, 35.97330093383789, 50.456356048583984, 51.991783142089844]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,12.6875,14.0,"[56.52121353149414, 35.91008377075195, 57.64780044555664, 31.991437911987305, 44.03587341308594, 48.651344299316406, 43.97200393676758, 55.835819244384766, 41.93960189819336, 54.86299514770508, 64.97598266601562, 66.55450439453125, 34.067691802978516, 51.76560592651367, 36.036338806152344, 50.43622589111328, 47.8121452331543, 46.77547073364258, 39.155860900878906, 46.319541931152344, 62.89015579223633, 39.933475494384766, 53.22661590576172, 46.34663009643555, 57.5262451171875, 59.88134002685547, 50.1131477355957, 51.779296875, 55.59362030029297, 46.535091400146484, 65.10186767578125, 67.07331085205078]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,12.193548202514648,14.0,"[39.07392883300781, 25.340984344482422, 39.79689025878906, 22.743736267089844, 30.796615600585938, 33.66776657104492, 30.756315231323242, 38.63005065917969, 29.39775276184082, 37.99022674560547, 44.56739044189453, 45.65031433105469, 24.115886688232422, 35.815940856933594, 25.352176666259766, 35.048431396484375, 33.24298858642578, 32.615997314453125, 27.542043685913086, 32.19478988647461, 43.17509460449219, 28.01742172241211, 36.89997482299805, 32.316192626953125, 39.69003677368164, 34.76460266113281, 35.951255798339844, 38.23662185668945, 32.457542419433594, 44.69588088989258, 45.97614288330078]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 25]
 [ 0 36]]",0.7087963819503784,10.620689392089844,14.0,"[36.52547836303711, 24.244430541992188, 37.14227294921875, 21.93670082092285, 29.168407440185547, 31.516599655151367, 29.134817123413086, 36.14228820800781, 27.915109634399414, 35.5792236328125, 41.294097900390625, 42.29741668701172, 23.15166664123535, 33.515506744384766, 32.95686340332031, 31.280927658081055, 30.788911819458008, 26.25460433959961, 30.28474235534668, 40.03781509399414, 26.63338279724121, 34.60430145263672, 30.50556755065918, 37.01844024658203, 32.629150390625, 33.772891998291016, 35.540428161621094, 30.64906120300293, 41.45168685913086]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
