CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[4.923412799835205, 3.610466241836548, 3.674767255783081, 4.511580467224121, 3.6513893604278564, 3.429454803466797, 5.490874767303467, 4.339774131774902, 4.172048568725586, 4.076267242431641, 5.322201728820801, 4.071682453155518, 3.928123712539673, 5.773396015167236, 4.0470428466796875, 5.432264804840088, 5.21824312210083, 5.834484577178955, 4.1820292472839355]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [11  8]]",0.6821405291557312,106.55555725097656,112.0,"[16.588973999023438, 12.76872730255127, 12.899847984313965, 14.05614185333252, 11.411974906921387, 10.292309761047363, 13.381104469299316, 13.064318656921387, 12.814892768859863, 17.602802276611328, 12.366344451904297, 12.893698692321777, 18.156282424926758, 12.480948448181152, 18.229724884033203, 17.653236389160156, 19.092939376831055, 14.790031433105469]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[48 20]
 [11  8]]",0.548165500164032,97.22222137451172,112.0,"[13.097346305847168, 10.804945945739746, 10.886829376220703, 11.0662260055542, 9.587883949279785, 8.782201766967773, 10.582608222961426, 10.548308372497559, 10.391571998596191, 13.866609573364258, 10.286417961120605, 10.697638511657715, 13.764968872070312, 10.161116600036621, 14.24495792388916, 13.877283096313477, 14.743680953979492, 12.141944885253906]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[61  7]
 [11  8]]",0.6710084080696106,79.33333587646484,84.0,"[15.267566680908203, 12.783796310424805, 12.881369590759277, 11.70411205291748, 10.342546463012695, 9.09695053100586, 10.984642028808594, 11.327147483825684, 11.132147789001465, 16.56614112854004, 11.421003341674805, 12.13290023803711, 15.50404167175293, 10.782249450683594, 16.99444580078125, 16.536800384521484, 17.49679183959961, 14.612915992736816]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[53 15]
 [ 9 10]]",0.6349650621414185,70.77777862548828,84.0,"[12.737584114074707, 10.6425142288208, 10.72238826751709, 9.858362197875977, 8.674701690673828, 7.650237560272217, 9.286327362060547, 9.50007152557373, 9.340927124023438, 13.771025657653809, 9.573566436767578, 10.146775245666504, 13.07237720489502, 9.072382926940918, 14.129952430725098, 13.741782188415527, 14.556386947631836, 12.14029598236084]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[59  9]
 [12  7]]",0.6244604587554932,62.125,70.0,"[13.2300386428833, 11.117965698242188, 11.199935913085938, 10.23334789276123, 9.069252967834473, 7.992124557495117, 9.6368408203125, 9.90115737915039, 9.737001419067383, 14.31900405883789, 9.976423263549805, 10.576066970825195, 9.43542766571045, 14.289617538452148, 15.107988357543945, 12.661301612854004]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[53 15]
 [ 8 11]]",0.6552971601486206,47.25,56.0,"[14.273441314697266, 12.006529808044434, 12.093400001525879, 11.096040725708008, 9.829888343811035, 8.695314407348633, 10.46396541595459, 10.72009563446045, 10.546628952026367, 15.40615463256836, 10.813258171081543, 11.449098587036133, 10.251368522644043, 15.372099876403809, 16.248916625976562, 13.644543647766113]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[58 10]
 [11  8]]",0.639573872089386,40.13333511352539,42.0,"[13.706273078918457, 11.613155364990234, 11.693729400634766, 10.749809265136719, 9.614343643188477, 8.543742179870605, 10.164554595947266, 10.428180694580078, 10.266841888427734, 14.762996673583984, 10.490346908569336, 11.096342086791992, 9.9758939743042, 14.732442855834961, 15.54293441772461]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[53 15]
 [ 8 11]]",0.6552971601486206,33.38461685180664,28.0,"[8.801230430603027, 7.737995147705078, 7.78000545501709, 7.186119079589844, 6.653132438659668, 6.072012901306152, 6.872551918029785, 7.05747127532959, 6.972448348999023, 9.378677368164062, 7.433728218078613, 6.794857978820801, 9.361364364624023]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[66  2]
 [19  0]]",0.4313725531101227,25.454545974731445,28.0,"[10.139891624450684, 9.147004127502441, 8.573700904846191, 8.09151554107666, 7.292272567749023, 8.208917617797852, 8.54333209991455, 8.447001457214355, 8.842569351196289, 8.157795906066895, 10.967616081237793]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[56 12]
 [ 9 10]]",0.6649550795555115,12.600000381469727,0.0,"[11.403867721557617, 10.923250198364258, 9.944403648376465, 8.78292179107666, 10.395662307739258, 10.662606239318848, 10.567997932434082, 11.031148910522461, 10.049328804016113, 13.758188247680664]",2022-11-07T00:00:00.000000000,"['Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[54 14]
 [ 8 11]]",0.6653845906257629,9.333333015441895,14.0,"[9.139812469482422, 7.78806734085083, 8.768596649169922, 9.125600814819336, 9.05905532836914, 8.584358215332031]",2022-11-21T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Romania']"
"[[56 12]
 [10  9]]",0.6429104208946228,0.0,0.0,"[9.149494171142578, 8.048347473144531, 8.856487274169922, 9.006904602050781]",2022-12-05T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Lithuania']"
