CF1,f11,MAE1,MAE2,pred,date,countries
"[[77  4]
 [ 0  6]]",0.8623417615890503,100.80000305175781,98.0,"[10.820008277893066, 5.700469017028809, 10.820008277893066, 9.842707633972168, 8.92265796661377]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,86.80000305175781,84.0,"[3.8300743103027344, 6.207501411437988, 3.830073833465576, 4.14631462097168, 4.474671363830566]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,72.80000305175781,70.0,"[6.828097820281982, 9.855278968811035, 6.828097820281982, 7.32821798324585, 7.833071708679199]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,58.79999923706055,56.0,"[8.242149353027344, 13.328449249267578, 8.242149353027344, 8.99948501586914, 9.757555961608887]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,42.0,28.0,"[8.661813735961914, 15.265296936035156, 8.661813735961914, 9.710491180419922, 10.744620323181152]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[14.676209449768066, 21.580909729003906, 14.676210403442383, 15.688153266906738, 16.681171417236328]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,"[17.71617317199707, 26.101215362548828, 17.716171264648438, 18.622238159179688, 19.485916137695312]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,18.66666603088379,14.0,"[27.044567108154297, 16.201889038085938, 17.542991638183594]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Panama']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[18.218914031982422],2021-03-29T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[13.511632919311523],2021-04-12T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[12.622529029846191],2021-04-26T00:00:00.000000000,['Panama']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.94316565990448], [0.010031662881374359], [0.008602642454206944], [0.012178170494735241], [0.008602642454206944], [0.007126325741410255], [0.009714515879750252], [0.010031662881374359], [0.9410532712936401], [0.007126325741410255], [0.011459323577582836], [0.010031662881374359], [0.5315914750099182], [0.94316565990448], [0.008013134822249413], [0.923467218875885], [0.7778955698013306], [0.007940164767205715], [0.008219125680625439], [0.007298253942281008], [0.010031662881374359], [0.7444702982902527], [0.014728848822414875], [0.010031662881374359], [0.01572486013174057], [0.016236860305070877], [0.014129326678812504], [0.014509298838675022], [0.010031662881374359], [0.008635911159217358], [0.010031662881374359], [0.008602642454206944], [0.010031662881374359], [0.010031662881374359], [0.015081542544066906], [0.010590016841888428], [0.008602642454206944], [0.010031662881374359], [0.011665153317153454], [0.010031662881374359], [0.01431824266910553], [0.008602642454206944], [0.015409084968268871], [0.010031662881374359], [0.013880190439522266], [0.007343744393438101], [0.014204714447259903], [0.010031662881374359], [0.010031662881374359], [0.015710733830928802], [0.006965991575270891], [0.006975672673434019], [0.010031662881374359], [0.010031662881374359], [0.014728856272995472], [0.006965991575270891], [0.8812530636787415], [0.010567856021225452], [0.9293000102043152], [0.007126325741410255], [0.015438136644661427], [0.008602642454206944], [0.01297853235155344], [0.008228572085499763], [0.010031662881374359], [0.008602642454206944], [0.010031662881374359], [0.007940164767205715], [0.009018856100738049], [0.008929557166993618], [0.010031662881374359], [0.010031662881374359], [0.009136172942817211], [0.007126325741410255], [0.5981865525245667], [0.010245990939438343], [0.007857833057641983], [0.006733307149261236], [0.008522839285433292], [0.010031662881374359], [0.011459323577582836], [0.010031662881374359], [0.01297853235155344], [0.016029726713895798], [0.008602638728916645], [0.009136172942817211], [0.00810660608112812]]",2021-05-10T00:00:00.000000000,[]
