CF1,f11,MAE1,MAE2,pred,date,countries
"[[71 11]
 [ 0  6]]",0.7249218821525574,100.80000305175781,98.0,"[-0.374882310628891, -0.229732483625412, -0.4062593877315521, -0.473833292722702, -0.3820568025112152]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[72 10]
 [ 0  6]]",0.7402597665786743,86.80000305175781,84.0,"[-0.7767030000686646, -0.6386812925338745, -0.8065391182899475, -0.8707945942878723, -0.7835251092910767]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  7]
 [ 0  6]]",0.7934964895248413,72.80000305175781,70.0,"[0.42118069529533386, 0.30672210454940796, 0.4459232985973358, 0.49920907616615295, 0.42683833837509155]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  7]
 [ 1  5]]",0.752461314201355,58.79999923706055,56.0,"[0.9154118299484253, 0.7164955139160156, 0.9584118127822876, 1.0510163307189941, 0.9252439737319946]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  7]
 [ 1  5]]",0.752461314201355,44.79999923706055,42.0,"[0.6285682320594788, 0.515038788318634, 0.6531100273132324, 0.7059630751609802, 0.6341798305511475]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  6]
 [ 1  5]]",0.7721050977706909,30.799999237060547,28.0,"[-0.3243904709815979, -0.2288641333580017, -0.34504038095474243, -0.3895123302936554, -0.32911217212677]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 1  5]]",0.793749988079071,16.799999237060547,14.0,"[-0.23622393608093262, -0.16898921132087708, -0.2507580816745758, -0.28205904364585876, -0.23954728245735168]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  5]
 [ 1  5]]",0.793749988079071,14.0,0.0,"[-0.20191645622253418, -0.20024487376213074, -0.20087337493896484]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[76  6]
 [ 1  5]]",0.7721050977706909,28.0,28.0,[0.25018030405044556],2021-03-29T00:00:00.000000000,['Mexico']
"[[76  6]
 [ 1  5]]",0.7721050977706909,14.0,14.0,[-0.3069531321525574],2021-04-12T00:00:00.000000000,['Mexico']
"[[76  6]
 [ 0  6]]",0.8143460154533386,0.0,0.0,[0.4712089002132416],2021-04-26T00:00:00.000000000,['Mexico']
"[[74  8]
 [ 0  6]]",0.7743589878082275,-1,-1,"[[0.0034357113763689995], [0.9482144713401794], [0.3533368408679962], [0.022618724033236504], [0.02796424925327301], [0.009320301003754139], [0.0077240909449756145], [0.02600538358092308], [0.002823478542268276], [0.9128331542015076], [0.005547346547245979], [0.018982529640197754], [0.004982886370271444], [0.6454107165336609], [0.9673252701759338], [0.03621833398938179], [0.9712117910385132], [0.7985022068023682], [0.01611093059182167], [0.020316455513238907], [0.030424831435084343], [0.8371597528457642], [0.9568142890930176], [0.01196229923516512], [0.009646622464060783], [0.02579437382519245], [0.2141047716140747], [0.012348062358796597], [0.07718658447265625], [0.012320163659751415], [0.020814387127757072], [0.023353591561317444], [0.5492585897445679], [0.03259090334177017], [0.016205979511141777], [0.02782069519162178], [0.011202565394341946], [0.020058272406458855], [0.02224029041826725], [0.043426964432001114], [0.07158994674682617], [0.03271566703915596], [0.015645919367671013], [0.018158534541726112], [0.012372516095638275], [0.01549091562628746], [0.016047365963459015], [0.024103835225105286], [0.0072225057519972324], [0.013318290933966637], [0.9372877478599548], [0.006213208194822073], [0.21761754155158997], [0.021811779588460922], [0.01601681113243103], [0.023605696856975555], [0.01567709445953369], [0.960527241230011], [0.005940784700214863], [0.9726712703704834], [0.01754862256348133], [0.024260645732283592], [0.021752063184976578], [0.03150457516312599], [0.022875424474477768], [0.026548244059085846], [0.005351955536752939], [0.004911214113235474], [0.030425788834691048], [0.006844383664429188], [0.01030367985367775], [0.01974915713071823], [0.03171693906188011], [0.5145790576934814], [0.014227821491658688], [0.034812089055776596], [0.026149103417992592], [0.03253081813454628], [0.01918492466211319], [0.03317013382911682], [0.03605934605002403], [0.029690340161323547], [0.7065591812133789], [0.004945429973304272], [0.01936359331011772], [0.035892385989427567], [0.06330979615449905], [0.016680417582392693]]",2021-05-10T00:00:00.000000000,[]
