CF1,f11,MAE1,MAE2,pred,date,countries
"[[53  0]
 [35  0]]",0.3758865296840668,107.80000305175781,119.0,"[-0.03463434427976608, -0.03771114721894264, -0.035403236746788025, -0.029971322044730186, -0.039221301674842834, -0.04174068197607994, -0.03695265203714371, -0.04216259345412254, -0.042642854154109955, -0.037894636392593384, -0.03222937136888504, -0.031553976237773895, -0.01939125917851925, -0.035698261111974716, -0.04264199733734131, -0.032744601368904114, -0.03611040487885475, -0.04378943145275116, -0.043432146310806274, -0.03630794957280159, -0.040498316287994385, -0.04180930182337761, -0.02710815705358982, -0.03441745042800903, -0.03571164235472679, -0.028340552002191544, -0.04114491119980812, -0.039604101330041885, -0.03980342671275139, -0.036638595163822174, -0.02461160346865654, -0.030006157234311104, -0.037588510662317276, -0.03039979562163353, -0.03590260446071625]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[45  8]
 [27  8]]",0.5168627500534058,79.4000015258789,91.0,"[-0.3620908856391907, -0.09506586194038391, -0.19906781613826752, -0.24105069041252136, -0.08296613395214081, -0.049120351672172546, -0.12627515196800232, -0.026428230106830597, -0.29175126552581787, -0.09145253896713257, -0.18558356165885925, -0.19542622566223145, -0.30526939034461975, -0.2968096137046814, -0.03208348900079727, -0.1668117195367813, -0.1668982356786728, -0.018259197473526, -0.03997071087360382, -0.1183621734380722, -0.05781169980764389, -0.04164637625217438, -0.26581305265426636, -0.17342950403690338, -0.20031744241714478, -0.3499665856361389, -0.03286735713481903, -0.07920274138450623, -0.06529507040977478, -0.12069454789161682, -0.31768035888671875, -0.18171986937522888, -0.16724391281604767, -0.1984616369009018, -0.2082013636827469]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[44  9]
 [17 18]]",0.6762874722480774,76.17646789550781,84.0,"[-1.7036607265472412, -2.0251288414001465, -1.2214739322662354, -1.3044564723968506, -2.0196337699890137, -0.9475376009941101, -1.9632899761199951, -1.3927083015441895, -0.9840382933616638, -1.9057621955871582, -2.595552682876587, -2.5163490772247314, -1.932967185974121, -1.476534128189087, -1.66599702835083, -2.31978702545166, -1.4854834079742432, -1.2800190448760986, -1.2246575355529785, -2.3633646965026855, -1.8289484977722168, -1.5169153213500977, -2.157742977142334, -2.136807441711426, -0.9793868660926819, -1.9500226974487305, -1.0275909900665283, -2.21945858001709, -1.7600197792053223, -2.1296069622039795, -2.1523232460021973, -2.3691039085388184, -2.587951183319092, -1.3783535957336426]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[19 34]
 [ 4 31]]",0.5600000023841858,66.81818389892578,77.0,"[-2.593010663986206, -3.1243038177490234, -1.9568917751312256, -2.0564122200012207, -3.115673303604126, -1.5507049560546875, -3.0062763690948486, -2.260754346847534, -1.6010205745697021, -2.9644010066986084, -3.8930301666259766, -3.7849767208099365, -2.2799196243286133, -2.618959426879883, -3.5044338703155518, -2.328256845474243, -2.0681264400482178, -1.9619314670562744, -3.575275421142578, -2.8444175720214844, -2.422590732574463, -3.2724502086639404, -3.2715706825256348, -1.6151649951934814, -2.980045795440674, -1.8119151592254639, -3.366724967956543, -2.7506213188171387, -3.2652676105499268, -3.265838623046875, -3.5857436656951904, -3.883108615875244, -2.164076328277588]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[15 38]
 [ 3 32]]",0.5160295367240906,64.2727279663086,70.0,"[-0.5853608250617981, -0.6927884817123413, -0.4567375183105469, -0.47686058282852173, -0.6910431385040283, -0.37460654973983765, -0.6689231395721436, -0.5181786417961121, -0.38478028774261475, -0.6604560613632202, -0.8482247591018677, -0.826376736164093, -0.5220537185668945, -0.590607762336731, -0.7696506977081299, -0.5318275690078735, -0.4792291522026062, -0.4577566385269165, -0.7839751243591309, -0.6361955404281616, -0.5509020686149597, -0.7227437496185303, -0.7225659489631653, -0.3876403868198395, -0.6636192202568054, -0.42742326855659485, -0.7418063282966614, -0.6172300577163696, -0.7212914228439331, -0.7214069962501526, -0.7860918045043945, -0.8462188243865967, -0.498630166053772]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[14 39]
 [ 2 33]]",0.5113097429275513,56.42424392700195,63.0,"[-0.8472596406936646, -1.0709666013717651, -0.5794140696525574, -0.6213183403015137, -1.0673326253890991, -0.4083845615386963, -1.0212699174880981, -0.7073591947555542, -0.4295703172683716, -1.0036377906799316, -1.3946478366851807, -1.3491511344909668, -0.7154287695884705, -0.8581856489181519, -1.2310250997543335, -0.7357816696166992, -0.6262507438659668, -0.5815361738204956, -1.26085364818573, -0.9531177282333374, -0.7755022644996643, -1.1333457231521606, -1.1329753398895264, -0.43552613258361816, -1.0102252960205078, -0.5183700919151306, -1.1730411052703857, -0.913623571395874, -1.1303213834762573, -1.1305614709854126, -1.2652615308761597, -1.390470266342163, -0.6666515469551086]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[17 36]
 [ 2 33]]",0.5534188151359558,52.28125,56.0,"[0.7841944098472595, 0.9666287899017334, 0.565765380859375, 0.5999385118484497, 0.963665246963501, 0.4262899160385132, 0.9261008501052856, 0.6701052188873291, 0.443567156791687, 0.9117220044136047, 1.230592131614685, 1.1934894323349, 0.6766860485076904, 0.7931047677993774, 1.0971568822860718, 0.6932839751243591, 0.6039609313011169, 0.5674960613250732, 1.121482491493225, 0.8705222606658936, 0.7256761789321899, 1.0174990892410278, 1.0171971321105957, 0.4484241306781769, 0.9170939922332764, 0.5159837603569031, 1.0498710870742798, 0.8383145332336426, 1.0150326490402222, 1.0152288675308228, 1.227185606956482, 0.6369080543518066]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[19 34]
 [ 4 31]]",0.5600000023841858,45.28125,49.0,"[-0.5365488529205322, -0.6290578842163086, -0.3977895677089691, -0.42166951298713684, -0.6274765729904175, -0.3189588487148285, -0.6112624406814575, -0.4470658004283905, -0.32946255803108215, -0.594707727432251, -0.7932091951370239, -0.7704167366027832, -0.4711884558200836, -0.52571040391922, -0.7138519287109375, -0.47376376390457153, -0.4146372079849243, -0.39870575070381165, -0.7263922691345215, -0.5726028680801392, -0.4828089475631714, -0.6672204732894897, -0.6611957550048828, -0.3281240463256836, -0.6074445247650146, -0.3419957756996155, -0.6849801540374756, -0.5527673959732056, -0.6591236591339111, -0.6656607389450073, -0.7910218238830566, -0.44293490052223206]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[16 37]
 [ 3 32]]",0.5299145579338074,43.68965530395508,42.0,"[0.09167571365833282, 0.1229676604270935, 0.04473932087421417, 0.05281689763069153, 0.12243269383907318, 0.01807418465614319, 0.06140737235546112, 0.021627157926559448, 0.11134837567806244, 0.1784932017326355, 0.17078334093093872, 0.06956706941127777, 0.08800956606864929, 0.0704382061958313, 0.05043815076351166, 0.045049212872982025, 0.15589174628257751, 0.10387128591537476, 0.07349777221679688, 0.13587640225887299, 0.13383860886096954, 0.02117440104484558, 0.11565671861171722, 0.02586660534143448, 0.14188380539417267, 0.09716172516345978, 0.13313768804073334, 0.1353488713502884, 0.060010090470314026]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[20 33]
 [ 1 34]]",0.6036036014556885,35.72413635253906,35.0,"[0.17571040987968445, 0.24353846907615662, 0.07397159934043884, 0.09148046374320984, 0.24237897992134094, 0.0161726176738739, 0.1101011335849762, 0.023873984813690186, 0.21835270524024963, 0.3638950288295746, 0.34718331694602966, 0.12778794765472412, 0.16776373982429504, 0.1296761929988861, 0.08632436394691467, 0.07464343309402466, 0.31490442156791687, 0.20214536786079407, 0.13630816340446472, 0.2715193033218384, 0.2671021521091461, 0.02289259433746338, 0.2276914417743683, 0.03306342661380768, 0.2845410406589508, 0.18760183453559875, 0.26558277010917664, 0.27037572860717773, 0.1070723831653595]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
