CF1,f11,MAE1,MAE2,pred,date,countries
"[[40 12]
 [10 26]]",0.7435082197189331,132.8000030517578,140.0,"[-0.4227076470851898, -0.6396291255950928, -0.36055538058280945, -0.6565275192260742, -0.2991522252559662, -0.4676090180873871, -0.5287704467773438, -0.4669298827648163, -0.630448579788208, -0.43961021304130554, -0.6161117553710938, -0.7571225166320801, -0.7786383628845215, -0.3375954329967499, -0.5702002048492432, -0.35441645979881287, -0.5558876991271973, -0.517967700958252, -0.5058081150054932, -0.4020209014415741, -0.49724480509757996, -0.7289326190948486, -0.4159552752971649, -0.595496416091919, -0.5013222694396973, -0.6550755500793457, -0.6851339340209961, -0.5601747035980225, -0.5497128963470459, -0.5722944736480713, -0.7799811363220215, -0.6245231628417969, -0.5022542476654053, -0.7596635818481445, -0.7863419055938721]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[40 12]
 [10 26]]",0.7435082197189331,118.80000305175781,126.0,"[-0.3931552767753601, -0.577039361000061, -0.3404688239097595, -0.5913642644882202, -0.2884174585342407, -0.4312179982662201, -0.4830648601055145, -0.43064242601394653, -0.5692569017410278, -0.40748360753059387, -0.557103157043457, -0.6766383647918701, -0.6948775053024292, -0.32100605964660645, -0.5181839466094971, -0.3352649211883545, -0.5060521364212036, -0.4739072620868683, -0.4635995030403137, -0.37561917304992676, -0.45634034276008606, -0.652741551399231, -0.3874310851097107, -0.539628267288208, -0.45979663729667664, -0.5901333093643188, -0.615613579750061, -0.509685754776001, -0.5008174180984497, -0.5199594497680664, -0.6960153579711914, -0.5642346143722534, -0.46058711409568787, -0.6787922382354736, -0.7014075517654419]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[32 20]
 [ 6 30]]",0.7043927907943726,104.80000305175781,112.0,"[0.9071663618087769, 1.1970710754394531, 0.8241031169891357, 1.2196547985076904, 0.7420409917831421, 0.9671745300292969, 1.0489143133163452, 0.9662671089172363, 1.1848012208938599, 0.9297559261322021, 1.165640115737915, 1.354094386100769, 1.3828493356704712, 0.7934187650680542, 1.1042815446853638, 0.8158987760543823, 1.0851548910140991, 1.0344767570495605, 1.0182260274887085, 0.8795195817947388, 1.0067814588546753, 1.3164199590682983, 0.8981419801712036, 1.138089656829834, 1.012230634689331, 1.2177140712738037, 1.2578850984573364, 1.090883731842041, 1.0769022703170776, 1.1070809364318848, 1.3846436738967896, 1.176883339881897, 1.0134766101837158, 1.3574901819229126, 1.3931444883346558]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 27]
 [ 1 35]]",0.6776556968688965,90.80000305175781,98.0,"[4.5224199295043945, 6.581632614135742, 3.932415246963501, 6.7420454025268555, 3.349522352218628, 4.9486613273620605, 5.529264450073242, 4.942216873168945, 6.494479656219482, 4.68287467956543, 6.358375549316406, 7.6969804763793945, 7.901228904724121, 3.7144627571105957, 5.922541618347168, 3.8741400241851807, 5.786684036254883, 5.426713943481445, 5.31128454208374, 4.326043128967285, 5.229992389678955, 7.429376125335693, 4.458317756652832, 6.162684440612793, 5.268698215484619, 6.728261470794678, 7.013598918914795, 5.827376365661621, 5.728065490722656, 5.942426681518555, 7.913972854614258, 6.438237190246582, 5.277548789978027, 7.721100807189941, 7.974355697631836]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 25]
 [ 2 34]]",0.6912280917167664,79.47058868408203,84.0,"[-2.409153938293457, -3.5210084915161133, -2.0658679008483887, -3.615926742553711, -1.833763599395752, -2.675388813018799, -2.95811128616333, -2.6809282302856445, -3.477120876312256, -2.551453113555908, -3.4038424491882324, -4.0765061378479, -4.180378437042236, -2.02469539642334, -3.1030993461608887, -2.07240629196167, -3.098886489868164, -2.89823579788208, -2.8708229064941406, -2.364882469177246, -2.7317824363708496, -3.9612889289855957, -2.3494815826416016, -3.319064140319824, -2.8517112731933594, -3.529439926147461, -3.728496551513672, -3.0598692893981934, -3.0440988540649414, -3.195794105529785, -3.4441823959350586, -2.8450961112976074, -4.055880069732666, -4.211604595184326]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 25]
 [ 1 35]]",0.7020833492279053,65.47058868408203,70.0,"[-1.9852759838104248, -2.982107162475586, -1.6775037050247192, -3.0672061443328857, -1.4694113731384277, -2.223968744277954, -2.477442502975464, -2.2289350032806396, -2.9427602291107178, -2.112854480743408, -2.877063035964966, -3.480137825012207, -3.5732643604278564, -1.640591025352478, -2.6074321269989014, -1.6833657026290894, -2.603654623031616, -2.4237618446350098, -2.3991847038269043, -1.945584774017334, -2.2745282649993896, -3.376840114593506, -1.9317772388458252, -2.8010549545288086, -2.3820502758026123, -2.989666700363159, -3.16813063621521, -2.568673849105835, -2.554534673690796, -2.6905367374420166, -2.913228750228882, -2.376119613647461, -3.4616448879241943, -3.60125994682312]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 28]
 [ 1 35]]",0.6652236580848694,51.47058868408203,56.0,"[0.2869194746017456, 0.3519366979598999, 0.26444369554519653, 0.35686159133911133, 0.24773883819580078, 0.2987220287322998, 0.3193533718585968, 0.2984393239021301, 0.348959743976593, 0.28983476758003235, 0.34478697180747986, 0.38847342133522034, 0.39500170946121216, 0.2566101551055908, 0.33221307396888733, 0.26535630226135254, 0.32595616579055786, 0.3151118755340576, 0.3103821575641632, 0.2780229151248932, 0.3090559244155884, 0.37966227531433105, 0.28154468536376953, 0.3378405272960663, 0.308634489774704, 0.35647785663604736, 0.36639082431793213, 0.32901322841644287, 0.3249387741088867, 0.33161622285842896, 0.3490718901157379, 0.30935296416282654, 0.38883212208747864, 0.3972627818584442]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 28]
 [ 1 35]]",0.6652236580848694,40.6875,42.0,"[-1.3980615139007568, -0.794806182384491, -1.4320182800292969, -0.6796278953552246, -1.0311520099639893, -1.1734025478363037, -1.0292024612426758, -1.3775355815887451, -0.9698750376701355, -1.3487651348114014, -1.6499791145324707, -1.694990634918213, -0.740794837474823, -1.2620689868927002, -0.8010984063148499, -1.218928337097168, -1.144157886505127, -1.1115477085113525, -0.8884337544441223, -1.102402925491333, -1.589226484298706, -0.912715494632721, -1.3008697032928467, -1.0994975566864014, -1.4293725490570068, -1.4977209568023682, -1.2119133472442627, -1.257953405380249, -1.3783090114593506, -1.1044514179229736, -1.6524510383605957, -1.7105801105499268]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 27]
 [ 1 35]]",0.6776556968688965,26.645160675048828,28.0,"[-0.5561212301254272, -0.3771815299987793, -0.5661935806274414, -0.3430168926715851, -0.44728726148605347, -0.48948219418525696, -0.4467089772224426, -0.5500328540802002, -0.4291110932826996, -0.5414988398551941, -0.6308459043502808, -0.6441973447799683, -0.3611605167388916, -0.5157827138900757, -0.3790479600429535, -0.5029861927032471, -0.48080748319625854, -0.4711344242095947, -0.40495365858078003, -0.4684220552444458, -0.6128252744674683, -0.4121561646461487, -0.5272918939590454, -0.46756014227867126, -0.5654088258743286, -0.5009053945541382, -0.5145620107650757, -0.5502620935440063, -0.4690295457839966, -0.6315792798995972, -0.6488215923309326]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 27]
 [ 1 35]]",0.6776556968688965,15.931034088134766,14.0,"[-1.801777958869934, -1.0371986627578735, -1.8448153734207153, -0.891218900680542, -1.336748480796814, -1.5170403718948364, -1.3342777490615845, -1.7757631540298462, -1.2590848207473755, -1.739298701286316, -2.1210641860961914, -2.178112030029297, -0.9687436819076538, -1.6294182538986206, -1.5747405290603638, -1.4799748659133911, -1.4386438131332397, -1.1558643579483032, -1.427053689956665, -2.044064521789551, -1.1866395473480225, -1.678594708442688, -1.4233710765838623, -1.8414617776870728, -1.5658496618270874, -1.6242022514343262, -1.7767430543899536, -1.429650068283081, -2.124197006225586]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
