CF1,f11,MAE1,MAE2,pred,date,countries
"[[43 26]
 [10  9]]",0.5191256999969482,120.10526275634766,140.0,"[0.18256233632564545, 0.1812605857849121, 0.18145237863063812, 0.18095998466014862, 0.18085062503814697, 0.1805332452058792, 0.18629063665866852, 0.1806037425994873, 0.18093712627887726, 0.18071171641349792, 0.18452712893486023, 0.1828937530517578, 0.18159164488315582, 0.18440315127372742, 0.1809774786233902, 0.18410173058509827, 0.1836126744747162, 0.1850137859582901, 0.18225213885307312]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[47 22]
 [ 8 11]]",0.5905707478523254,112.77777862548828,126.0,"[0.6928752660751343, 0.5164167881011963, 0.5231783390045166, 0.4480035603046417, 0.3470740020275116, 0.2613770365715027, 0.39820969104766846, 0.4170171916484833, 0.40354230999946594, 0.781012773513794, 0.42475131154060364, 0.47306719422340393, 0.712365984916687, 0.38077160716056824, 0.8111007213592529, 0.778365969657898, 0.846616268157959, 0.6438926458358765]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[52 17]
 [ 8 11]]",0.6371433138847351,98.77777862548828,112.0,"[-0.009206384420394897, -0.016526997089385986, -0.016246438026428223, -0.019365251064300537, -0.023552291095256805, -0.02710764855146408, -0.02143094688653946, -0.020650610327720642, -0.021209724247455597, -0.005549833178520203, -0.020329900085926056, -0.018325477838516235, -0.00839763879776001, -0.02215435355901718, -0.004301637411117554, -0.005659714341163635, -0.0028283298015594482, -0.011238545179367065]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[60  9]
 [ 7 12]]",0.7411764860153198,84.77777862548828,98.0,"[0.19704994559288025, 0.11512696743011475, 0.11826619505882263, 0.08336541056632996, 0.03650772571563721, -0.003278106451034546, 0.06024804711341858, 0.06897963583469391, 0.06272375583648682, 0.2379688322544098, 0.07257027924060822, 0.09500148892402649, 0.2060987651348114, 0.05215217173099518, 0.25193753838539124, 0.2367400825023651, 0.26842617988586426, 0.17430919408798218]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  7]
 [ 8 11]]",0.7433404922485352,70.77777862548828,84.0,"[-0.7339816093444824, -0.6174315214157104, -0.6218975782394409, -0.5722448825836182, -0.5055813789367676, -0.44897887110710144, -0.5393562316894531, -0.5517785549163818, -0.5428783893585205, -0.7921961545944214, -0.5568867921829224, -0.5887992978096008, -0.7468552589416504, -0.5278384685516357, -0.8120691776275635, -0.7904479503631592, -0.8355269432067871, -0.7016288042068481]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[60  9]
 [ 8 11]]",0.7200074791908264,64.75,70.0,"[0.13795244693756104, 0.11555370688438416, 0.11641210317611694, 0.10686972737312317, 0.09405829012393951, 0.08318035304546356, 0.10054922103881836, 0.1029365062713623, 0.10122603178024292, 0.14914005994796753, 0.10391828417778015, 0.11005115509033203, 0.09833577275276184, 0.14880406856536865, 0.15746790170669556, 0.13173484802246094]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  7]
 [ 8 11]]",0.7433404922485352,50.75,56.0,"[0.9387884140014648, 0.7414916753768921, 0.7490518093109131, 0.6649996042251587, 0.552151083946228, 0.45633411407470703, 0.6093252897262573, 0.6303538084030151, 0.6152878999710083, 1.0373340845108032, 0.6390013694763184, 0.6930229663848877, 0.5898280143737793, 1.0343748331069946, 1.110684871673584, 0.8840212821960449]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[61  8]
 [ 8 11]]",0.7315026521682739,41.06666564941406,42.0,"[-0.994074285030365, -0.7466902136802673, -0.7561696767807007, -0.6507792472839355, -0.5092821717262268, -0.38914036750793457, -0.5809711813926697, -0.6073382496833801, -0.5884472727775574, -1.1176378726959229, -0.6181808710098267, -0.6859168410301208, -0.5565240383148193, -1.1139271259307861, -1.2096097469329834]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[60  9]
 [ 8 11]]",0.7200074791908264,33.38461685180664,28.0,"[-1.0944900512695312, -0.8759207129478455, -0.8842958807945251, -0.7911812663078308, -0.666165292263031, -0.5600172281265259, -0.7295041084289551, -0.752799928188324, -0.7361094951629639, -1.2036612033843994, -0.8222259879112244, -0.7079045176506042, -1.2003827095031738]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[62  7]
 [ 8 11]]",0.7433404922485352,25.454545974731445,28.0,"[0.37844350934028625, 0.27348029613494873, 0.24605852365493774, 0.179132878780365, 0.11786866188049316, 0.21371665596961975, 0.22594767808914185, 0.21744826436042786, 0.2517029941082001, 0.1994820237159729, 0.4390988349914551]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
