CF1,f11,MAE1,MAE2,pred,date,countries
"[[73  8]
 [ 1  5]]",0.7341256141662598,100.80000305175781,98.0,"[3.7776877880096436, 3.5898663997650146, 3.917259693145752, 4.252106189727783, 3.9092164039611816]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[74  7]
 [ 1  5]]",0.752136766910553,86.80000305175781,84.0,"[5.59828519821167, 5.597057819366455, 5.796972274780273, 6.261796474456787, 5.79609489440918]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 1  5]]",0.7718246579170227,72.80000305175781,70.0,"[8.774396896362305, 7.988133430480957, 9.118432998657227, 9.871903419494629, 8.864351272583008]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,58.79999923706055,56.0,"[8.789346694946289, 8.324027061462402, 9.081741333007812, 9.72574234008789, 8.82673454284668]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,44.79999923706055,42.0,"[10.18842887878418, 8.886514663696289, 10.545047760009766, 11.315120697021484, 10.225669860839844]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[80  1]
 [ 5  1]]",0.6069276928901672,19.600000381469727,14.0,"[14.702054023742676, 10.917585372924805, 15.298673629760742, 16.570453643798828, 14.661299705505371]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,16.799999237060547,14.0,"[16.293209075927734, 11.462318420410156, 16.91049575805664, 18.254806518554688, 16.064834594726562]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,14.0,14.0,"[11.021665573120117, 19.043804168701172, 16.618831634521484]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[15.689652442932129],2021-03-29T00:00:00.000000000,['Mexico']
"[[78  3]
 [ 0  6]]",0.8905660510063171,0.0,0.0,[22.083463668823242],2021-04-12T00:00:00.000000000,['Mexico']
"[[78  3]
 [ 0  6]]",0.8905660510063171,14.0,14.0,[14.323080062866211],2021-04-26T00:00:00.000000000,['Mexico']
"[[80  1]
 [ 2  4]]",0.8544338941574097,-1,-1,"[[0.4219323396682739], [0.2212207317352295], [0.03612678125500679], [0.0436389334499836], [0.03985470160841942], [0.032846949994564056], [0.02266506850719452], [0.00947563350200653], [0.5371646881103516], [0.03508007153868675], [0.08628080040216446], [0.03766612336039543], [0.724189281463623], [0.44274064898490906], [0.04450400546193123], [0.5133470892906189], [0.2973414957523346], [0.06404167413711548], [0.04418746009469032], [0.05486374720931053], [0.4790682792663574], [0.36591872572898865], [0.04351983219385147], [0.04329133406281471], [0.05556520074605942], [0.036010850220918655], [0.07138318568468094], [0.022284580394625664], [0.04114479199051857], [0.037444889545440674], [0.11534375697374344], [0.21526047587394714], [0.02850230596959591], [0.08651920408010483], [0.051852840930223465], [0.030927810817956924], [0.0449732206761837], [0.06819922477006912], [0.02881654165685177], [0.1628112643957138], [0.09051919728517532], [0.011385364457964897], [0.058341480791568756], [0.04073549062013626], [0.05115116015076637], [0.07507399469614029], [0.026784565299749374], [0.04038147255778313], [0.044605106115341187], [0.5160244703292847], [0.038390256464481354], [0.05469384789466858], [0.06943181157112122], [0.036920271813869476], [0.042670268565416336], [0.037106096744537354], [0.5665165185928345], [0.02339702658355236], [0.439060777425766], [0.03054407797753811], [0.04744764789938927], [0.07068163901567459], [0.035338494926691055], [0.10345567017793655], [0.025105206295847893], [0.02199980430305004], [0.02106519043445587], [0.03389200568199158], [0.053397197276353836], [0.08261478692293167], [0.01703265868127346], [0.045902129262685776], [0.07102405279874802], [0.02265467308461666], [0.15823200345039368], [0.07221438735723495], [0.05683302879333496], [0.0658521056175232], [0.03430426865816116], [0.18364766240119934], [0.013781902380287647], [0.25000596046447754], [0.022055083885788918], [0.057462938129901886], [0.01609928533434868], [0.022572293877601624], [0.060268253087997437]]",2021-05-10T00:00:00.000000000,[]
