CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[-0.26107025146484375, -0.2533467411994934, -0.24164481461048126, -0.28125113248825073, -0.2457769811153412, -0.19381922483444214, -0.2621504068374634, -0.21306514739990234, -0.198752760887146, -0.24863216280937195, -0.2996843755245209, -0.3010866045951843, -0.3662017583847046, -0.24509751796722412, -0.21819967031478882, -0.2881404757499695, -0.2382219284772873, -0.1989763230085373, -0.20723770558834076, -0.2769625186920166, -0.23268039524555206, -0.21961088478565216, -0.31622469425201416, -0.2756415605545044, -0.24058715999126434, -0.30347394943237305, -0.20614668726921082, -0.253303587436676, -0.2342226207256317, -0.2609402537345886, -0.33391764760017395, -0.3028106689453125, -0.26948997378349304, -0.30812782049179077, -0.2421056032180786]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[52  0]
 [35  0]]",0.3741007149219513,79.4000015258789,91.0,"[-1.0245249271392822, -0.5024877786636353, -0.6656327247619629, -0.7554062008857727, -0.47711610794067383, -0.3348475694656372, -0.572233259677887, -0.32532963156700134, -0.8329507112503052, -0.49059176445007324, -0.7079459428787231, -0.7258281707763672, -0.9157031774520874, -0.8810432553291321, -0.34475043416023254, -0.6558432579040527, -0.6192947030067444, -0.3005073666572571, -0.3657633364200592, -0.5751579999923706, -0.41307854652404785, -0.3716655373573303, -0.8503043055534363, -0.6662126183509827, -0.6534228920936584, -1.0104339122772217, -0.33142685890197754, -0.48245179653167725, -0.42919254302978516, -0.5587865114212036, -0.9537356495857239, -0.6901299357414246, -0.6657571792602539, -0.731491208076477, -0.715112030506134]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 8 44]
 [ 0 35]]",0.44035089015960693,76.17646789550781,84.0,"[-2.1467795372009277, -2.5121960639953613, -1.5702564716339111, -1.6677184104919434, -2.5075442790985107, -1.2223286628723145, -2.4695117473602295, -1.791839838027954, -1.321129560470581, -2.376763343811035, -3.164015293121338, -3.078303098678589, -2.3977651596069336, -1.872563123703003, -2.1028404235839844, -2.848801851272583, -1.8895206451416016, -1.654646396636963, -1.628565788269043, -2.9223597049713135, -2.2810938358306885, -1.9435887336730957, -2.6646578311920166, -2.649134397506714, -1.2975146770477295, -2.4283249378204346, -1.3812603950500488, -2.747997283935547, -2.2080612182617188, -2.6308648586273193, -2.6553943157196045, -2.905565023422241, -3.1548705101013184, -1.7747666835784912]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[10 42]
 [ 1 34]]",0.46503645181655884,66.81818389892578,77.0,"[-2.1420230865478516, -2.5772805213928223, -1.5907719135284424, -1.6752448081970215, -2.5694730281829834, -1.2124230861663818, -2.508884906768799, -1.8641877174377441, -1.3189465999603271, -2.4447906017303467, -3.2142961025238037, -3.1280934810638428, -1.8691256046295166, -2.161076307296753, -2.893003225326538, -1.903956651687622, -1.6984381675720215, -1.6493380069732666, -2.973215341567993, -2.3399856090545654, -2.007535219192505, -2.700124740600586, -2.707120656967163, -1.306452989578247, -2.4600255489349365, -1.4931190013885498, -2.7935404777526855, -2.2674319744110107, -2.6921939849853516, -2.6924567222595215, -2.9574172496795654, -3.2040772438049316, -1.7863900661468506]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[17 35]
 [ 3 32]]",0.5498365759849548,64.2727279663086,70.0,"[-2.1468536853790283, -2.5796597003936768, -1.593045949935913, -1.6776361465454102, -2.5718765258789062, -1.2129428386688232, -2.5113468170166016, -1.8652675151824951, -1.3212106227874756, -2.446824073791504, -3.217573642730713, -3.1317830085754395, -1.8742752075195312, -2.1625890731811523, -2.8958752155303955, -1.9069068431854248, -1.6995697021484375, -1.6504995822906494, -2.976193428039551, -2.3416030406951904, -2.0093600749969482, -2.704610586166382, -2.71018385887146, -1.3081045150756836, -2.4649293422698975, -1.4940567016601562, -2.79567813873291, -2.2689669132232666, -2.694622755050659, -2.69716739654541, -2.9612009525299072, -3.207608699798584, -1.790626049041748]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[11 41]
 [ 3 32]]",0.46296295523643494,56.42424392700195,63.0,"[-2.1508631706237793, -2.578840970993042, -1.5927045345306396, -1.6789941787719727, -2.5703322887420654, -1.2109556198120117, -2.5113790035247803, -1.8641331195831299, -1.3223669528961182, -2.4464712142944336, -3.2163851261138916, -3.1300783157348633, -1.8796896934509277, -2.161135673522949, -2.894665479660034, -1.9044630527496338, -1.6978654861450195, -1.64961576461792, -2.974832057952881, -2.3404438495635986, -2.007101058959961, -2.704728126525879, -2.709477186203003, -1.3065712451934814, -2.4675064086914062, -1.493152141571045, -2.79422664642334, -2.268040180206299, -2.6933352947235107, -2.699204683303833, -2.959407329559326, -3.206265687942505, -1.794327735900879]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[15 37]
 [ 3 32]]",0.5219780206680298,52.28125,56.0,"[-2.1488845348358154, -2.5774295330047607, -1.5930640697479248, -1.6780674457550049, -2.5695698261260986, -1.2105457782745361, -2.51098370552063, -1.863111972808838, -1.3221697807312012, -2.445211172103882, -3.2150490283966064, -3.1280674934387207, -1.878157138824463, -2.1607627868652344, -2.893730401992798, -1.9027807712554932, -1.6982979774475098, -1.6496403217315674, -2.9746270179748535, -2.3395745754241943, -2.007868528366089, -2.704622983932495, -2.705981969833374, -1.2986459732055664, -2.4663021564483643, -1.491976261138916, -2.794672727584839, -2.267157793045044, -2.692657709121704, -2.6976380348205566, -3.2057807445526123, -1.7925958633422852]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[20 32]
 [ 4 31]]",0.5794844031333923,45.28125,49.0,"[-2.1500041484832764, -2.511200189590454, -1.5721986293792725, -1.6686389446258545, -2.5043814182281494, -1.2113778591156006, -2.470616102218628, -1.7907509803771973, -1.3227629661560059, -2.3758609294891357, -3.1624197959899902, -3.0753612518310547, -1.878896951675415, -2.101898431777954, -2.8471639156341553, -1.8776352405548096, -1.6536157131195068, -1.6283752918243408, -2.92069673538208, -2.2803518772125244, -1.942469596862793, -2.6652474403381348, -2.6456491947174072, -1.2856855392456055, -2.431781530380249, -1.3796868324279785, -2.7470998764038086, -2.2071502208709717, -2.6290090084075928, -2.6577911376953125, -3.153409242630005, -1.7790181636810303]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[26 26]
 [ 5 30]]",0.6429233551025391,43.68965530395508,42.0,"[-2.1530823707580566, -2.51371169090271, -1.573713779449463, -1.6699655055999756, -2.506430149078369, -1.2113778591156006, -1.792686939239502, -1.3245232105255127, -2.378023624420166, -3.164966106414795, -3.0779473781585693, -1.882350206375122, -2.1040844917297363, -1.8787059783935547, -1.6552457809448242, -1.6293628215789795, -2.9230053424835205, -2.2822773456573486, -1.94455885887146, -2.668018341064453, -2.6479647159576416, -1.2861826419830322, -2.435272216796875, -1.3812406063079834, -2.749211072921753, -2.2092814445495605, -2.631385087966919, -2.66111159324646, -1.7820472717285156]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[15 37]
 [ 4 31]]",0.5122385025024414,35.72413635253906,35.0,"[-2.153212785720825, -2.510596752166748, -1.5730674266815186, -1.6697134971618652, -2.5032081604003906, -1.2113778591156006, -1.789701223373413, -1.324399709701538, -2.3752756118774414, -3.1619083881378174, -3.0742781162261963, -1.88262939453125, -2.100987195968628, -1.8763329982757568, -1.6531274318695068, -1.6281981468200684, -2.9194931983947754, -2.2791011333465576, -1.9409072399139404, -2.665494680404663, -2.644913911819458, -1.2855563163757324, -2.434291124343872, -1.3787992000579834, -2.7456257343292236, -2.2061352729797363, -2.628485918045044, -2.659579038619995, -1.7815144062042236]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
