CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,122.80000305175781,126.0,"[13.204129219055176, 18.19668960571289, 11.216168403625488, 18.53907012939453, 9.009821891784668, 13.842785835266113, 15.99174690246582, 13.785611152648926, 17.93250274658203, 13.101960182189941, 17.571304321289062, 21.376502990722656, 21.77629852294922, 10.512389183044434, 16.791763305664062, 11.357008934020996, 16.099712371826172, 14.810399055480957, 14.77433967590332, 12.159479141235352, 14.877548217773438, 20.72442626953125, 12.619242668151855, 17.027847290039062, 14.71689510345459, 18.69013214111328, 19.38549041748047, 16.46683120727539, 15.735154151916504, 16.439029693603516, 21.60324478149414, 18.447261810302734, 14.697172164916992, 21.231834411621094, 21.978933334350586]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 49]
 [ 0 36]]",0.33525651693344116,105.5999984741211,112.0,"[16.864107131958008, 23.068246841430664, 14.527589797973633, 23.53797721862793, 11.903730392456055, 17.724637985229492, 20.20927619934082, 17.65187644958496, 22.753738403320312, 16.80255889892578, 22.305715560913086, 26.91371726989746, 27.44121551513672, 13.667449951171875, 21.310518264770508, 14.638195037841797, 20.493070602416992, 19.02308464050293, 18.862817764282227, 15.658140182495117, 18.984296798706055, 26.102506637573242, 16.239898681640625, 21.639177322387695, 18.787527084350586, 23.708650588989258, 24.50678825378418, 20.9327449798584, 20.132476806640625, 20.9190731048584, 27.33261489868164, 23.196138381958008, 18.77110481262207, 26.850866317749023, 27.70758819580078]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,92.4000015258789,98.0,"[15.924534797668457, 21.41890525817871, 13.849170684814453, 21.822500228881836, 11.658515930175781, 16.751081466674805, 18.93579864501953, 16.685213088989258, 21.140174865722656, 15.939750671386719, 20.748849868774414, 24.7762393951416, 25.24675941467285, 13.2005033493042, 19.792673110961914, 13.95223617553711, 19.166994094848633, 17.8724422454834, 17.74995231628418, 14.945852279663086, 17.743024826049805, 24.127696990966797, 15.363628387451172, 20.176881790161133, 17.692947387695312, 21.89619255065918, 22.685468673706055, 19.445096969604492, 18.854747772216797, 19.54305076599121, 25.09151268005371, 21.555248260498047, 17.6658878326416, 24.66166877746582, 25.456863403320312]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 4 47]
 [ 0 36]]",0.3752482831478119,65.19999694824219,70.0,"[28.022672653198242, 39.26822280883789, 24.81005859375, 40.094749450683594, 21.450716018676758, 30.40043067932129, 33.516849517822266, 30.352272033691406, 38.79622268676758, 28.93166160583496, 38.059391021728516, 45.27157211303711, 46.383113861083984, 23.629812240600586, 35.65159606933594, 24.49299430847168, 34.96541976928711, 32.834842681884766, 32.360294342041016, 26.99140739440918, 31.857471466064453, 43.83933639526367, 27.68389320373535, 36.99204635620117, 32.137821197509766, 40.03236770629883, 41.594642639160156, 35.13565444946289, 34.503597259521484, 35.79914093017578, 46.44270706176758, 38.429718017578125, 32.18157958984375, 45.38221740722656, 46.76632308959961]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 46]
 [ 0 36]]",0.3943704664707184,47.35293960571289,56.0,"[31.67743682861328, 45.75096893310547, 28.098308563232422, 46.881263732910156, 25.774124145507812, 35.649688720703125, 38.144065856933594, 35.7629280090332, 45.27881622314453, 34.19443130493164, 44.41496658325195, 51.96567916870117, 53.38517761230469, 27.70313835144043, 40.19700622558594, 27.791799545288086, 40.7103157043457, 38.32685089111328, 38.02995300292969, 31.92317771911621, 35.766056060791016, 50.57164764404297, 31.51318359375, 43.4145622253418, 37.7215576171875, 45.60158920288086, 48.12226104736328, 39.78757095336914, 39.97050476074219, 41.96293640136719, 43.88922882080078, 37.70844268798828, 51.913665771484375, 53.712589263916016]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[11 40]
 [ 0 36]]",0.49884793162345886,33.764705657958984,42.0,"[32.00571823120117, 47.67679214477539, 29.46206283569336, 48.92097091674805, 28.570236206054688, 37.494964599609375, 38.38766098022461, 37.73151779174805, 47.29680252075195, 36.12868118286133, 46.42977523803711, 53.29130172729492, 55.051021575927734, 29.159677505493164, 40.99873733520508, 28.359882354736328, 42.54286575317383, 40.627872467041016, 40.00492477416992, 33.7373161315918, 36.62389373779297, 51.868812561035156, 32.92295837402344, 45.4790153503418, 39.47344970703125, 47.04441833496094, 49.93583297729492, 40.78556442260742, 41.98959732055664, 44.030460357666016, 44.19890213012695, 39.62041091918945, 53.597991943359375, 55.287269592285156]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,22.647058486938477,28.0,"[32.10887908935547, 46.719539642333984, 30.42206573486328, 47.7506217956543, 30.356563568115234, 37.25544357299805, 37.6641960144043, 37.429317474365234, 46.383995056152344, 35.84139633178711, 45.691463470458984, 51.93893814086914, 53.78357696533203, 29.082500457763672, 41.20224380493164, 28.804931640625, 42.05332565307617, 41.195308685302734, 39.55830383300781, 33.479637145996094, 37.24294662475586, 50.30210494995117, 33.47412872314453, 44.48994445800781, 38.7520637512207, 46.73143768310547, 49.0759162902832, 41.03034591674805, 42.36008071899414, 43.512176513671875, 42.95404815673828, 39.30629348754883, 52.81289291381836, 53.98654556274414]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[17 34]
 [ 0 36]]",0.5896226167678833,14.875,14.0,"[63.9696159362793, 41.17743682861328, 65.35528564453125, 40.76853561401367, 50.7479248046875, 51.207096099853516, 50.99909591674805, 63.504947662353516, 48.78984451293945, 62.527862548828125, 71.109619140625, 73.68588256835938, 39.24778747558594, 56.26864242553711, 39.104244232177734, 57.40056610107422, 55.80588912963867, 53.981483459472656, 45.49528884887695, 50.744781494140625, 68.79206848144531, 45.38417053222656, 60.85898208618164, 52.78324890136719, 63.860374450683594, 67.18787384033203, 57.448974609375, 59.46308135986328, 58.541622161865234, 53.60517120361328, 72.31873321533203, 74.00997924804688]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[13 38]
 [ 0 36]]",0.5303977131843567,12.193548202514648,14.0,"[39.6214599609375, 26.088069915771484, 40.41446304321289, 27.902881622314453, 32.292816162109375, 30.896026611328125, 32.61790466308594, 39.501739501953125, 31.364643096923828, 38.9881706237793, 42.91728973388672, 44.490638732910156, 25.22949981689453, 33.71010208129883, 23.97076416015625, 35.81847381591797, 35.15035629272461, 34.25822448730469, 29.348155975341797, 30.701290130615234, 41.69744110107422, 28.464174270629883, 38.103904724121094, 33.159271240234375, 38.567874908447266, 35.6430549621582, 37.393287658691406, 35.091941833496094, 33.950958251953125, 43.39162826538086, 44.51713943481445]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[15 36]
 [ 0 36]]",0.560606062412262,14.965517044067383,14.0,"[42.54419708251953, 28.367300033569336, 43.41306686401367, 31.564584732055664, 34.96403121948242, 32.328304290771484, 35.35902404785156, 42.54771423339844, 34.001461029052734, 41.99113082885742, 45.53391647338867, 47.50102233886719, 27.95298194885254, 35.895263671875, 38.568294525146484, 38.42500305175781, 36.9587516784668, 32.028663635253906, 32.669578552246094, 44.162357330322266, 30.806087493896484, 41.095245361328125, 35.890201568603516, 41.24923324584961, 38.79933547973633, 40.38657760620117, 36.733177185058594, 36.64274597167969, 46.373775482177734]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
