CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[6.592315196990967, 4.503544807434082, 4.520673751831055, 4.77134895324707, 3.761176109313965, 3.6092944145202637, 6.009941577911377, 4.655594348907471, 4.375461101531982, 4.219182968139648, 6.540395259857178, 4.65380334854126, 4.927917957305908, 6.98346471786499, 4.33782434463501, 6.838420391082764, 6.628185272216797, 7.015324115753174, 5.313095569610596]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 1 18]]",0.5224260091781616,108.88888549804688,112.0,"[13.81142807006836, 11.020151138305664, 11.119718551635742, 10.272298812866211, 8.748331069946289, 7.665135860443115, 9.630550384521484, 9.774789810180664, 9.560479164123535, 14.905662536621094, 9.96823787689209, 10.64145278930664, 14.212384223937988, 9.333642959594727, 15.351530075073242, 14.875770568847656, 15.850370407104492, 12.830581665039062]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[30 38]
 [ 2 17]]",0.5297297239303589,94.11111450195312,98.0,"[14.584601402282715, 12.010295867919922, 12.107669830322266, 11.046966552734375, 9.628520965576172, 8.460168838500977, 10.367817878723145, 10.612485885620117, 10.411417961120605, 15.795478820800781, 10.779775619506836, 11.464561462402344, 14.843732833862305, 10.129606246948242, 16.221277236938477, 15.757377624511719, 16.714508056640625, 13.818106651306152]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 1 18]]",0.5224260091781616,84.0,98.0,"[12.64924430847168, 10.53219985961914, 10.610113143920898, 9.729869842529297, 8.568258285522461, 7.620487689971924, 9.17576789855957, 9.371012687683105, 9.20520305633545, 13.624567031860352, 9.528285026550293, 10.096542358398438, 12.832717895507812, 8.983288764953613, 13.979768753051758, 13.599678039550781, 14.374397277832031, 12.013522148132324]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 1 18]]",0.5224260091781616,68.44444274902344,70.0,"[15.176373481750488, 12.588812828063965, 12.684958457946777, 11.602875709533691, 10.171616554260254, 8.990294456481934, 10.911893844604492, 11.162772178649902, 10.962034225463867, 16.39162254333496, 11.336445808410645, 12.032683372497559, 15.395502090454102, 10.676432609558105, 16.827491760253906, 16.358747482299805, 17.318984985351562, 14.412481307983398]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[28 40]
 [ 2 17]]",0.5093985199928284,60.375,70.0,"[15.749244689941406, 13.078388214111328, 13.178058624267578, 12.072381973266602, 10.582555770874023, 9.352313995361328, 11.352656364440918, 11.611278533935547, 11.405357360839844, 17.02797508239746, 11.769346237182617, 12.49249267578125, 11.102428436279297, 16.99004364013672, 17.997343063354492, 14.964072227478027]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[41 27]
 [ 8 11]]",0.5434098243713379,48.125,56.0,"[13.931334495544434, 11.81078815460205, 11.887412071228027, 11.003532409667969, 9.82138442993164, 8.84123706817627, 10.429056167602539, 10.64065933227539, 10.47639274597168, 14.946958541870117, 10.769647598266602, 11.33360767364502, 10.237204551696777, 14.914203643798828, 15.712567329406738, 13.312719345092773]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[41 27]
 [ 6 13]]",0.5768607258796692,39.20000076293945,42.0,"[14.325740814208984, 12.058952331542969, 12.14962387084961, 11.230569839477539, 9.964302062988281, 8.92058277130127, 10.620384216308594, 10.83806324005127, 10.664045333862305, 15.406095504760742, 10.96861743927002, 11.564342498779297, 10.408157348632812, 15.37016487121582, 16.221933364868164]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[43 25]
 [ 8 11]]",0.561344563961029,33.38461685180664,28.0,"[9.540985107421875, 8.349712371826172, 8.392318725585938, 8.031696319580078, 7.357827663421631, 6.839785099029541, 7.729594707489014, 7.820615291595459, 7.730370998382568, 10.073321342468262, 8.136448860168457, 7.603079319000244, 10.055127143859863]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[53 15]
 [11  8]]",0.5919913649559021,25.454545974731445,28.0,"[12.277709007263184, 10.611432075500488, 10.275839805603027, 9.256403923034668, 8.39164924621582, 9.809859275817871, 9.96432876586914, 9.829917907714844, 10.353219032287598, 9.596400260925293, 13.154902458190918]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
