CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[1.4706426858901978, 1.384266972541809, 1.338800311088562, 1.5384950637817383, 1.356488823890686, 1.1052545309066772, 1.4609500169754028, 1.135991096496582, 1.0883538722991943, 1.356235146522522, 1.7072855234146118, 1.7205864191055298, 2.0001254081726074, 1.380834698677063, 1.1618701219558716, 1.6253036260604858, 1.4073950052261353, 1.056275486946106, 1.1337416172027588, 1.5580683946609497, 1.2587623596191406, 1.1736750602722168, 1.7897261381149292, 1.5408474206924438, 1.3152648210525513, 1.7163194417953491, 1.1220847368240356, 1.3976346254348755, 1.2641956806182861, 1.4321168661117554, 1.8732528686523438, 1.744425654411316, 1.5162771940231323, 1.7735562324523926, 1.354326605796814]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[52  0]
 [35  0]]",0.3741007149219513,79.4000015258789,91.0,"[8.421239852905273, 5.236446380615234, 5.861189365386963, 6.447808742523193, 5.198629856109619, 3.926515579223633, 5.859065532684326, 3.90444016456604, 7.028542995452881, 5.082675933837891, 6.9822468757629395, 7.05325984954834, 7.722290992736816, 7.3459792137146, 4.190046310424805, 6.449730396270752, 5.952549934387207, 3.6844348907470703, 4.272512912750244, 6.119673252105713, 4.622489929199219, 4.21975040435791, 7.517126560211182, 6.403103351593018, 5.8061842918396, 8.40749740600586, 3.7340328693389893, 5.408386707305908, 4.625955104827881, 5.6069254875183105, 8.142170906066895, 6.7442626953125, 6.732450008392334, 7.155007839202881, 6.146111488342285]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,58.05882263183594,56.0,"[25.43831443786621, 29.43255043029785, 19.200252532958984, 20.25193214416504, 29.441709518432617, 15.803467750549316, 28.8416690826416, 21.4007625579834, 16.306577682495117, 27.90517234802246, 36.804203033447266, 35.8073616027832, 28.240049362182617, 22.490575790405273, 24.873966217041016, 33.24144744873047, 22.74592399597168, 19.944093704223633, 19.496747970581055, 33.95161437988281, 26.93791389465332, 23.00296401977539, 31.170034408569336, 30.93023681640625, 16.20098876953125, 28.53779411315918, 16.788928985595703, 32.045841217041016, 26.039716720581055, 30.74251365661621, 31.095277786254883, 33.92020797729492, 36.72011947631836, 21.23480987548828]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,46.878787994384766,49.0,"[30.811952590942383, 36.90003967285156, 23.54221534729004, 24.6817626953125, 36.80063247680664, 18.929256439208984, 35.55280685424805, 27.017261505126953, 19.496225357055664, 35.070152282714844, 45.69321823120117, 44.45740509033203, 27.233339309692383, 31.112565994262695, 41.24707794189453, 27.796659469604492, 24.814157485961914, 23.59209632873535, 42.067840576171875, 33.694602966308594, 28.867122650146484, 38.59743118286133, 38.583290100097656, 19.671220779418945, 35.25070571899414, 21.89618492126465, 39.66999053955078, 32.62609100341797, 38.51466369628906, 38.52162170410156, 42.180545806884766, 45.5808219909668, 25.91366195678711]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,46.030303955078125,42.0,"[29.437395095825195, 34.90577697753906, 23.281021118164062, 24.26822853088379, 34.71184539794922, 19.146183013916016, 33.442325592041016, 26.308427810668945, 19.58205223083496, 33.331329345703125, 42.372459411621094, 41.28447341918945, 26.409948348999023, 29.86171531677246, 38.58219528198242, 26.721548080444336, 24.406288146972656, 22.971647262573242, 39.097530364990234, 32.11601638793945, 27.879972457885742, 36.29056167602539, 36.25616455078125, 19.809223175048828, 33.36328125, 21.84486198425293, 37.101112365722656, 31.216161727905273, 36.33207702636719, 36.230491638183594, 39.33048629760742, 42.259525299072266, 25.281816482543945]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,38.60606002807617,35.0,"[32.551353454589844, 38.83656692504883, 25.498414993286133, 26.629793167114258, 38.603633880615234, 20.77050018310547, 37.13319778442383, 28.971712112426758, 21.210004806518555, 37.03139114379883, 47.39127731323242, 46.142093658447266, 29.082778930664062, 33.049232482910156, 43.04817581176758, 29.421030044555664, 26.789567947387695, 25.11594581604004, 43.606204986572266, 35.63626480102539, 30.77256202697754, 40.415992736816406, 40.3785285949707, 21.477750778198242, 37.058616638183594, 23.834308624267578, 41.33953094482422, 34.60466003417969, 40.474544525146484, 40.3499755859375, 43.89882278442383, 47.258419036865234, 27.78863525390625]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[11 41]
 [ 2 33]]",0.47198307514190674,35.21875,28.0,"[29.29621124267578, 35.14387893676758, 23.85283088684082, 24.796737670898438, 34.60498046875, 19.38381004333496, 32.81259536743164, 26.797304153442383, 19.644277572631836, 33.67070007324219, 41.821449279785156, 40.725341796875, 26.626144409179688, 30.21247673034668, 38.385887145996094, 26.360538482666016, 24.995725631713867, 22.4339542388916, 38.21905517578125, 32.42995834350586, 28.202213287353516, 36.196929931640625, 36.10039520263672, 20.09327507019043, 33.31779098510742, 22.425065994262695, 36.602447509765625, 31.654863357543945, 36.59965515136719, 36.16878128051758, 41.65512466430664, 25.59775733947754]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[13 39]
 [ 4 31]]",0.48364388942718506,30.84375,35.0,"[31.622289657592773, 36.822021484375, 25.4014949798584, 26.611879348754883, 36.25397872924805, 20.92671012878418, 34.69461441040039, 27.70492935180664, 21.200027465820312, 35.17414855957031, 44.233306884765625, 43.034996032714844, 28.752164840698242, 31.629281997680664, 40.64332962036133, 28.001405715942383, 26.243499755859375, 23.81361961364746, 40.327125549316406, 34.013816833496094, 29.337196350097656, 38.403839111328125, 37.926998138427734, 21.436059951782227, 35.363365173339844, 22.28036880493164, 38.69544219970703, 33.1659049987793, 38.43634033203125, 38.35470962524414, 44.0531005859375, 27.396190643310547]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[11 41]
 [ 2 33]]",0.47198307514190674,26.310344696044922,28.0,"[31.719390869140625, 36.838069915771484, 25.583908081054688, 26.773147583007812, 36.28464126586914, 21.1986083984375, 27.851688385009766, 21.4732666015625, 35.20660400390625, 44.19229507446289, 43.00862503051758, 28.884769439697266, 31.708942413330078, 28.149959564208984, 26.411483764648438, 24.05913543701172, 40.343570709228516, 34.0616569519043, 29.459674835205078, 38.408599853515625, 37.94669723510742, 21.692554473876953, 35.4083251953125, 22.524227142333984, 38.72323989868164, 33.21817398071289, 38.42976760864258, 38.362491607666016, 27.548057556152344]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[13 39]
 [ 4 31]]",0.48364388942718506,23.172412872314453,21.0,"[33.40403366088867, 38.567405700683594, 26.604320526123047, 27.856382369995117, 38.09130096435547, 22.187231063842773, 29.072900772094727, 22.584470748901367, 36.82954025268555, 46.62032699584961, 45.37691116333008, 30.22935676574707, 33.171104431152344, 29.62095069885254, 27.4805965423584, 25.559289932250977, 42.6248779296875, 35.64276123046875, 30.83127784729004, 40.31146240234375, 39.91611099243164, 22.61795997619629, 37.19414520263672, 23.505292892456055, 40.88797378540039, 34.693199157714844, 40.216827392578125, 40.284400939941406, 28.755584716796875]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
