CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 1 50]
 [ 0 36]]",0.31431272625923157,120.4000015258789,126.0,"[15.255306243896484, 21.50460433959961, 13.353535652160645, 22.01691246032715, 11.554876327514648, 16.452299118041992, 18.385269165039062, 16.430770874023438, 21.22711944580078, 15.635871887207031, 20.80304718017578, 25.030118942260742, 25.635011672973633, 12.680132865905762, 19.54322624206543, 13.230266571044922, 19.03879165649414, 17.97307586669922, 17.571645736694336, 14.53861141204834, 17.406620025634766, 24.21236801147461, 14.974141120910645, 20.200098037719727, 17.44991683959961, 21.99258804321289, 22.859891891479492, 19.23360252380371, 18.908113479614258, 19.513263702392578, 25.638771057128906, 21.220726013183594, 17.46680450439453, 25.07465362548828, 25.870962142944336]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 3 48]
 [ 0 36]]",0.35555556416511536,105.5999984741211,112.0,"[16.413305282592773, 22.608835220336914, 14.394015312194824, 23.147411346435547, 12.575084686279297, 17.4837646484375, 19.605897903442383, 17.460046768188477, 22.318098068237305, 16.66254234313965, 21.8843994140625, 26.273334503173828, 26.855010986328125, 13.712008476257324, 20.711078643798828, 14.336304664611816, 20.100074768066406, 19.075693130493164, 18.61617660522461, 15.557454109191895, 18.550893783569336, 25.456096649169922, 16.030284881591797, 21.275733947753906, 18.50454330444336, 23.144378662109375, 24.005849838256836, 20.37905502319336, 20.027359008789062, 20.572656631469727, 26.81671142578125, 22.50983428955078, 18.50926971435547, 26.282978057861328, 27.10582160949707]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 2 49]
 [ 0 36]]",0.33525651693344116,92.4000015258789,98.0,"[15.297029495239258, 20.21274185180664, 13.550912857055664, 20.67306137084961, 12.069272994995117, 16.021360397338867, 17.926353454589844, 15.999992370605469, 19.965255737304688, 15.357073783874512, 19.606876373291016, 23.302268981933594, 23.744483947753906, 12.994304656982422, 18.75727081298828, 13.574514389038086, 18.15322494506836, 17.37506103515625, 16.944263458251953, 14.461692810058594, 16.998220443725586, 22.651268005371094, 14.881016731262207, 19.11220932006836, 16.86542510986328, 20.69336700439453, 21.37860107421875, 18.466896057128906, 18.15667724609375, 18.530540466308594, 23.66895866394043, 20.337244033813477, 16.85624885559082, 23.272953033447266, 23.962121963500977]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,68.4000015258789,70.0,"[25.16684913635254, 34.339744567871094, 22.138967514038086, 35.14606475830078, 19.43564796447754, 26.7183780670166, 29.9134578704834, 26.682573318481445, 33.904869079589844, 25.49913787841797, 33.25891876220703, 39.81501770019531, 40.67393493652344, 21.125070571899414, 31.543378829956055, 22.072420120239258, 30.606971740722656, 29.099836349487305, 28.401517868041992, 23.8580379486084, 28.333091735839844, 38.59654235839844, 24.570068359375, 32.3546142578125, 28.238893508911133, 35.14788818359375, 36.423675537109375, 31.044612884521484, 30.515962600708008, 31.307254791259766, 40.606689453125, 34.234291076660156, 28.242372512817383, 39.822486877441406, 41.05107879638672]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 5 46]
 [ 0 36]]",0.3943704664707184,50.235294342041016,56.0,"[29.48943519592285, 41.06893539428711, 25.70616340637207, 42.10502243041992, 23.22883415222168, 32.07859420776367, 35.34635543823242, 32.132118225097656, 40.58725357055664, 30.768388748168945, 39.80332946777344, 47.12131881713867, 48.17526626586914, 25.251001358032227, 36.79281234741211, 25.873191833496094, 36.5720329284668, 34.53295135498047, 34.14946746826172, 28.79802131652832, 32.85995864868164, 45.9110221862793, 28.706193923950195, 38.902286529541016, 33.96437454223633, 41.24124526977539, 43.31462097167969, 36.30299377441406, 36.09147262573242, 37.58406448364258, 40.55546188354492, 33.87727737426758, 46.85424041748047, 48.527286529541016]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,35.411766052246094,42.0,"[31.91301155090332, 44.82524490356445, 28.063831329345703, 45.89615249633789, 25.40798568725586, 35.126129150390625, 38.19693374633789, 35.19321060180664, 44.33182907104492, 33.6996955871582, 43.494544982910156, 51.09996032714844, 52.32463455200195, 27.603099822998047, 39.9216423034668, 28.074384689331055, 39.98955154418945, 37.62593078613281, 37.372291564941406, 31.551048278808594, 35.65287399291992, 49.77490997314453, 31.326908111572266, 42.5219612121582, 37.14113235473633, 44.86735916137695, 47.17885971069336, 39.44575500488281, 39.293819427490234, 41.11311721801758, 43.75099563598633, 37.07633590698242, 50.894927978515625, 52.6695556640625]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,27.176469802856445,28.0,"[30.95633888244629, 42.330692291259766, 27.51620101928711, 43.07648849487305, 24.731460571289062, 33.45235061645508, 36.315765380859375, 33.41165542602539, 41.866722106933594, 31.940750122070312, 41.18687438964844, 48.09926986694336, 49.30281066894531, 26.197772979736328, 38.707427978515625, 27.438400268554688, 38.023101806640625, 36.00532913208008, 35.40751647949219, 29.93787384033203, 34.8094367980957, 46.59733581542969, 30.397964477539062, 40.010894775390625, 35.06675720214844, 42.928409576416016, 44.660072326660156, 38.23997497558594, 37.632484436035156, 39.00678253173828, 41.18603515625, 35.23869705200195, 48.27876281738281, 49.635013580322266]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,11.8125,14.0,"[57.08681106567383, 36.631256103515625, 58.08064651489258, 32.803558349609375, 44.88303756713867, 48.543235778808594, 44.829776763916016, 56.46533966064453, 42.79278564453125, 55.537418365478516, 64.86480712890625, 66.5776138305664, 34.813812255859375, 51.96331024169922, 36.42857360839844, 51.178466796875, 48.31753921508789, 47.575218200683594, 40.02569580078125, 46.5922966003418, 62.781036376953125, 40.605224609375, 53.91351318359375, 47.08625411987305, 57.84486389160156, 60.255619049072266, 50.54952621459961, 52.547279357910156, 55.193748474121094, 47.344303131103516, 65.18109130859375, 67.01408386230469]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[10 41]
 [ 0 36]]",0.4825184941291809,11.741935729980469,14.0,"[39.498291015625, 25.8190975189209, 40.127464294433594, 23.277612686157227, 31.3928279876709, 33.574928283691406, 31.36027717590332, 39.099220275878906, 29.992189407348633, 38.490013122558594, 44.52391052246094, 45.71185302734375, 24.607812881469727, 35.95578384399414, 25.58785629272461, 35.58550262451172, 33.59849166870117, 33.18516159057617, 28.140605926513672, 32.37267303466797, 43.122650146484375, 28.471485137939453, 37.40419006347656, 32.83945083618164, 39.93522262573242, 35.075748443603516, 36.51164245605469, 37.954795837402344, 33.03307342529297, 44.78805923461914, 45.98384094238281]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[13 38]
 [ 0 36]]",0.5303977131843567,17.379310607910156,14.0,"[45.853858947753906, 29.744726181030273, 46.56327819824219, 26.766807556152344, 36.35270690917969, 38.72772979736328, 36.31673812866211, 45.39729309082031, 34.701019287109375, 44.68872833251953, 51.63926696777344, 53.063758850097656, 28.320112228393555, 41.58450698852539, 41.27660369873047, 38.872737884521484, 38.45687484741211, 32.51955795288086, 37.37438201904297, 50.01068115234375, 32.862735748291016, 43.41009521484375, 38.03456115722656, 46.30805969238281, 40.59987258911133, 42.375579833984375, 43.85393524169922, 38.27954864501953, 51.9789924621582]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
