CF1,f11,MAE1,MAE2,pred,date,countries
"[[68  0]
 [19  0]]",0.43870967626571655,120.10526275634766,140.0,"[4.7767839431762695, 3.382744073867798, 3.4481284618377686, 4.3600311279296875, 3.4342808723449707, 3.1993255615234375, 5.32655143737793, 4.179634094238281, 3.9943490028381348, 3.894139289855957, 5.168512344360352, 3.8495965003967285, 3.7209317684173584, 5.661497116088867, 3.859058380126953, 5.300198554992676, 5.081934928894043, 5.7191033363342285, 3.983701705932617]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[61  7]
 [ 8 11]]",0.7425527572631836,108.11111450195312,112.0,"[15.554566383361816, 11.991253852844238, 12.11386775970459, 13.114886283874512, 10.610747337341309, 9.57730770111084, 12.510777473449707, 12.113781929016113, 11.886334419250488, 16.554471969604492, 11.513415336608887, 12.040900230407715, 17.153776168823242, 11.587965965270996, 17.131874084472656, 16.583755493164062, 17.920541763305664, 13.913104057312012]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[43 25]
 [ 7 12]]",0.5786924958229065,97.22222137451172,112.0,"[12.89254379272461, 10.340950012207031, 10.432611465454102, 10.52713394165039, 8.897082328796387, 7.972546577453613, 9.974069595336914, 9.962030410766602, 9.785985946655273, 13.78212833404541, 9.704559326171875, 10.180517196655273, 13.56108283996582, 9.524637222290039, 14.20452880859375, 13.789901733398438, 14.756036758422852, 11.85779857635498]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[59  9]
 [10  9]]",0.6739001870155334,80.88888549804688,84.0,"[13.576210021972656, 10.953861236572266, 11.049612998962402, 10.861905097961426, 9.235501289367676, 8.2058744430542, 10.253796577453613, 10.31601619720459, 10.130349159240723, 14.584197998046875, 10.133130073547363, 10.678189277648926, 14.17017650604248, 9.841094017028809, 15.02077579498291, 14.581772804260254, 15.579703330993652, 12.5905179977417]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[54 14]
 [11  8]]",0.6011369824409485,68.44444274902344,70.0,"[15.447274208068848, 12.582659721374512, 12.689925193786621, 12.002225875854492, 10.316801071166992, 9.054081916809082, 11.271224021911621, 11.474248886108398, 11.26335620880127, 16.706462860107422, 11.40798568725586, 12.096409797668457, 15.973390579223633, 10.91043758392334, 17.187347412109375, 16.686918258666992, 17.785383224487305, 14.50061321258545]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[59  9]
 [11  8]]",0.6497584581375122,64.75,70.0,"[11.694123268127441, 9.744278907775879, 9.818511962890625, 9.256654739379883, 8.129457473754883, 7.224842071533203, 8.75041675567627, 8.91437816619873, 8.767437934875488, 12.599650382995605, 8.880126953125, 9.369339942932129, 8.502774238586426, 12.586233139038086, 13.33632755279541, 11.081666946411133]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[54 14]
 [11  8]]",0.6011369824409485,50.75,56.0,"[10.32767105102539, 8.931690216064453, 8.998183250427246, 8.150720596313477, 7.380749702453613, 6.620728969573975, 7.723931789398193, 7.917162895202637, 7.806358337402344, 11.14297103881836, 8.026556015014648, 8.470117568969727, 7.601560115814209, 11.116334915161133, 11.658784866333008, 10.035218238830566]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[44 24]
 [ 7 12]]",0.5879297256469727,39.20000076293945,42.0,"[16.174665451049805, 13.379172325134277, 13.484583854675293, 12.547597885131836, 10.980339050292969, 9.639765739440918, 11.815320014953613, 12.07442855834961, 11.865034103393555, 17.4628963470459, 12.06373405456543, 12.823609352111816, 11.502388000488281, 17.43399429321289, 18.50954246520996]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[51 17]
 [11  8]]",0.5741258859634399,33.38461685180664,28.0,"[9.289084434509277, 8.149477005004883, 8.195712089538574, 7.611116409301758, 7.092718124389648, 6.4295430183410645, 7.280069828033447, 7.534765243530273, 7.441067695617676, 9.925652503967285, 7.845428943634033, 7.20692777633667, 9.919746398925781]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[60  8]
 [11  8]]",0.6602261066436768,25.454545974731445,28.0,"[10.78152084350586, 9.672597885131836, 9.099567413330078, 8.545770645141602, 7.677501201629639, 8.691167831420898, 9.072659492492676, 8.961383819580078, 9.331104278564453, 8.623022079467773, 11.71325397491455]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
