CF1,f11,MAE1,MAE2,pred,date,countries
"[[74  7]
 [ 0  6]]",0.7932088375091553,100.80000305175781,98.0,"[4.440145492553711, 3.5882229804992676, 4.660534858703613, 5.1316328048706055, 4.517204284667969]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 1  5]]",0.7935126423835754,86.80000305175781,84.0,"[6.043267250061035, 5.168657302856445, 6.308623313903809, 6.875593185424805, 6.161198616027832]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 1  5]]",0.7718246579170227,72.80000305175781,70.0,"[8.867173194885254, 7.734264373779297, 9.221991539001465, 9.980055809020996, 9.030952453613281]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,58.79999923706055,56.0,"[10.014209747314453, 8.845285415649414, 10.366307258605957, 11.118769645690918, 10.169207572937012]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 1  5]]",0.8176100850105286,44.79999923706055,42.0,"[10.37155532836914, 9.829268455505371, 10.622428894042969, 11.158126831054688, 10.51620101928711]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[80  1]
 [ 5  1]]",0.6069276928901672,19.600000381469727,14.0,"[15.695191383361816, 13.729129791259766, 16.20553970336914, 17.296463012695312, 15.871594429016113]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[80  1]
 [ 4  2]]",0.7070707082748413,14.0,14.0,"[17.100454330444336, 14.511676788330078, 17.629512786865234, 18.793249130249023, 17.141517639160156]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,18.66666603088379,14.0,"[14.17221450805664, 19.544145584106445, 17.699390411376953]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[78  3]
 [ 1  5]]",0.8446428775787354,14.0,14.0,[17.34633445739746],2021-03-29T00:00:00.000000000,['Mexico']
"[[78  3]
 [ 1  5]]",0.8446428775787354,0.0,0.0,[21.903257369995117],2021-04-12T00:00:00.000000000,['Mexico']
"[[78  3]
 [ 1  5]]",0.8446428775787354,14.0,14.0,[15.611549377441406],2021-04-26T00:00:00.000000000,['Mexico']
"[[78  3]
 [ 2  4]]",0.7921643853187561,-1,-1,"[[0.44889602065086365], [0.27323806285858154], [0.0335116945207119], [0.03778417035937309], [0.03920331597328186], [0.028149673715233803], [0.019161690026521683], [0.013823150657117367], [0.5091196894645691], [0.029128335416316986], [0.07517620176076889], [0.03210129961371422], [0.6825093626976013], [0.49302712082862854], [0.03781275078654289], [0.5830507874488831], [0.3794640600681305], [0.048307012766599655], [0.03936759755015373], [0.04985789582133293], [0.5127248764038086], [0.4339780807495117], [0.0393059104681015], [0.04599203169345856], [0.047161705791950226], [0.049695465713739395], [0.0657622292637825], [0.02523866482079029], [0.04403238743543625], [0.032770998775959015], [0.14813806116580963], [0.2915194034576416], [0.024488301947712898], [0.08743837475776672], [0.04317167028784752], [0.02545585297048092], [0.04098682478070259], [0.048211921006441116], [0.02629411779344082], [0.19371002912521362], [0.07520254701375961], [0.012101058848202229], [0.051621511578559875], [0.04561747610569], [0.04546193778514862], [0.08027639985084534], [0.023342104628682137], [0.03254426270723343], [0.04133065789937973], [0.5164037346839905], [0.031718067824840546], [0.07440824061632156], [0.06894954293966293], [0.03872084990143776], [0.04087315872311592], [0.03416386991739273], [0.6219595670700073], [0.023446137085556984], [0.5038501620292664], [0.02611280232667923], [0.0358133390545845], [0.06604807078838348], [0.030222028493881226], [0.08215420693159103], [0.021987352520227432], [0.022876156494021416], [0.022186974063515663], [0.02820882946252823], [0.05209974944591522], [0.06697960197925568], [0.018223995342850685], [0.03775404021143913], [0.1098821684718132], [0.020532678812742233], [0.20955108106136322], [0.06383011490106583], [0.05267530307173729], [0.053520817309617996], [0.02799195982515812], [0.21318231523036957], [0.012516793794929981], [0.39932623505592346], [0.024210577830672264], [0.03695883974432945], [0.014597846195101738], [0.025614164769649506], [0.04961191490292549]]",2021-05-10T00:00:00.000000000,[]
