CF1,f11,MAE1,MAE2,pred,date,countries
"[[52  0]
 [35  0]]",0.3741007149219513,107.80000305175781,119.0,"[1.8787360191345215, 1.790724515914917, 1.6995952129364014, 1.9175384044647217, 1.770085334777832, 1.442216396331787, 1.8886957168579102, 1.5024220943450928, 1.4318759441375732, 1.7557365894317627, 2.168922185897827, 2.181917905807495, 2.443915843963623, 1.7649931907653809, 1.5346057415008545, 2.0690464973449707, 1.8084216117858887, 1.4319090843200684, 1.5072321891784668, 2.0086939334869385, 1.6467208862304688, 1.5438973903656006, 2.2380523681640625, 1.970937967300415, 1.668473720550537, 2.1513843536376953, 1.4881043434143066, 1.823324203491211, 1.6488456726074219, 1.8472464084625244, 2.3261561393737793, 2.200509786605835, 1.9650938510894775, 2.240201711654663, 1.732043743133545]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[52  0]
 [35  0]]",0.3741007149219513,79.4000015258789,91.0,"[9.186243057250977, 6.097048759460449, 6.458608627319336, 7.0765299797058105, 6.131973743438721, 4.565411567687988, 6.822879791259766, 4.661705493927002, 7.674569129943848, 5.914097785949707, 8.060739517211914, 8.108427047729492, 8.473326683044434, 8.031159400939941, 4.976495742797852, 7.442229747772217, 6.761730194091797, 4.385922908782959, 5.065262317657471, 7.227993011474609, 5.45072078704834, 4.974505424499512, 8.383530616760254, 7.315544128417969, 6.397885322570801, 9.20176887512207, 4.4512457847595215, 6.436010360717773, 5.419820785522461, 6.480435848236084, 8.978147506713867, 7.746816635131836, 7.842008590698242, 8.236773490905762, 6.787728786468506]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[ 5 47]
 [ 0 35]]",0.3868646025657654,58.47058868408203,56.0,"[24.729942321777344, 28.25274085998535, 18.71086883544922, 19.77338218688965, 28.764991760253906, 15.542520523071289, 27.92778205871582, 21.301856994628906, 16.01382827758789, 26.959918975830078, 35.29368209838867, 34.46697235107422, 27.414031982421875, 21.92749786376953, 23.92997932434082, 32.17289733886719, 22.130613327026367, 19.793136596679688, 19.009464263916016, 32.70983123779297, 25.85297966003418, 22.3310489654541, 30.12778091430664, 29.788114547729492, 15.915771484375, 27.670364379882812, 17.686567306518555, 30.76691436767578, 25.253421783447266, 29.631797790527344, 30.085037231445312, 32.658451080322266, 35.207740783691406, 20.726299285888672]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 4 48]
 [ 0 35]]",0.36803874373435974,47.30303192138672,49.0,"[29.887313842773438, 35.401649475097656, 22.95921516418457, 24.195085525512695, 35.886741638183594, 18.638317108154297, 34.267356872558594, 27.18606185913086, 19.15467643737793, 33.88763427734375, 43.65003967285156, 42.636051177978516, 26.541351318359375, 30.02400016784668, 39.966400146484375, 26.939868927001953, 24.91776466369629, 22.991445541381836, 40.354637145996094, 32.391014099121094, 27.99346351623535, 37.17808532714844, 37.08548355102539, 19.320735931396484, 34.09130096435547, 23.01600456237793, 38.00136184692383, 31.715795516967773, 37.092445373535156, 37.14604949951172, 40.4853515625, 43.53247833251953, 25.279525756835938]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 6 46]
 [ 0 35]]",0.4051724076271057,46.030303955078125,42.0,"[28.036882400512695, 33.16456604003906, 22.13486099243164, 23.23174476623535, 33.44264221191406, 18.13446044921875, 31.753936767578125, 25.891082763671875, 18.51578140258789, 31.8547420501709, 40.22636795043945, 39.31227493286133, 25.194473266601562, 28.390499114990234, 37.05166244506836, 25.29306411743164, 23.92196273803711, 21.67384910583496, 37.123050689697266, 30.492036819458008, 26.552120208740234, 34.60643768310547, 34.498043060302734, 18.760986328125, 31.8548583984375, 22.212635040283203, 35.164485931396484, 29.949783325195312, 34.69802474975586, 34.59143829345703, 37.43241500854492, 40.098907470703125, 24.104475021362305]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[ 8 44]
 [ 0 35]]",0.44035089015960693,38.60606002807617,35.0,"[32.420772552490234, 38.26707458496094, 25.456708908081055, 26.729887008666992, 38.627532958984375, 20.883058547973633, 36.80256271362305, 29.81121253967285, 21.360034942626953, 36.729122161865234, 46.57308578491211, 45.517906188964844, 29.062915802001953, 32.7223014831543, 42.854644775390625, 29.242916107177734, 27.504518508911133, 25.1397762298584, 42.988197326660156, 35.163238525390625, 30.605009078979492, 39.98265838623047, 39.8843879699707, 21.594635009765625, 36.81147003173828, 25.530447006225586, 40.728515625, 34.5092658996582, 40.03277587890625, 39.97686767578125, 43.30506134033203, 46.41899490356445, 27.781173706054688]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[16 36]
 [ 3 32]]",0.5360317230224609,32.59375,28.0,"[33.81949234008789, 39.94633102416992, 26.74647331237793, 28.058826446533203, 40.19941329956055, 21.95769691467285, 38.25278854370117, 31.23499870300293, 22.415918350219727, 38.374305725097656, 48.392242431640625, 47.296146392822266, 30.41251564025879, 34.22804641723633, 44.60514450073242, 30.407283782958984, 28.875627517700195, 26.20899772644043, 44.53437805175781, 36.7455940246582, 32.03012466430664, 41.61961364746094, 41.54056930541992, 22.692766189575195, 38.38103103637695, 26.83174705505371, 42.3523063659668, 36.09681701660156, 41.780887603759766, 41.65509796142578, 48.191104888916016, 29.10150909423828]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[10 42]
 [ 1 34]]",0.46503645181655884,29.09375,21.0,"[33.999549865722656, 39.30506896972656, 28.184284210205078, 29.49889373779297, 38.97513198852539, 23.383773803710938, 36.507041931152344, 30.84417724609375, 23.45288848876953, 37.922908782958984, 46.15819549560547, 45.08399963378906, 31.428054809570312, 34.073001861572266, 43.047096252441406, 29.916362762451172, 29.500286102294922, 25.35434341430664, 41.955997467041016, 36.41476058959961, 31.928085327148438, 40.92057800292969, 40.163578033447266, 23.912628173828125, 37.884788513183594, 26.502323150634766, 40.48314666748047, 36.062191009521484, 41.20095443725586, 40.9344596862793, 45.91310119628906, 30.095684051513672]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[16 36]
 [ 3 32]]",0.5360317230224609,25.34482765197754,28.0,"[32.7767219543457, 36.97593307495117, 26.560930252075195, 27.7803955078125, 36.9245719909668, 22.607744216918945, 29.338077545166016, 22.965133666992188, 35.68108367919922, 43.84360122680664, 42.8765869140625, 29.98248291015625, 32.32949447631836, 29.084880828857422, 27.79303741455078, 25.558534622192383, 40.14375305175781, 34.417362213134766, 30.431406021118164, 38.62010955810547, 38.17734909057617, 22.947650909423828, 36.02151870727539, 25.235153198242188, 38.84896469116211, 33.91584396362305, 38.592018127441406, 38.69285583496094, 28.601533889770508]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[19 33]
 [ 4 31]]",0.5664646625518799,22.20689582824707,21.0,"[30.959327697753906, 34.969749450683594, 26.12621307373047, 27.078298568725586, 34.74175262451172, 22.68453598022461, 28.38216781616211, 22.832035064697266, 33.875755310058594, 40.57088088989258, 39.70754623413086, 28.766294479370117, 30.96259880065918, 27.45842933654785, 27.177005767822266, 24.228452682495117, 37.01649475097656, 32.78165054321289, 29.252296447753906, 36.208763122558594, 35.76729965209961, 22.754499435424805, 33.85919189453125, 24.960922241210938, 36.121925354003906, 32.34819412231445, 36.41089630126953, 36.24898147583008, 27.589317321777344]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
