CF1,f11,MAE1,MAE2,pred,date,countries
"[[ 0 51]
 [ 0 36]]",0.2926829159259796,120.4000015258789,126.0,"[14.468910217285156, 20.37394142150879, 12.635111808776855, 21.209516525268555, 10.954694747924805, 15.548406600952148, 17.38783836364746, 15.898123741149902, 20.05034065246582, 14.671420097351074, 19.581058502197266, 23.754047393798828, 24.25127601623535, 12.040606498718262, 18.50127601623535, 12.545018196105957, 18.19188690185547, 17.0363826751709, 16.5247859954834, 14.069066047668457, 16.506803512573242, 22.876956939697266, 14.166129112243652, 19.168128967285156, 16.475454330444336, 20.874500274658203, 21.5945987701416, 18.220911026000977, 17.905241012573242, 18.402734756469727, 24.248611450195312, 20.0519962310791, 16.902559280395508, 23.763710021972656, 24.556455612182617]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 3 48]
 [ 0 36]]",0.35555556416511536,105.5999984741211,112.0,"[16.221033096313477, 22.209228515625, 14.170492172241211, 23.110673904418945, 12.41403865814209, 17.1511173248291, 19.310434341430664, 17.520519256591797, 21.86221694946289, 16.245058059692383, 21.367910385131836, 25.880186080932617, 26.36217498779297, 13.545231819152832, 20.380638122558594, 14.169990539550781, 19.923362731933594, 18.782527923583984, 18.175691604614258, 15.615816116333008, 18.296710968017578, 24.98352813720703, 15.76666259765625, 20.95135498046875, 18.136905670166016, 22.7955265045166, 23.52713966369629, 20.06078338623047, 19.69925880432129, 20.12616729736328, 26.30000877380371, 22.1455078125, 18.587242126464844, 25.845775604248047, 26.693130493164062]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 7 44]
 [ 0 36]]",0.43103447556495667,94.0,98.0,"[13.99962043762207, 18.274662017822266, 12.272160530090332, 18.992700576782227, 10.945671081542969, 14.435861587524414, 16.385921478271484, 14.72006607055664, 18.001060485839844, 13.765966415405273, 17.622623443603516, 21.232830047607422, 21.54568862915039, 11.794599533081055, 17.066612243652344, 12.39694595336914, 16.541784286499023, 15.769512176513672, 15.215063095092773, 13.291250228881836, 15.494487762451172, 20.582969665527344, 13.471728324890137, 17.328065872192383, 15.202877044677734, 18.802043914794922, 19.326322555541992, 16.789020538330078, 16.473325729370117, 16.671173095703125, 21.418704986572266, 18.59457015991211, 15.54798698425293, 21.146038055419922, 21.811235427856445]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 6 45]
 [ 0 36]]",0.41295546293258667,67.5999984741211,70.0,"[26.298269271850586, 35.95793151855469, 23.105775833129883, 37.37992858886719, 20.30472183227539, 27.896432876586914, 31.20274543762207, 28.48328971862793, 35.409263610839844, 26.445369720458984, 34.62230682373047, 41.73405075073242, 42.527156829833984, 22.11089324951172, 32.96369552612305, 23.050674438476562, 32.31209182739258, 30.45395851135254, 29.528017044067383, 25.44169044494629, 29.639955520629883, 40.28977584838867, 25.653615951538086, 33.947784423828125, 29.458757400512695, 36.85492706298828, 38.03627395629883, 32.46916198730469, 31.91092872619629, 32.645748138427734, 42.464805603027344, 35.69519805908203, 30.174654006958008, 41.70677947998047, 43.04819869995117]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,49.411766052246094,56.0,"[30.063758850097656, 42.07183074951172, 26.263858795166016, 43.80081558227539, 23.796043395996094, 32.823890686035156, 35.934017181396484, 33.613189697265625, 41.47001266479492, 31.27236557006836, 40.53964614868164, 48.18878936767578, 49.1539421081543, 25.90597915649414, 37.519649505615234, 26.39822006225586, 37.79499816894531, 35.335044860839844, 34.772666931152344, 30.06832504272461, 33.55257034301758, 46.73928451538086, 29.3282470703125, 39.92741775512695, 34.69853973388672, 42.23817443847656, 44.19425964355469, 37.07231903076172, 36.884700775146484, 38.370121002197266, 41.16791534423828, 35.43634033203125, 47.88538360595703, 49.65892028808594]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,34.588233947753906,42.0,"[32.595237731933594, 46.099281311035156, 28.740354537963867, 47.925010681152344, 26.087764739990234, 36.065330505371094, 38.913848876953125, 36.92115783691406, 45.46436309814453, 34.35905075073242, 44.458740234375, 52.43873596191406, 53.572166442871094, 28.393951416015625, 40.81942367553711, 28.694156646728516, 41.45142364501953, 38.61593246459961, 38.18093490600586, 33.045597076416016, 36.493247985839844, 50.830928802490234, 32.090431213378906, 43.76722717285156, 38.07305145263672, 46.1064338684082, 48.307308197021484, 40.39515686035156, 40.27859115600586, 42.12364196777344, 44.50989532470703, 38.863895416259766, 52.190956115722656, 54.09199905395508]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[ 8 43]
 [ 0 36]]",0.4486367106437683,27.176469802856445,28.0,"[30.885623931884766, 42.45429611206055, 27.454971313476562, 43.82368850708008, 24.715457916259766, 33.43730926513672, 36.1363410949707, 34.01011657714844, 41.85161209106445, 31.689476013183594, 41.02528762817383, 48.22077178955078, 49.29094696044922, 26.236713409423828, 38.645015716552734, 27.374061584472656, 38.29350280761719, 36.02590560913086, 35.21064376831055, 30.54853057861328, 34.791019439697266, 46.46942901611328, 30.341236114501953, 40.11966323852539, 35.00899887084961, 43.05059051513672, 44.61661911010742, 38.221527099609375, 37.6198616027832, 38.92081069946289, 40.94599151611328, 35.884254455566406, 48.33829116821289, 49.795101165771484]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[10 41]
 [ 0 36]]",0.4825184941291809,12.6875,14.0,"[58.901588439941406, 37.46622085571289, 60.79588317871094, 33.58071517944336, 46.105804443359375, 49.5308837890625, 46.91014099121094, 58.05891418457031, 43.596405029296875, 56.89170455932617, 66.85400390625, 68.44140625, 35.73763656616211, 53.25846862792969, 37.19181442260742, 52.99126434326172, 49.651485443115234, 48.617252349853516, 41.97434997558594, 47.768272399902344, 64.3406982421875, 41.58095932006836, 55.575164794921875, 48.30554962158203, 59.6324348449707, 61.90137481689453, 51.90171813964844, 53.92220687866211, 56.297996520996094, 49.546295166015625, 67.09542083740234, 69.13604736328125]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[11 40]
 [ 0 36]]",0.49884793162345886,12.645161628723145,14.0,"[36.890228271484375, 24.092830657958984, 37.998111724853516, 21.78435516357422, 29.280155181884766, 31.150299072265625, 29.755950927734375, 36.39409255981445, 27.77935028076172, 35.70215606689453, 41.52836227416992, 42.5019416809082, 23.06415367126465, 33.44801330566406, 23.874797821044922, 33.373409271240234, 31.342533111572266, 30.772689819335938, 26.812713623046875, 30.179035186767578, 40.01869201660156, 26.544265747070312, 34.907066345214844, 30.57790756225586, 37.282596588134766, 32.67675018310547, 33.94063949584961, 35.15325927734375, 31.315196990966797, 41.70622634887695, 42.908660888671875]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[10 41]
 [ 0 36]]",0.4825184941291809,12.551724433898926,14.0,"[40.75907897949219, 26.86063575744629, 41.79298782348633, 24.444047927856445, 32.724037170410156, 33.57512664794922, 33.205501556396484, 40.2709846496582, 31.068683624267578, 39.55677795410156, 45.01862335205078, 46.23912811279297, 25.773517608642578, 36.4825553894043, 37.031288146972656, 34.55615234375, 34.290035247802734, 30.036495208740234, 32.98799514770508, 43.349639892578125, 29.490543365478516, 38.629554748535156, 34.01427459716797, 40.8583869934082, 35.93487548828125, 37.73667907714844, 37.6419677734375, 34.788612365722656, 45.41869354248047]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
