CF1,f11,MAE1,MAE2,pred,date,countries
"[[76  5]
 [ 0  6]]",0.8370175957679749,95.19999694824219,84.0,"[4.935925006866455, 19.15414047241211, 4.935925006866455, 6.3682637214660645, 17.425006866455078]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,86.80000305175781,84.0,"[4.858701705932617, 10.087078094482422, 4.858701705932617, 4.463393688201904, 9.043902397155762]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,67.19999694824219,56.0,"[4.3520894050598145, 18.127948760986328, 4.3520894050598145, 4.399452209472656, 15.352815628051758]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,53.20000076293945,42.0,"[6.535166263580322, 16.97911834716797, 6.535166263580322, 6.228684425354004, 15.089733123779297]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,39.20000076293945,28.0,"[7.580595970153809, 19.688444137573242, 7.580595970153809, 8.488677978515625, 17.971269607543945]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,25.200000762939453,14.0,"[11.523273468017578, 18.784482955932617, 11.523273468017578, 10.35881233215332, 17.774782180786133]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,11.199999809265137,0.0,"[13.74512767791748, 19.2596492767334, 13.74512767791748, 13.409280776977539, 18.70456314086914]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,18.66666603088379,14.0,"[20.482027053833008, 14.9886474609375, 19.759626388549805]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[21.935686111450195],2021-03-29T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,0.0,0.0,[16.35152816772461],2021-04-12T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,14.0,14.0,[21.28151512145996],2021-04-26T00:00:00.000000000,['Mexico']
"[[77  4]
 [ 0  6]]",0.8623417615890503,-1,-1,"[[0.9227476716041565], [0.052328359335660934], [0.05112355947494507], [0.053845733404159546], [0.05112355947494507], [0.049592819064855576], [0.05208117887377739], [0.052328359335660934], [0.9191737174987793], [0.049592819064855576], [0.0533648245036602], [0.052328359335660934], [0.6206825971603394], [0.9227476716041565], [0.06465160101652145], [0.837391197681427], [0.1087716743350029], [0.05047120526432991], [0.05075128749012947], [0.049793943762779236], [0.052328359335660934], [0.75142902135849], [0.055377766489982605], [0.052328359335660934], [0.05671512335538864], [0.05620680749416351], [0.0550391711294651], [0.0578768253326416], [0.052328359335660934], [0.0511552132666111], [0.052328359335660934], [0.735752284526825], [0.052328359335660934], [0.052328359335660934], [0.05731566622853279], [0.05274779722094536], [0.05112355947494507], [0.052328359335660934], [0.05350509658455849], [0.052328359335660934], [0.05514714494347572], [0.05112355947494507], [0.05574854090809822], [0.052328359335660934], [0.05489484593272209], [0.04984353110194206], [0.05818665400147438], [0.052328359335660934], [0.052328359335660934], [0.6815347671508789], [0.049397408962249756], [0.04940928891301155], [0.052328359335660934], [0.052328359335660934], [0.055377766489982605], [0.049397408962249756], [0.3333749771118164], [0.05273149907588959], [0.891945481300354], [0.049592819064855576], [0.05697901174426079], [0.05112355947494507], [0.05435360223054886], [0.05076061189174652], [0.052328359335660934], [0.05112355947494507], [0.052328359335660934], [0.05047120526432991], [0.051512155681848526], [0.051430050283670425], [0.052328359335660934], [0.052328359335660934], [0.05161221697926521], [0.049592819064855576], [0.7570966482162476], [0.05249163135886192], [0.05038699135184288], [0.04910707101225853], [0.05104726552963257], [0.052328359335660934], [0.0533648245036602], [0.052328359335660934], [0.05435360223054886], [0.05609402433037758], [0.051123570650815964], [0.05161221697926521], [0.05063929408788681]]",2021-05-10T00:00:00.000000000,[]
