CF1,f11,MAE1,MAE2,pred,date,countries
"[[49  3]
 [33  2]]",0.4156716465950012,107.80000305175781,119.0,"[1.8372122049331665, 2.0613157749176025, 1.8372122049331665, 2.1323294639587402, 1.917307734489441, 1.937754511833191, 2.164703369140625, 1.7818328142166138, 1.937754511833191, 2.2862582206726074, 2.2472033500671387, 2.3742971420288086, 3.036060094833374, 1.972244381904602, 1.8372122049331665, 2.0338656902313232, 1.8372122049331665, 1.7279046773910522, 2.2872421741485596, 1.6902188062667847, 2.18278431892395, 1.8372122049331665, 2.1019389629364014, 1.937754511833191, 1.937754511833191, 1.7818328142166138, 1.8630001544952393, 1.878258466720581, 1.9512131214141846, 1.7746328115463257, 1.830769658088684, 2.0225155353546143, 1.937754511833191, 1.8782585859298706, 1.809574842453003]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[48  4]
 [26  9]]",0.5684523582458496,67.80000305175781,77.0,"[6.801678657531738, 25.658447265625, 6.801678657531738, 5.835018157958984, 22.99889373779297, 23.37650489807129, 27.567825317382812, 20.496929168701172, 5.892607688903809, 29.81270980834961, 29.091442108154297, 31.438623428344727, 10.186918258666992, 8.439579010009766, 21.51968002319336, 25.151498794555664, 21.51968002319336, 19.5009765625, 29.830883026123047, 18.804988861083984, 27.901744842529297, 21.51968002319336, 14.391486167907715, 23.376506805419922, 5.892607688903809, 7.810518264770508, 21.99593734741211, 22.277727127075195, 23.62506103515625, 20.36396026611328, 18.044713973999023, 24.94188117980957, 23.376506805419922, 22.277727127075195, 18.168241500854492]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'USA', 'United Kingdom', 'Vietnam']"
"[[38 14]
 [ 2 33]]",0.815482497215271,75.35294342041016,84.0,"[3.3961992263793945, 3.7065815925598145, 3.479231834411621, 3.3335509300231934, 3.5744800567626953, 3.4288783073425293, 3.8344569206237793, 3.499112606048584, 3.615589141845703, 13.296074867248535, 3.7916831970214844, 4.0101237297058105, 3.9730429649353027, 3.5017571449279785, 3.510350227355957, 3.672394275665283, 16.952178955078125, 3.445507526397705, 3.791754722595215, 3.386050224304199, 10.686076164245605, 3.354757785797119, 3.6095871925354004, 18.360980987548828, 3.615589141845703, 3.366447925567627, 3.5261306762695312, 3.4420881271362305, 3.4297642707824707, 3.4390859603881836, 3.40443754196167, 3.81980562210083, 3.56912899017334, 3.3687071800231934]",2021-02-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'India', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[39 13]
 [ 2 33]]",0.8267622590065002,65.54545593261719,77.0,"[6.8480916023254395, 8.008480072021484, 7.734988689422607, 6.666116237640381, 8.494412422180176, 6.8264007568359375, 10.444981575012207, 6.890294075012207, 8.882174491882324, 16.25737953186035, 9.72769832611084, 9.592066764831543, 7.465296268463135, 8.094263076782227, 8.35987663269043, 18.87514877319336, 7.809983253479004, 9.451037406921387, 7.283616065979004, 13.577469825744629, 6.4355645179748535, 8.143458366394043, 20.398557662963867, 8.882174491882324, 6.736877918243408, 7.26054048538208, 7.1981730461120605, 6.788076877593994, 7.835726261138916, 6.715693950653076, 6.677849292755127, 8.598516464233398, 6.352856159210205]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[38 14]
 [ 2 33]]",0.815482497215271,60.878787994384766,70.0,"[10.640707969665527, 12.527107238769531, 11.843013763427734, 10.219032287597656, 12.92896842956543, 10.741451263427734, 15.854312896728516, 10.6270170211792, 13.45729923248291, 17.69342041015625, 15.036593437194824, 15.165989875793457, 11.668966293334961, 12.29360580444336, 12.949164390563965, 17.4462947845459, 11.763494491577148, 14.710670471191406, 11.038272857666016, 15.823580741882324, 10.048500061035156, 12.75631332397461, 18.71456527709961, 13.45729923248291, 10.415063858032227, 11.244060516357422, 11.164026260375977, 10.704894065856934, 11.871232032775879, 10.410107612609863, 10.081734657287598, 12.998892784118652, 9.842695236206055]",2021-02-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[37 15]
 [ 2 33]]",0.8041837811470032,53.45454406738281,63.0,"[11.391573905944824, 13.574908256530762, 12.236100196838379, 10.945160865783691, 13.226280212402344, 11.749342918395996, 15.835286140441895, 11.25493335723877, 13.699604988098145, 18.47966766357422, 15.21812915802002, 15.85940933227539, 12.190131187438965, 12.644762992858887, 13.346711158752441, 17.946712493896484, 12.148957252502441, 15.190651893615723, 11.490777015686035, 16.67869758605957, 11.195952415466309, 13.401395797729492, 19.149524688720703, 13.699604988098145, 11.059126853942871, 11.805303573608398, 12.049483299255371, 11.800204277038574, 12.251957893371582, 11.389010429382324, 13.258666038513184, 13.283090591430664, 11.116739273071289]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Turkey', 'United Kingdom', 'Vietnam']"
"[[39 13]
 [ 2 33]]",0.8267622590065002,47.46875,56.0,"[12.907698631286621, 15.004908561706543, 13.939234733581543, 12.544868469238281, 15.022156715393066, 13.263319969177246, 17.818845748901367, 12.773422241210938, 15.55371379852295, 18.48345375061035, 17.029142379760742, 17.612497329711914, 13.663151741027832, 14.423208236694336, 15.0764799118042, 16.38166618347168, 13.95569133758545, 17.22947120666504, 13.184907913208008, 17.237377166748047, 12.77556037902832, 15.238382339477539, 17.367408752441406, 15.55371379852295, 12.471896171569824, 13.352483749389648, 13.828445434570312, 13.378578186035156, 14.028514862060547, 12.970175743103027, 15.128406524658203, 12.762977600097656]",2021-03-08T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[39 13]
 [ 2 33]]",0.8267622590065002,35.21875,35.0,"[15.207003593444824, 16.26784896850586, 17.361757278442383, 14.869769096374512, 19.045867919921875, 15.066327095031738, 23.195087432861328, 13.284941673278809, 19.91161346435547, 18.815105438232422, 21.264293670654297, 20.45508575439453, 16.618412017822266, 18.169307708740234, 16.961036682128906, 17.949539184570312, 17.561519622802734, 20.858413696289062, 16.38915252685547, 17.69369888305664, 14.131566047668457, 18.100025177001953, 18.966567993164062, 19.91161346435547, 14.979540824890137, 14.063643455505371, 15.994209289550781, 14.9569730758667, 16.935344696044922, 14.787959098815918, 19.291011810302734, 13.867568969726562]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Canada', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Italy', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'United Kingdom', 'Vietnam']"
"[[40 12]
 [ 2 33]]",0.8380318880081177,30.172412872314453,28.0,"[15.828263282775879, 16.17743682861328, 17.243860244750977, 15.811149597167969, 18.221864700317383, 15.577964782714844, 14.63187313079834, 18.756847381591797, 19.038806915283203, 19.27520179748535, 18.562360763549805, 16.54727554321289, 17.77253532409668, 21.290557861328125, 17.54458236694336, 18.95639419555664, 16.835662841796875, 17.82308578491211, 15.11902141571045, 17.342601776123047, 22.470155715942383, 18.756847381591797, 15.765018463134766, 15.020113945007324, 16.283111572265625, 15.484758377075195, 17.061994552612305, 15.562000274658203, 15.009225845336914]",2021-03-22T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
"[[39 13]
 [ 2 33]]",0.8267622590065002,24.620689392089844,21.0,"[15.249393463134766, 15.88106918334961, 16.994171142578125, 14.975582122802734, 18.19424819946289, 15.116840362548828, 13.581012725830078, 18.83481216430664, 20.589502334594727, 19.652542114257812, 18.843050003051758, 16.27012062072754, 17.613428115844727, 27.019145965576172, 17.27204132080078, 19.306358337402344, 16.28084373474121, 17.243268966674805, 14.326848983764648, 17.28996467590332, 28.681594848632812, 18.83481216430664, 15.060811996459961, 14.242626190185547, 15.898662567138672, 15.02005386352539, 16.73856544494629, 14.89068603515625, 14.105232238769531]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bahrain', 'Bangladesh', 'Belgium', 'Botswana', 'Croatia', 'Fiji', 'Finland', 'France', 'Germany', 'Indonesia', 'Ireland', 'Kenya', 'Luxembourg', 'Mexico', 'Netherlands', 'Norway', 'Portugal', 'Qatar', 'Russia', 'Seychelles', 'Singapore', 'Slovenia', 'Spain', 'Sweden', 'Switzerland', 'Thailand', 'Vietnam']"
