CF1,f11,MAE1,MAE2,pred,date,countries
"[[24 27]
 [ 0 36]]",0.6836363673210144,132.8000030517578,140.0,"[3.7637734413146973, 4.138694763183594, 4.087451934814453, 5.628535270690918, 6.450539588928223, 4.01765251159668, 8.264389038085938, 2.8400070667266846, 4.653134346008301, 8.20907974243164, 8.378952980041504, 5.94901704788208, 6.595065593719482, 6.450540065765381, 6.450540065765381, 5.066590309143066, 3.578533411026001, 3.0868353843688965, 8.155527114868164, 4.901677131652832, 4.6553497314453125, 4.781897068023682, 3.937060832977295, 7.15508508682251, 3.565502882003784, 5.234854698181152, 6.450540065765381, 4.381345272064209, 6.450539588928223, 5.940818786621094, 4.546855449676514, 6.450540065765381, 6.467037677764893, 5.040987968444824, 3.594846248626709]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,118.80000305175781,126.0,"[4.271372318267822, 4.672448635101318, 4.380589008331299, 5.498610496520996, 6.030673980712891, 4.560539722442627, 7.331555366516113, 3.6613924503326416, 4.749085426330566, 7.309326171875, 7.4885029792785645, 5.932751655578613, 6.434269905090332, 6.030674934387207, 6.030674934387207, 5.1829423904418945, 4.228097438812256, 3.8533318042755127, 7.29576301574707, 4.908641338348389, 5.2538557052612305, 4.806904315948486, 4.273995876312256, 6.733379364013672, 4.146475791931152, 5.387775421142578, 6.030674934387207, 4.61848258972168, 6.030673980712891, 5.718973159790039, 4.8938984870910645, 6.030674934387207, 6.250978469848633, 5.072635650634766, 4.198974609375]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,104.80000305175781,112.0,"[4.507498264312744, 5.548820972442627, 3.40065598487854, 3.3530235290527344, 3.2055845260620117, 5.294994354248047, 3.310763359069824, 5.634535312652588, 3.1725361347198486, 3.3411314487457275, 3.5153727531433105, 4.307126045227051, 4.385008811950684, 3.2055845260620117, 3.2055845260620117, 3.7337656021118164, 5.406691074371338, 5.526338577270508, 3.413997173309326, 3.124305248260498, 6.981132984161377, 3.073462963104248, 3.5151171684265137, 3.9242358207702637, 4.784633159637451, 4.3023576736450195, 3.2055845260620117, 3.51694917678833, 3.2055845260620117, 3.349799394607544, 4.655570030212402, 3.2055845260620117, 3.947563648223877, 3.317905902862549, 5.067383289337158]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,83.5999984741211,84.0,"[11.968564987182617, 13.895862579345703, 11.477821350097656, 14.223213195800781, 15.3659029006958, 13.330401420593262, 18.499916076660156, 11.326906204223633, 12.275920867919922, 18.491138458251953, 19.068363189697266, 16.21703338623047, 17.55517578125, 15.365903854370117, 15.365903854370117, 13.75186538696289, 12.618558883666992, 11.78168773651123, 18.52214813232422, 12.614821434020996, 16.48854637145996, 12.327177047729492, 11.386398315429688, 17.819934844970703, 11.904790878295898, 14.822229385375977, 15.365903854370117, 12.204906463623047, 15.3659029006958, 14.748555183410645, 13.699108123779297, 15.365903854370117, 16.710853576660156, 13.177901268005371, 12.281306266784668]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 25]
 [ 0 36]]",0.7087963819503784,72.88235473632812,70.0,"[11.60606575012207, 13.027381896972656, 10.379377365112305, 13.527000427246094, 14.324843406677246, 12.6282958984375, 16.867921829223633, 10.720293998718262, 11.851095199584961, 16.897972106933594, 17.489986419677734, 15.250066757202148, 16.445615768432617, 14.324845314025879, 14.324845314025879, 13.278160095214844, 11.912897109985352, 11.088583946228027, 16.976198196411133, 12.084186553955078, 15.336101531982422, 11.818563461303711, 10.514217376708984, 16.539758682250977, 11.434847831726074, 14.048722267150879, 14.324845314025879, 11.866942405700684, 14.324843406677246, 13.942593574523926, 14.324845314025879, 15.643951416015625, 12.67491626739502, 11.679479598999023]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 25]
 [ 0 36]]",0.7087963819503784,54.764705657958984,56.0,"[13.462343215942383, 14.843637466430664, 11.813943862915039, 16.54281234741211, 17.846275329589844, 14.520594596862793, 21.38861083984375, 11.87881851196289, 14.375442504882812, 21.372180938720703, 22.00511932373047, 18.230281829833984, 19.661434173583984, 17.846275329589844, 17.846275329589844, 15.904176712036133, 13.553791999816895, 12.450593948364258, 21.398086547851562, 14.762629508972168, 16.847307205200195, 14.445555686950684, 11.91438102722168, 20.249732971191406, 13.166007995605469, 16.63076400756836, 17.846275329589844, 14.182494163513184, 17.846275329589844, 17.133750915527344, 17.846275329589844, 18.972599029541016, 15.371259689331055, 13.36022663116455]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[24 27]
 [ 0 36]]",0.6836363673210144,39.117645263671875,42.0,"[15.902762413024902, 17.305145263671875, 15.855842590332031, 18.86680030822754, 20.115816116333008, 15.282661437988281, 23.57625389099121, 14.373613357543945, 16.7283992767334, 23.567577362060547, 24.210145950317383, 20.60076904296875, 22.01310157775879, 20.115816116333008, 20.115816116333008, 18.279888153076172, 16.028602600097656, 14.939396858215332, 23.603397369384766, 17.098722457885742, 19.344390869140625, 16.782283782958984, 15.575959205627441, 22.546472549438477, 15.620599746704102, 19.0217342376709, 20.115816116333008, 16.56712532043457, 20.115816116333008, 19.442554473876953, 20.115816116333008, 21.304229736328125, 17.720394134521484, 15.821354866027832]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[26 25]
 [ 0 36]]",0.7087963819503784,28.4375,28.0,"[16.595172882080078, 15.796120643615723, 19.18332290649414, 20.808300018310547, 13.978381156921387, 24.752544403076172, 13.540467262268066, 16.9210147857666, 24.68157196044922, 25.21308708190918, 20.451648712158203, 21.947708129882812, 20.80830192565918, 20.80830192565918, 18.208332061767578, 15.271650314331055, 14.125502586364746, 24.63536262512207, 17.408613204956055, 18.254047393798828, 17.1033935546875, 15.472670555114746, 22.893442153930664, 15.048277854919434, 18.788450241088867, 20.80830192565918, 20.808300018310547, 19.852197647094727, 20.80830192565918, 21.4331111907959, 17.89271354675293, 15.185781478881836]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[25 26]
 [ 0 36]]",0.6962943077087402,17.612903594970703,14.0,"[15.637298583984375, 15.306112289428711, 18.193531036376953, 19.671398162841797, 13.264139175415039, 23.055328369140625, 13.13542366027832, 16.32541275024414, 22.969032287597656, 23.341495513916016, 18.98720359802246, 20.22372817993164, 19.671401977539062, 19.671401977539062, 17.229778289794922, 14.556133270263672, 13.612456321716309, 22.8931884765625, 16.770984649658203, 16.78459358215332, 16.532188415527344, 15.02676773071289, 21.17530059814453, 14.46500015258789, 17.61708641052246, 19.671398162841797, 18.77263832092285, 19.671401977539062, 19.903953552246094, 17.092954635620117, 14.54499340057373]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[27 24]
 [ 0 36]]",0.7211538553237915,9.17241382598877,14.0,"[15.19607925415039, 14.972200393676758, 16.8594913482666, 17.823501586914062, 13.647937774658203, 20.03486442565918, 13.55862808227539, 15.637163162231445, 19.979005813598633, 20.22416114807129, 17.384340286254883, 18.193384170532227, 17.823501586914062, 17.823501586914062, 14.488405227661133, 13.870888710021973, 19.930204391479492, 15.927766799926758, 15.95162582397461, 15.771230697631836, 14.789690971374512, 18.812278747558594, 14.426737785339355, 16.4877872467041, 17.823501586914062, 17.23781967163086, 17.823501586914062, 17.981855392456055, 16.140132904052734]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
