CF1,f11,MAE1,MAE2,pred,date,countries
"[[62  6]
 [17  2]]",0.4958427846431732,120.10526275634766,140.0,"[2.402813196182251, 2.235377788543701, 2.5312907695770264, 2.3625338077545166, 2.810448169708252, 2.5312910079956055, 9.47035026550293, 2.402813196182251, 2.8813600540161133, 2.7959184646606445, 3.1187708377838135, 2.5312910079956055, 2.5312910079956055, 2.7410941123962402, 2.3635482788085938, 2.3320465087890625, 2.5312910079956055, 2.394580364227295, 2.8885083198547363]",2022-06-20T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'India', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[51 17]
 [ 0 19]]",0.7740259766578674,106.55555725097656,112.0,"[10.07324504852295, 12.894084930419922, 15.983500480651855, 8.255860328674316, 14.760912895202637, 17.93792724609375, 10.07324504852295, 13.938702583312988, 13.572304725646973, 17.679628372192383, 17.93792724609375, 17.93792724609375, 11.140774726867676, 8.484369277954102, 11.586621284484863, 17.93792724609375, 15.720959663391113, 12.645647048950195]",2022-07-04T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 4 15]]",0.8376865386962891,93.33333587646484,98.0,"[9.705865859985352, 12.738945007324219, 15.55610466003418, 6.70684289932251, 11.331193923950195, 17.433664321899414, 9.705865859985352, 12.382526397705078, 12.367990493774414, 16.847673416137695, 17.433664321899414, 17.433664321899414, 10.389453887939453, 7.643771648406982, 11.379365921020508, 17.433664321899414, 15.376773834228516, 12.39388656616211]",2022-07-18T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[62  6]
 [ 4 15]]",0.8376865386962891,80.88888549804688,84.0,"[8.867918968200684, 11.432164192199707, 13.754152297973633, 6.385034561157227, 9.989118576049805, 15.322402954101562, 8.867918968200684, 10.88705062866211, 10.885929107666016, 14.76607894897461, 15.322402954101562, 15.322402954101562, 9.398543357849121, 7.143360137939453, 10.280001640319824, 15.322402954101562, 13.620928764343262, 11.125387191772461]",2022-08-01T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[63  5]
 [ 4 15]]",0.8512820601463318,67.66666412353516,70.0,"[8.596414566040039, 10.845690727233887, 12.903055191040039, 6.410624027252197, 9.264423370361328, 14.28338623046875, 8.596414566040039, 10.103250503540039, 10.098333358764648, 13.82075309753418, 14.28338623046875, 14.28338623046875, 9.079019546508789, 7.07669734954834, 9.83603572845459, 14.28338623046875, 12.77950668334961, 10.580963134765625]",2022-08-15T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Qatar', 'Romania', 'Singapore', 'South Korea', 'Thailand', 'Vietnam']"
"[[63  5]
 [ 4 15]]",0.8512820601463318,58.625,56.0,"[10.095687866210938, 12.674484252929688, 15.06338119506836, 7.551438331604004, 10.309317588806152, 16.6528263092041, 10.095687866210938, 11.358078002929688, 11.346683502197266, 16.159523010253906, 16.6528263092041, 16.6528263092041, 8.343109130859375, 16.6528263092041, 14.911944389343262, 12.37736701965332]",2022-08-29T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[61  7]
 [ 4 15]]",0.8245002627372742,46.375,42.0,"[10.133707046508789, 12.29655647277832, 14.324668884277344, 8.111994743347168, 10.740936279296875, 15.66335678100586, 10.133707046508789, 11.577096939086914, 11.559575080871582, 15.279827117919922, 15.66335678100586, 15.66335678100586, 8.655752182006836, 15.66335678100586, 14.189687728881836, 12.052570343017578]",2022-09-12T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand', 'Vietnam']"
"[[63  5]
 [ 4 15]]",0.8512820601463318,37.33333206176758,28.0,"[10.357383728027344, 12.203095436096191, 14.029966354370117, 8.527974128723145, 10.7255220413208, 15.28051471710205, 10.357383728027344, 11.464652061462402, 11.448850631713867, 14.935452461242676, 15.28051471710205, 15.28051471710205, 9.089439392089844, 15.28051471710205, 13.900795936584473]",2022-09-26T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'Mauritius', 'New Zealand', 'Romania', 'South Korea', 'Thailand']"
"[[63  5]
 [ 4 15]]",0.8512820601463318,33.38461685180664,28.0,"[8.360788345336914, 9.510818481445312, 10.613327026367188, 7.557516098022461, 9.010290145874023, 11.330652236938477, 8.360788345336914, 9.302117347717285, 9.284859657287598, 11.156429290771484, 11.330652236938477, 7.752906799316406, 11.330652236938477]",2022-10-10T00:00:00.000000000,"['Australia', 'Brunei', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Malaysia', 'New Zealand', 'Romania', 'South Korea']"
"[[63  5]
 [ 4 15]]",0.8512820601463318,25.454545974731445,28.0,"[9.808551788330078, 11.696996688842773, 8.844474792480469, 10.289459228515625, 12.301576614379883, 9.808551788330078, 10.633733749389648, 10.630149841308594, 12.301576614379883, 9.142265319824219, 12.301576614379883]",2022-10-24T00:00:00.000000000,"['Australia', 'Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,12.600000381469727,0.0,"[13.178173065185547, 10.170696258544922, 11.618947982788086, 13.828458786010742, 11.17001724243164, 11.975851058959961, 11.988840103149414, 13.828458786010742, 10.457088470458984, 13.828458786010742]",2022-11-07T00:00:00.000000000,"['Cambodia', 'Czech Republic', 'Georgia', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'New Zealand', 'Romania', 'South Korea']"
"[[65  3]
 [ 6 13]]",0.8390544652938843,9.333333015441895,14.0,"[10.513010025024414, 12.382060050964355, 11.036023139953613, 11.657870292663574, 11.66724967956543, 10.676934242248535]",2022-11-21T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Latvia', 'Lithuania', 'Romania']"
"[[65  3]
 [ 5 14]]",0.8599033951759338,0.0,0.0,"[9.612064361572266, 11.610918045043945, 10.186418533325195, 10.586187362670898]",2022-12-05T00:00:00.000000000,"['Czech Republic', 'Iceland', 'Ireland', 'Lithuania']"
"[[64  4]
 [ 5 14]]",0.8455316424369812,-1,-1,"[[0.15019996464252472], [0.1520402729511261], [0.7636125683784485], [0.1798095852136612], [0.14890995621681213], [0.4576790928840637], [0.1512594372034073], [0.1520402729511261], [0.149053156375885], [0.5777473449707031], [0.2818777561187744], [0.9511440396308899], [0.14739763736724854], [0.15019996464252472], [0.4394378364086151], [0.15004150569438934], [0.14890995621681213], [0.14504271745681763], [0.42593884468078613], [0.1331021934747696], [0.1520402729511261], [0.14443977177143097], [0.34574270248413086], [0.1520402729511261], [0.1849537342786789], [0.22771626710891724], [0.14817775785923004], [0.2180320769548416], [0.1520402729511261], [0.19228918850421906], [0.1520402729511261], [0.14890995621681213], [0.1520402729511261], [0.9659599661827087], [0.6591531038284302], [0.6386829018592834], [0.7636125683784485], [0.1520402729511261], [0.16406269371509552], [0.1520402729511261], [0.14739763736724854], [0.14890995621681213], [0.48153048753738403], [0.1520402729511261], [0.49139535427093506], [0.13475090265274048], [0.8383494019508362], [0.1520402729511261], [0.9659599661827087], [0.13651268184185028], [0.45088204741477966], [0.1296641230583191], [0.9659599661827087], [0.1520402729511261], [0.14574754238128662], [0.45088204741477966], [0.15204405784606934], [0.7395614981651306], [0.15004152059555054], [0.5777473449707031], [0.39098817110061646], [0.14890995621681213], [0.14947140216827393], [0.5696148872375488], [0.1520402729511261], [0.14890995621681213], [0.1520402729511261], [0.5287899374961853], [0.5031503438949585], [0.15157759189605713], [0.1520402729511261], [0.9659599661827087], [0.15183085203170776], [0.4576790928840637], [0.14193099737167358], [0.151828333735466], [0.13755227625370026], [0.19180023670196533], [0.9339694380760193], [0.1520402729511261], [0.19989770650863647], [0.1520402878522873], [0.14947140216827393], [0.3537822365760803], [0.14890995621681213], [0.4201490581035614], [0.9043811559677124]]",2022-12-19T00:00:00.000000000,[]
