CF1,f11,MAE1,MAE2,pred,date,countries
"[[76  5]
 [ 0  6]]",0.8370175957679749,100.80000305175781,98.0,"[7.895750999450684, 12.911497116088867, 7.895750999450684, 10.525617599487305, 13.648783683776855]",2020-12-07T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 0  6]]",0.8141025900840759,81.19999694824219,70.0,"[-4.984916687011719, 15.632226943969727, -4.984916687011719, 5.098405838012695, 16.246728897094727]",2020-12-21T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 0  6]]",0.8141025900840759,67.19999694824219,56.0,"[-0.6176623106002808, 19.172887802124023, -0.6176623106002808, 8.352724075317383, 19.911252975463867]",2021-01-04T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 0  6]]",0.8141025900840759,53.20000076293945,42.0,"[3.962567090988159, 23.356464385986328, 3.962567090988159, 9.547494888305664, 24.434337615966797]",2021-01-18T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[75  6]
 [ 0  6]]",0.8141025900840759,33.599998474121094,28.0,"[6.390766143798828, 29.907611846923828, 6.390766143798828, 10.223591804504395, 30.83025550842285]",2021-02-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,19.600000381469727,14.0,"[9.271202087402344, 33.01677322387695, 9.271202087402344, 8.966553688049316, 36.10464096069336]",2021-02-15T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,11.199999809265137,14.0,"[12.628137588500977, 32.321022033691406, 12.628137588500977, 11.902982711791992, 36.569183349609375]",2021-03-01T00:00:00.000000000,"['Argentina', 'Canada', 'Chile', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,18.66666603088379,14.0,"[31.206432342529297, 14.186220169067383, 33.95296859741211]",2021-03-15T00:00:00.000000000,"['Canada', 'Colombia', 'Mexico']"
"[[76  5]
 [ 0  6]]",0.8370175957679749,0.0,0.0,[41.90617370605469],2021-03-29T00:00:00.000000000,['Mexico']
"[[76  5]
 [ 0  6]]",0.8370175957679749,14.0,14.0,[40.46902084350586],2021-04-12T00:00:00.000000000,['Mexico']
"[[76  5]
 [ 0  6]]",0.8370175957679749,28.0,28.0,[34.14472961425781],2021-04-26T00:00:00.000000000,['Mexico']
"[[76  5]
 [ 0  6]]",0.8370175957679749,-1,-1,"[[0.9332683682441711], [0.023176701739430428], [0.022408822551369667], [0.024155639111995697], [0.022408822551369667], [0.02144530601799488], [0.023018479347229004], [0.023176690563559532], [0.9070928692817688], [0.02144530601799488], [0.02384396269917488], [0.023176701739430428], [0.7643041014671326], [0.9332683682441711], [0.029093598946928978], [0.8015619516372681], [0.2604599595069885], [0.02199653722345829], [0.022173235192894936], [0.021571112796664238], [0.023176701739430428], [0.75156569480896], [0.025157252326607704], [0.023176701739430428], [0.026042265817523003], [0.02570476196706295], [0.024934740737080574], [0.02681911736726761], [0.023176701739430428], [0.022428886964917183], [0.023176701739430428], [0.7143822908401489], [0.023176701739430428], [0.023176701739430428], [0.02644297480583191], [0.023445963859558105], [0.022408822551369667], [0.023176690563559532], [0.0239347442984581], [0.023176701739430428], [0.0250056404620409], [0.022408822551369667], [0.025401631370186806], [0.023176690563559532], [0.02484009973704815], [0.021602177992463112], [0.02702752873301506], [0.023176701739430428], [0.023176701739430428], [0.7306066751480103], [0.021323299035429955], [0.021330734714865685], [0.023176701739430428], [0.023176701739430428], [0.025157252326607704], [0.021323299035429955], [0.6040765643119812], [0.02343551255762577], [0.8671562671661377], [0.02144530601799488], [0.026218125596642494], [0.022408822551369667], [0.02448624186217785], [0.022179139778017998], [0.023176701739430428], [0.022408822551369667], [0.023176701739430428], [0.02199653722345829], [0.02265557087957859], [0.022603364661335945], [0.023176690563559532], [0.023176701739430428], [0.022719280794262886], [0.02144530601799488], [0.7615387439727783], [0.02328142151236534], [0.021943474188447], [0.021142425015568733], [0.02236047014594078], [0.023176701739430428], [0.02384396269917488], [0.023176701739430428], [0.02448624186217785], [0.02563001960515976], [0.022408826276659966], [0.022719288244843483], [0.02210252545773983]]",2021-05-10T00:00:00.000000000,[]
