CF1,f11,MAE1,MAE2,pred,date,countries
"[[33 18]
 [ 1 35]]",0.7814937233924866,123.19999694824219,126.0,"[19.211658477783203, 24.100366592407227, 14.160755157470703, 14.325931549072266, 11.776395797729492, 23.604249954223633, 11.381006240844727, 20.99049949645996, 12.477487564086914, 12.112234115600586, 14.440282821655273, 22.615903854370117, 23.668088912963867, 11.776397705078125, 11.776397705078125, 18.07645606994629, 22.838747024536133, 21.739694595336914, 13.148601531982422, 11.652168273925781, 31.25470542907715, 11.025327682495117, 14.252218246459961, 19.68209457397461, 19.983060836791992, 21.08184051513672, 11.776397705078125, 15.213836669921875, 11.776395797729492, 14.109212875366211, 21.54530906677246, 11.776397705078125, 20.364255905151367, 14.264724731445312, 20.967885971069336]",2021-01-04T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[29 22]
 [ 0 36]]",0.7454787492752075,108.0,112.0,"[17.864343643188477, 22.02817726135254, 14.076933860778809, 15.036046028137207, 13.451312065124512, 21.44598960876465, 14.090169906616211, 18.908288955688477, 13.062799453735352, 14.639344215393066, 16.56926155090332, 21.740381240844727, 23.021371841430664, 13.451312065124512, 13.451312065124512, 17.68688201904297, 20.61310386657715, 19.552392959594727, 15.430715560913086, 12.5405912399292, 28.398706436157227, 11.982111930847168, 14.065248489379883, 20.079408645629883, 18.358760833740234, 20.217206954956055, 13.451312065124512, 15.064723014831543, 13.451312065124512, 15.028502464294434, 20.126340866088867, 13.451312065124512, 20.250455856323242, 14.67940902709961, 19.21918487548828]",2021-01-18T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[28 23]
 [ 0 36]]",0.7333777546882629,94.80000305175781,98.0,"[20.05677032470703, 25.00324249267578, 15.265352249145508, 15.666037559509277, 13.23438549041748, 24.343202590942383, 13.057882308959961, 21.74211883544922, 13.71613597869873, 13.776766777038574, 16.106666564941406, 23.86072540283203, 25.149620056152344, 13.234387397766113, 13.234387397766113, 19.269628524780273, 23.51250457763672, 22.42506217956543, 14.798592567443848, 12.926889419555664, 32.58365249633789, 12.290742874145508, 15.316719055175781, 21.170867919921875, 20.75042724609375, 22.302705764770508, 13.234387397766113, 16.34969139099121, 13.23438549041748, 15.488175392150879, 22.491769790649414, 13.234387397766113, 21.756502151489258, 15.535381317138672, 21.793994903564453]",2021-02-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[31 20]
 [ 0 36]]",0.7693531513214111,62.400001525878906,70.0,"[35.773597717285156, 44.076663970947266, 28.702884674072266, 31.823999404907227, 29.305442810058594, 42.91603469848633, 31.3851261138916, 36.832393646240234, 27.139541625976562, 32.662662506103516, 37.007320404052734, 45.205535888671875, 48.26076889038086, 29.305444717407227, 29.305444717407227, 36.611083984375, 40.86541748046875, 38.32311248779297, 34.50797653198242, 26.292322158813477, 56.831275939941406, 25.087562561035156, 28.47946548461914, 42.9267692565918, 36.52033615112305, 41.62132263183594, 29.305444717407227, 30.86795997619629, 29.305442810058594, 32.050880432128906, 40.85490417480469, 29.305444717407227, 42.716854095458984, 30.658769607543945, 38.187171936035156]",2021-02-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'Turkey', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[32 19]
 [ 0 36]]",0.7811465859413147,48.588233947753906,56.0,"[34.31001281738281, 40.27338409423828, 29.830368041992188, 37.07618713378906, 33.97443389892578, 39.2901611328125, 36.815223693847656, 31.27635383605957, 31.532808303833008, 38.086181640625, 42.816795349121094, 47.91181182861328, 51.93817138671875, 33.97443389892578, 33.97443389892578, 39.71752166748047, 36.49827575683594, 33.22716522216797, 39.93663024902344, 30.67681121826172, 48.68915557861328, 29.25663948059082, 29.38739585876465, 49.907806396484375, 33.99456787109375, 43.18230438232422, 33.97443389892578, 33.9249267578125, 33.97443389892578, 37.37004852294922, 33.97443389892578, 48.520835876464844, 35.50555419921875, 35.04907989501953]",2021-03-01T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[32 19]
 [ 1 35]]",0.7698412537574768,26.764705657958984,28.0,"[45.03508377075195, 52.47588348388672, 38.44133377075195, 50.352294921875, 44.3771858215332, 50.97156524658203, 46.6721076965332, 39.893699645996094, 43.01841354370117, 48.73054122924805, 55.94498825073242, 64.63172912597656, 70.58209228515625, 44.37718963623047, 44.37718963623047, 53.803131103515625, 46.97657012939453, 42.348876953125, 51.69540023803711, 41.05065155029297, 63.35115051269531, 38.96668243408203, 38.42029571533203, 69.02305603027344, 44.24830627441406, 57.926883697509766, 44.37718963623047, 46.00997543334961, 44.3771858215332, 50.30747985839844, 44.37718963623047, 66.45516967773438, 48.87748718261719, 45.45852279663086]",2021-03-15T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[32 19]
 [ 2 34]]",0.7584930658340454,17.294116973876953,14.0,"[60.11046600341797, 70.64566040039062, 55.73673629760742, 67.22982788085938, 59.367855072021484, 64.30886840820312, 62.717105865478516, 54.678489685058594, 57.24303436279297, 65.4608383178711, 75.13343048095703, 84.63562774658203, 92.14125061035156, 59.367862701416016, 59.367862701416016, 70.1545639038086, 63.67874526977539, 57.83502197265625, 69.41680908203125, 54.68027114868164, 86.14872741699219, 51.87528991699219, 54.522518157958984, 90.84609985351562, 59.44401168823242, 76.09002685546875, 59.367862701416016, 59.877952575683594, 59.367855072021484, 67.21824645996094, 59.367862701416016, 86.16017150878906, 64.16732788085938, 61.25358581542969]",2021-03-29T00:00:00.000000000,"['Australia', 'Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'Singapore', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[34 17]
 [ 1 35]]",0.7930760979652405,32.375,28.0,"[83.59725189208984, 67.8158950805664, 81.05065155029297, 73.16370391845703, 73.69095611572266, 78.91031646728516, 63.68016052246094, 68.83808898925781, 81.91815185546875, 92.9242172241211, 102.50521850585938, 111.70511627197266, 73.16371154785156, 73.16371154785156, 85.30281829833984, 75.05857849121094, 67.67423248291016, 86.28379821777344, 66.21243286132812, 100.95510864257812, 62.94298553466797, 66.1614990234375, 110.59746551513672, 70.62345123291016, 91.8350601196289, 73.16371154785156, 73.16370391845703, 81.38211822509766, 73.16371154785156, 105.07280731201172, 78.08328247070312, 72.47080993652344]",2021-04-12T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'Russia', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[34 17]
 [ 0 36]]",0.8044943809509277,30.70967674255371,28.0,"[60.56055450439453, 52.890281677246094, 68.25205993652344, 64.86420440673828, 49.94601058959961, 69.22958374023438, 45.39512634277344, 57.237579345703125, 71.9939193725586, 81.93135833740234, 77.49140930175781, 84.6727066040039, 64.86421203613281, 64.86421203613281, 65.47364807128906, 54.13423156738281, 48.395591735839844, 75.99340057373047, 58.42987060546875, 70.92039489746094, 56.31651306152344, 51.4267578125, 87.27255249023438, 51.93183898925781, 69.25666809082031, 64.86420440673828, 70.71800994873047, 64.86421203613281, 80.98685455322266, 62.406551361083984, 52.88443374633789]",2021-04-26T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Indonesia', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates', 'United Kingdom']"
"[[34 17]
 [ 0 36]]",0.8044943809509277,39.58620834350586,42.0,"[54.160133361816406, 52.25215530395508, 69.6303482055664, 65.30628204345703, 40.886390686035156, 70.976806640625, 39.1772575378418, 58.393646240234375, 73.38130187988281, 82.388427734375, 74.3268814086914, 82.00935363769531, 65.30628967285156, 65.30628967285156, 47.409366607666016, 41.81459426879883, 76.88621520996094, 58.808956146240234, 62.16632080078125, 56.09442901611328, 50.49679183959961, 87.59100341796875, 46.97618103027344, 66.16644287109375, 65.30628204345703, 71.67501068115234, 65.30628967285156, 79.92247009277344, 63.03752899169922]",2021-05-10T00:00:00.000000000,"['Austria', 'Bangladesh', 'Belgium', 'Botswana', 'Bulgaria', 'Canada', 'Croatia', 'Denmark', 'Estonia', 'Finland', 'France', 'Germany', 'Ghana', 'Hong Kong', 'Israel', 'Kenya', 'Latvia', 'Luxembourg', 'Malaysia', 'Netherlands', 'Pakistan', 'Poland', 'Portugal', 'Qatar', 'South Africa', 'Sweden', 'USA', 'Ukraine', 'United Arab Emirates']"
